Name,RA,DEC,GLON,GLAT,r50,n07,pmRA,e_pmRA,pmDE,e_pmDE,plx,e_plx,Flag,Age,A,D_m,D_pc,X,Y,Z,Rgc
UPK_40,292.631,-6.882,31.222,-11.616,0.676,35,0.294,0.119,-9.12,0.202,1.522,0.06,NN,8.73,0.69,9.12,666,558,338,-134,7788
Alessi_10,301.233,-10.555,31.597,-21.058,0.266,70,1.469,0.208,-7.879,0.241,2.233,0.075,NN,7.96,0.33,8.36,469,373,229,-168,7969
UBC_356,288.853,-4.203,31.898,-7.22,0.122,30,-0.65,0.132,-4.938,0.136,0.921,0.041,NN,8.01,1.35,10.06,1026,864,538,-129,7494
UBC_575,290.994,-5.102,32.036,-9.576,0.095,9,-0.303,0.087,-5.18,0.093,0.915,0.027,notEnoughStars,---,---,---,---,---,---,---,---
Berkeley_80,283.591,-1.214,32.185,-1.204,0.037,72,-0.755,0.091,-2.667,0.132,0.39,0.057,manual,8.2,3.5,11.78,2270,1920,1208,-47,6531
UBC_113,285.138,-1.557,32.583,-2.736,0.055,96,0.499,0.107,-0.512,0.098,0.386,0.042,NN,8.63,1.97,11.98,2487,2093,1338,-118,6387
NGC_6735,285.155,-0.498,33.535,-2.27,0.105,139,0.072,0.087,-1.274,0.08,0.416,0.046,NN,8.39,1.74,11.88,2378,1980,1312,-94,6493
UBC_357,284.743,-0.237,33.563,-1.779,0.096,65,-1.888,0.121,-4.076,0.121,0.288,0.021,NN,6.82,3.05,12.46,3100,2582,1713,-96,6007
Berkeley_81,285.419,-0.454,33.695,-2.485,0.044,127,-1.204,0.163,-1.853,0.163,0.254,0.09,NN,9.06,2.75,12.6,3313,2754,1836,-143,5879
UBC_576,284.685,0.433,34.15,-1.432,0.038,17,-0.754,0.102,-3.55,0.077,0.744,0.014,NN,7.89,2.48,10.61,1322,1094,742,-33,7283
UBC_114,286.446,-0.399,34.205,-3.367,0.103,39,-1.47,0.12,-1.874,0.075,0.656,0.029,NN,7.7,1.02,10.91,1517,1252,851,-89,7138
UPK_42,293.908,-3.653,34.707,-11.512,0.215,82,-0.452,0.141,-5.002,0.132,1.657,0.073,NN,8.32,1.06,8.88,595,479,332,-118,7867
NGC_6633,276.845,6.615,36.122,8.347,0.36,149,1.198,0.325,-1.811,0.297,2.525,0.073,manual,8.84,0.3,8.14,424,339,247,61,8004
IC_4756,279.649,5.435,36.322,5.325,0.534,466,1.26,0.254,-4.927,0.263,2.093,0.075,NN,9.11,0.29,8.53,506,406,299,47,7938
Czernik_38,282.451,4.965,37.168,2.624,0.041,168,-1.84,0.189,-5.005,0.21,0.383,0.134,NN,8.27,4.25,11.96,2461,1959,1485,112,6551
UPK_45,291.696,0.212,37.179,-7.745,0.155,50,-0.697,0.142,-2.138,0.121,1.109,0.057,NN,8.02,0.83,9.76,897,708,537,-120,7650
UPK_46,294.707,-1.363,37.18,-11.134,0.362,45,0.094,0.179,-8.631,0.298,1.47,0.093,NN,8.19,0.64,9.2,693,541,411,-133,7808
Archinal_1,283.709,5.55,38.259,1.775,0.04,65,-0.225,0.259,-1.578,0.254,0.526,0.145,tooRed,---,---,---,---,---,---,---,---
NGC_6755,286.942,4.224,38.554,-1.696,0.088,217,-0.734,0.114,-3.529,0.138,0.376,0.06,NN,8.16,2.34,12.11,2647,2069,1649,-78,6483
Czernik_39,286.926,4.337,38.648,-1.63,0.032,36,-1.586,0.115,-4.704,0.096,0.253,0.073,NN,8.14,2.63,12.57,3265,2549,2038,-92,6138
Gulliver_20,273.736,11.082,38.831,13.069,0.704,46,1.039,0.251,-6.525,0.169,2.347,0.078,NN,8.25,0.25,8.17,429,326,262,97,8018
NGC_6756,287.181,4.711,39.097,-1.684,0.028,227,-1.584,0.175,-3.631,0.176,0.281,0.077,NN,7.68,3.17,12.5,3166,2456,1995,-93,6213
Alessi_44,295.325,1.592,40.121,-10.332,1.296,175,0.463,0.404,-2.325,0.182,1.496,0.22,manual,8.35,0.71,9.16,679,511,430,-121,7840
Juchert_3,286.886,6.279,40.354,-0.701,0.028,60,-1.509,0.327,-3.985,0.454,0.283,0.16,tooRed,---,---,---,---,---,---,---,---
LP_597,282.104,8.714,40.362,4.628,0.067,131,-0.058,0.163,-1.49,0.129,0.418,0.053,NN,8.73,2.46,11.6,2087,1585,1347,168,6887
Alessi_19,274.741,12.311,40.403,12.71,0.595,60,-1.005,0.223,-7.073,0.185,1.71,0.06,NN,7.41,0.31,8.79,573,425,362,126,7922
UPK_50,283.309,8.172,40.421,3.336,0.248,97,-1.315,0.115,-3.817,0.153,0.97,0.065,NN,8.34,1.07,10.01,1003,762,649,58,7605
UBC_118,282.649,9.763,41.551,4.643,0.11,85,-0.237,0.127,-4.23,0.118,0.654,0.038,NN,8.6,0.93,10.9,1512,1127,999,122,7280
UBC_14,294.746,3.703,41.734,-8.829,1.068,46,0.131,0.21,-2.103,0.216,1.306,0.027,NN,7.72,0.72,9.38,752,554,495,-115,7800
UPK_51,314.073,-6.588,41.797,-30.795,0.413,52,5.068,0.251,2.018,0.224,1.757,0.1,NN,8.03,0.06,8.82,581,372,332,-297,7974
NGC_6709,282.836,10.334,42.14,4.712,0.14,247,1.414,0.141,-3.532,0.171,0.911,0.055,NN,8.28,0.72,10.09,1041,769,696,85,7602
UBC_359,284.793,10.342,43.007,3.025,0.139,47,-2.465,0.152,-4.626,0.108,0.274,0.026,NN,7.93,3.02,12.33,2921,2133,1989,154,6517
UBC_119,290.628,8.41,43.96,-2.999,0.089,78,-1.349,0.148,-2.355,0.129,0.561,0.027,NN,9.41,0.87,11.1,1659,1192,1150,-86,7239
UBC_3,283.799,12.326,44.351,4.766,0.129,29,-0.576,0.039,-1.331,0.056,0.554,0.013,NN,8.1,0.98,11.16,1704,1214,1187,141,7223
UBC_120,284.108,13.242,45.305,4.928,0.087,28,1.13,0.091,1.438,0.076,0.838,0.024,NN,8.27,0.91,10.3,1148,804,813,98,7579
Berkeley_43,288.872,11.265,45.682,-0.135,0.048,197,-1.035,0.192,-3.504,0.2,0.186,0.107,tooRed,---,---,---,---,---,---,---,---
FSR_0123,287.911,12.037,45.929,1.057,0.042,126,-1.211,0.126,-4.162,0.125,0.175,0.06,NN,9.01,2.74,12.98,3952,2748,2838,72,6271
UBC_360,292.533,10.659,46.85,-3.587,0.044,20,-1.609,0.077,-4.748,0.095,0.314,0.018,NN,8.44,1.63,12.22,2777,1895,2022,-173,6754
Berkeley_82,287.845,13.111,46.852,1.611,0.022,23,0.178,0.139,-3.168,0.162,0.708,0.052,NN,8.02,2.43,10.68,1365,933,995,38,7473
