name,l,l_std,b,b_std,plx,plx_std,pmra,pmra_std,pmdec,pmdec_std,N_member,Z,m-M,E(V-I),t/tsp,fbin,frot,RA_ICRS,DE_ICRS
LISC-III_2824,272.186,0.52,-6.925,0.201,0.695,0.018,-4.134,0.747,6.307,0.599,86,0.03,11.69,0.36,0.4,0.58,0.0,131.89523,-54.5174
LISC-III_2920,133.222,0.758,-0.719,0.191,0.679,0.023,-0.758,0.708,-0.547,0.679,120,0.001,10.32,0.82,0.1,0.45,0.0,34.0898,60.445
LISC-III_2980,208.073,1.021,8.282,0.325,0.684,0.017,-0.693,0.632,-2.592,0.537,96,0.008,11.3276,0.2086,0.6,0.53,0.0,108.07355,8.06407
LISC-III_2983,229.383,1.271,8.249,0.438,0.691,0.022,-2.33,0.601,0.295,0.605,141,0.001,9.8,0.0,2.3,0.44,0.0,117.9252,-10.60351
LISC-III_3249,330.295,2.754,-14.026,1.046,1.995,0.119,-0.713,1.059,-8.323,1.208,412,0.02,9.3,0.2,0.0,0.45,0.0,261.1887,-61.32513
LISC-III_3263,34.712,0.264,-11.549,0.238,1.672,0.072,-0.253,0.623,-4.617,0.963,144,0.0003,8.0,0.45,1.9,0.37,0.0,293.9556,-3.68117
LISC-III_3286,180.626,1.076,-8.961,0.574,0.926,0.032,1.463,0.682,-4.744,0.814,167,0.01,11.2,0.7,0.9,0.42,0.0,78.42394,23.50409
LISC-III_3312,107.309,2.886,-9.992,0.353,1.828,0.083,2.677,0.961,-2.107,0.968,295,0.008,8.78,0.24,0.0,0.54,0.0,348.54122,49.90599
LISC-III_3323,260.589,0.867,-7.483,0.147,1.677,0.07,-6.24,0.578,7.108,0.444,57,0.0001,8.11,0.1,0.0,0.55,0.0,120.95747,-45.36487
LISC-III_3344,217.277,0.672,-4.718,0.254,0.915,0.041,-0.418,0.73,-1.022,0.837,253,0.004,10.05,0.23,0.4,0.52,0.0,100.6251,-6.01019
LISC-III_3345,229.477,0.468,-3.382,0.261,0.933,0.03,-2.024,0.99,1.085,0.877,80,0.01,10.09,0.22,0.2,0.49,0.0,107.46715,-16.25423
LISC-III_3372,121.932,1.318,-5.19,0.39,0.947,0.036,0.324,1.054,-1.897,0.647,116,0.03,12.0,0.75,0.1,0.51,0.0,10.99733,57.66729
LISC-III_3373,114.189,1.387,-4.546,0.377,0.955,0.04,-0.5,1.081,-1.575,0.688,294,0.02,10.19,0.28,0.2,0.54,0.0,356.60816,57.21817
LISC-III_3411,318.974,0.46,1.48,0.294,0.94,0.065,-3.754,0.892,-3.03,0.689,200,0.03,11.5,0.8,0.0,0.54,0.0,223.78763,-57.4869
LISC-III_3431,158.929,1.345,1.741,0.369,0.94,0.032,0.762,0.844,-3.722,1.043,251,0.02,11.02,0.6,0.0,0.54,0.0,72.67511,47.18595
LISC-III_3434,182.507,0.918,6.993,0.365,0.924,0.031,0.853,0.766,-4.916,0.809,74,0.008,12.39,1.0,0.4,0.51,0.0,94.82297,30.18941
LISC-III_3449,37.349,2.276,5.38,0.626,2.034,0.139,0.835,1.106,-4.849,1.083,998,0.008,8.2,0.18,1.2,0.49,0.7,280.06326,6.37268
LISC-III_3492,239.518,1.99,12.466,0.468,0.954,0.038,-4.599,0.987,1.181,0.902,160,0.001,11.0,0.58,0.5,0.46,0.7,127.00219,-16.88716
LISC-III_3503,2.765,1.414,12.353,0.321,0.949,0.035,-0.982,0.797,-3.278,0.88,98,0.008,10.5,0.45,1.3,0.54,0.0,256.73241,-19.83622
LISC-III_3517,154.397,1.886,12.945,0.799,2.008,0.127,-2.632,1.173,-3.336,1.255,439,0.02,9.0,0.55,0.0,0.55,0.0,83.40606,57.34955
LISC-III_3611,191.806,0.794,-18.879,0.68,2.54,0.117,0.891,0.593,-4.546,0.631,90,0.008,9.0,0.6,0.0,0.55,0.0,76.18169,8.97302
