"Cluster","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","GLON","e_GLON","GLAT","e_GLAT","Plx","e_Plx","pmRA*","e_pmRA*","pmDE","e_pmDE","Simbad"
"UBC33",7.39441717836,0.178691608972102,60.49116515211,0.0838017947993657,120.2410376329,0.0887025126671102,-2.2662008873,0.0831609520094587,0.62619997,0.0300244123332705,-0.939885325417259,0.086549686453467,-0.456,0.0622955248500494,"Simbad"
"UBC34",11.80423434653,0.218688920335952,66.753463608,0.149198103539422,122.5145472879,0.0862613655195419,3.8852772173,0.149345052361184,1.55335248,0.0436955915758415,-5.01686727059455,0.310292231344404,-3.096,0.35585941635693,"Simbad"
"UBC35",15.09509128825,0.112399045151168,55.41116709925,0.0856356162414199,124.2116223696,0.0650355793258027,-7.4383058091,0.0851250045343989,0.78570813,0.0451855051148642,-4.46374930855495,0.202481711535344,-1.941,0.146563117150725,"Simbad"
"UBC36",16.47035613614,0.0617784797283005,59.63764341446,0.0572286640602571,124.7590191287,0.0314625857949707,-3.1828428853,0.0571211618385876,0.46552163,0.0369933998874942,-1.21253094443389,0.187511555114288,-0.462,0.142125102028777,"Simbad"
"UBC37",20.94796215687,0.378867248238442,70.58267797556,0.119143411694616,125.6385457997,0.128304398792878,7.8815160256,0.11802307163771,1.3344432,0.0621591356600809,-6.1330939961936,0.36309447604202,2.085,0.266198736404988,"Simbad"
"UBC38",18.72768521678,0.114895587314768,60.50261191113,0.0662129486510297,125.8197329689,0.0583727346146187,-2.2374064402,0.0646544519677738,0.78581698,0.0374908634585542,-2.4471322367723,0.132427583423875,-1.807,0.117148629652773,"Simbad"
"UBC39",19.7942467172,0.121159068426995,61.02460052543,0.0656721755277404,126.2864998641,0.0594436661101671,-1.6662923308,0.0650254166193499,0.47810166,0.0336249616005312,-1.23337080945482,0.0833480717978086,-0.13,0.124587002460547,"Simbad"
"UBC40",22.6292757616,0.0622928304807515,60.23647275419,0.03789589861348,127.7679038755,0.0302472311090611,-2.2678132363,0.0384554759574365,0.4024225,0.0281955197746026,-1.01397464271938,0.239103417742804,-0.564,0.133048966608705,"Simbad"
"UBC41",23.23233400653,0.0852614144283785,59.79405361452,0.0476658187387052,128.1348721099,0.0427167590062865,-2.6578627141,0.0478688436222574,0.38199709,0.0368158787735219,-0.756306201565254,0.292668526333478,-0.73,0.218929809186594,"Simbad"
"UBC42",26.14293055238,0.105431649269735,58.74187478921,0.0509797656088159,129.7916085919,0.0550286512579183,-3.4203643162,0.050744525682913,0.44910094,0.0306695175403687,-0.930960434263389,0.152703966799364,-1.009,0.128122671377624,"Simbad"
"UBC43",28.098367001,0.0943063841747021,58.64936278238,0.0593043364732461,130.8048261036,0.0487906537478892,-3.2874940558,0.0595961528226808,0.28234338,0.0385170917103885,-2.37072277442892,0.127439984334007,-0.437,0.123403261180708,"Simbad"
"UBC44",31.11323614746,0.0977872506158799,54.35671349283,0.0625980854433032,133.5290245147,0.0616003382206951,-7.0058111775,0.0585502345186013,0.35159368,0.0359804903734064,-2.19851535830952,0.236335971422016,-0.227,0.227848727988062,"Simbad"
"UBC45",33.74512193597,0.104635959277129,58.44707999325,0.0431565051248873,133.695428194,0.0539173797090574,-2.6679144392,0.0442724877048174,0.63065665,0.0360208456014242,-1.02463505356396,0.156861109269554,-1.53,0.149676530010698,"Simbad"
"UBC46",33.69339562129,0.152853435659348,57.30913243001,0.109855797261869,134.0310358657,0.0822298559093095,-3.755704819,0.110250102980616,0.39737915,0.0311692913293106,-0.81789136814205,0.207468023330157,-1.144,0.217971984816819,"Simbad"
"UBC47",42.00124526263,0.0933231702334439,63.80240852997,0.0586823680529476,135.3739654333,0.0463095157144015,3.7829662604,0.0548186897564197,0.65065834,0.0376627721304574,1.19092360552036,0.250057455531711,-1.12,0.166162624323536,"Simbad"
"UBC48",39.06787589497,0.19185862943471,50.04900047444,0.160143273619338,139.6368564379,0.142653009414136,-9.3914868399,0.145012989932265,1.36192667,0.0489076854879463,2.49814132301586,0.314466240686122,-2.497,0.256482858435646,"Simbad"
"UBC49",60.21836608688,0.117130886032489,59.19227446124,0.0618670919181116,145.1448705228,0.0740813616856227,4.7535810323,0.0444319177581436,0.33665596,0.0534127959624666,-1.76559117171567,0.125535480053173,-1.326,0.138915783345758,"Simbad"
"UBC50",51.49568298838,0.126944382004889,51.08322302647,0.10179555768904,146.1073622097,0.0825242203048353,-4.6995466165,0.0998027478696516,0.79770051,0.0412954250257765,2.03158152731018,0.177103462854578,-6.779,0.212393633452311,"Simbad"
