"Cluster","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","GLON","e_GLON","GLAT","e_GLAT","Plx","e_Plx","pmRA*","e_pmRA*","pmDE","e_pmDE","Simbad"
"UBC51",59.66771852649,0.170340046934636,52.55934324626,0.0889281162264809,149.242858548,0.0930617885328196,-0.4743348355,0.0998848932940412,0.88070124,0.0303880115678982,-0.23245339933852,0.226600171803339,-1.366,0.275518058018674,"Simbad"
"UBC52",64.74133594373,0.130827734375001,52.37287948514,0.107919598437134,151.6486520701,0.113418667430703,1.4747297438,0.0719918277613896,0.41230459,0.0401820077815869,-0.855685634625407,0.121777812066574,0.58,0.0956468345544378,"Simbad"
"UBC53",59.82134129371,0.0886537155053846,47.40105945169,0.0576851456648498,152.6764250809,0.0613527345834835,-4.3284590343,0.0564345877556254,0.59760242,0.043636160466522,0.670723550404592,0.118934157873769,-2.92,0.145502249846392,"Simbad"
"UBC54",64.72114114553,0.185399356312515,46.43865256589,0.153024613099671,155.7961014234,0.141045398543222,-2.7706169778,0.141004223339623,0.87770718,0.0549360551415933,3.32526896087121,0.228499508492794,-3.79,0.299471461506255,"Simbad"
"UBC56",69.87655696628,0.135740543778893,47.52706675797,0.122303851706119,157.4341611688,0.120159790655409,0.525923315,0.0944844848300595,1.11248623,0.0373115365787172,1.61835716886808,0.284554333703662,-4.007,0.250839854554595,"Simbad"
"UBC57",62.96210437195,0.0976664572100557,42.72175022221,0.0481190423872506,157.4778807961,0.0635126653380101,-6.31660273,0.05898921013563,0.48148135,0.0484373308133422,3.19116530005149,0.215476690539092,-2.243,0.192746849649087,"Simbad"
"UBC58",68.40728125739,0.12878453383748,40.49692632416,0.0980128376754551,161.9400525002,0.10650818502988,-4.9765694031,0.0891054351433361,0.95463552,0.0563628086701417,2.03348453363449,0.406985006686603,-3.412,0.462537843460645,"Simbad"
"UBC59",82.2412689488,0.122354593319094,48.03995900561,0.0898833466472942,162.0634179503,0.0956921193884617,7.4425902273,0.0759355834927924,0.38226577,0.0448417834992996,0.686683418965083,0.24293962373498,-2.002,0.2583658311987,"Simbad"
"UBC60",68.13357003568,0.202058589242452,39.49680522929,0.13057382796836,162.5367006667,0.156461053551439,-5.8079056182,0.130894639660751,1.46873505,0.0498726928642724,3.61942902800251,0.434607891905159,-5.734,0.362591577987971,"Simbad"
"UBC61",75.06203784601,0.145593794256848,36.26895312222,0.150426736055532,168.5517357559,0.150415741505063,-3.7198113725,0.117810407926976,0.75119153,0.0516232927601052,2.09573552783378,0.144366542045695,-2.168,0.123040299956482,"Simbad"
"UBC62",76.10794183098,0.120355302816542,35.82456027476,0.0782706913906178,169.4212597306,0.0864598999995168,-3.320669323,0.0905416395871923,0.82688692,0.050113085100176,0.355187282022153,0.182565130854566,-3.75,0.186617816116746,"Simbad"
"UBC63",79.66835377094,0.085914751099459,37.82325187269,0.0806314332588198,169.4908014056,0.0754321703077325,0.1591815377,0.0735980140604833,0.64803427,0.0386281397086877,1.11506592055567,0.180981443162564,-3.563,0.174325594662724,"Simbad"
"UBC65",82.17654020231,0.145659686955977,34.3151206175,0.137544038265169,173.530576291,0.152450012295488,-0.1472138409,0.100776353335847,0.77825059,0.0556253417373733,-1.48062545743852,0.137826002888297,-4.666,0.198279251357589,"Simbad"
"UBC66",78.58032422779,0.104591092589333,31.72483180799,0.0932471766967511,173.9496346284,0.0886025161587092,-4.099801313,0.0938207981730835,0.91395135,0.0374438688226163,0.520753811108619,0.206818115759928,-1.479,0.227096394983224,"Simbad"
"UBC67",81.87352673982,0.0595061784304041,33.52874678814,0.0601931801333647,174.0451782786,0.0509414502028467,-0.7929400189,0.0590683947530543,0.46696361,0.0309068059469621,0.445898504106169,0.131073589350724,-2.714,0.126222287942946,"Simbad"
"UBC68",91.17176380466,0.0970206628343782,36.77234632149,0.0667371512212543,175.2086130284,0.0650918116444891,7.3859122197,0.0795407467147084,0.43189403,0.0518400038606158,-0.50494130769737,0.216196334920733,-1.693,0.231920648996189,"Simbad"
"UBC69",84.7704122306,0.0840537121134604,28.40373637824,0.0963215787728553,179.6968289002,0.103326638665388,-1.4994335551,0.0638448679695478,0.70652466,0.0430315436661647,-0.133418872854903,0.180982395145877,-3.817,0.220550168448857,"Simbad"
"UBC70",91.05659121395,0.0672562699597594,31.60646523119,0.0637980387020295,179.7160847932,0.0608791976264483,4.814660485,0.0605940362824813,0.48410556,0.0493093148010055,-0.72179883592094,0.157900151390475,-3.265,0.131545024884473,"Simbad"
"UBC72",90.98513929567,0.0895846259920354,26.64527738011,0.0842570813800275,184.024635267,0.0870432179593217,2.3390255502,0.077104154649549,0.5190712,0.0399489988872288,0.359111821131287,0.126301531835458,-0.008,0.149743584218299,"Simbad"
"UBC74",95.46670148305,0.0692741969562727,22.41055614518,0.0590535197879898,189.7000710694,0.0605998846600478,3.8975731184,0.0627127312819457,0.35441351,0.0487602955482086,1.09155217600519,0.105501146930261,-2.619,0.132922570759694,"Simbad"
"UBC75",83.76906262307,0.0670949939588715,15.70859336346,0.0917277060116498,190.0186835716,0.0868346315405758,-9.0184422097,0.0723235236808041,0.66632977,0.0457608712129879,0.26079158479322,0.172678012909743,-2.398,0.200425484468798,"Simbad"
"UBC76",89.00393292531,0.107777156646522,17.33877479997,0.0763583453029408,191.196806632,0.0812583091282884,-3.8733953173,0.0992131470763813,0.57247748,0.0216390641204544,0.137700076617044,0.141359931880877,-1.107,0.0939339158751534,"Simbad"
"UBC77",89.21331218364,0.096360629911036,16.99970569732,0.0650802097164706,191.5913804903,0.0843301910852265,-3.8693340189,0.0751559431101304,0.5868889,0.0438512646043841,0.322586084161156,0.166410874390254,-1.198,0.227622223081952,"Simbad"
"UBC78",85.74512063636,0.131649404334624,13.7237798974,0.0963496860174735,192.7372886677,0.122562784574786,-8.4096282293,0.104586441740548,0.91267614,0.0458604897175499,0.637694181894121,0.350077948203766,-3.646,0.325138909631884,"Simbad"
"UBC80",91.63796394845,0.0898345766486382,8.74982149093,0.104104722889652,199.9729233982,0.102028401779475,-5.843627941,0.0917540537741046,0.45005272,0.0440113863962112,-0.476675081046377,0.0864732958464956,-1.008,0.211400980162087,"Simbad"
"UBC81",96.34547478249,0.0681953130963643,11.15031232932,0.0610402642045662,200.0539406182,0.0636201031236288,-0.6233844937,0.0644633767313566,0.58349883,0.0297803767250862,-1.11410280342353,0.14970933903653,-0.937,0.135217387015666,"Simbad"
"UBC82",95.89395271513,0.084977281505463,8.3811073392,0.103611263277304,202.2952974421,0.0971962588630432,-2.3105205399,0.0914947731211614,0.42055021,0.0448369638090348,1.3113123508441,0.0875967325946513,-2.3,0.17193097201946,"Simbad"
"UBC83",97.55693835246,0.104559891944848,7.36361706867,0.118183472588131,203.9629178268,0.106729687976345,-1.32526103,0.115473038777438,0.47501848,0.0577289846895698,-1.08266001926716,0.135167129359194,0.389,0.0476079814952376,"Simbad"
"UBC84",15.42120123802,0.112465122418585,61.7339613748,0.087658142170218,124.1449790923,0.0533388011472154,-1.113605742,0.0876115933556258,0.36653197,0.0330375588469296,-1.55166759004884,0.261762904830951,-0.967,0.176932583958702,"Simbad"
"UBC85",18.68232073052,0.182090205020771,57.86076010397,0.11067220322396,126.0368583433,0.0949788278914935,-4.8703760218,0.112628919901485,0.36034353,0.0341463670779316,-3.69172720607857,0.150639879067848,-0.54,0.328535788279858,"Simbad"
"UBC86",33.03347476484,0.164636101947919,57.60553374166,0.0683264396255004,133.6004342563,0.0955354818941062,-3.5849838386,0.0579604742696292,0.34095377,0.0407951268732538,-0.848997257521634,0.155058137818353,-0.955,0.151250613279693,"Simbad"
"UBC87",60.50809503889,0.0969277756761078,56.42208590868,0.0743125230834656,147.0872210282,0.0663994288986592,2.7682150885,0.0632465158742868,0.38174108,0.0333377255682528,0.767934162451437,0.147041663675567,-1.311,0.16218451943734,"Simbad"
"UBC88",58.18201266354,0.184668014574901,45.9440907696,0.154345282100819,152.755488879,0.139906474991856,-6.1672448078,0.144808014348892,1.0007812,0.0558007283444423,-1.35929977455705,0.333577565347872,-2.948,0.27254467083783,"Simbad"
"UBC89",81.22344808295,0.140444178526155,37.56842722969,0.0771816627222543,170.3998203933,0.0925948963168044,1.0268229423,0.0988615469923832,0.882094,0.0578218634333505,0.38787383268736,0.225093771488725,-4.271,0.223654254250622,"Simbad"
"UBC90",97.20618537133,0.0408286658162385,14.91940474192,0.046114278797721,197.1077473351,0.0470967573458544,1.8728558828,0.0383066759655985,0.33759793,0.0489225283784423,1.23048851453217,0.139495842991987,-1.376,0.157520639215713,"Simbad"
