"ID","GLON","e_GLON","GLAT","e_GLAT","r","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","nTot","Age","e_Age","Z","_RA.icrs","_DE.icrs"
FoF_1328,123.735,0.21,0.129,0.05,0.574,0.334,0.031,-1.717,0.589,-0.413,0.375,157,0.55,0.033,0.5,14.628,62.9897
FoF_1332,129.832,0.163,-1.693,0.077,0.515,0.321,0.018,-0.979,0.389,-0.494,0.322,102,0.191,0.0115,0.5,26.9398,60.422
FoF_1334,131.257,0.194,-0.401,0.05,0.437,0.301,0.027,-0.811,0.371,-0.354,0.329,98,0.309,0.0185,0.25,30.4243,61.3299
FoF_1370,185.42,0.135,2.018,0.094,0.348,0.264,0.016,0.297,0.463,-1.62,0.491,75,0.576,0.0346,0.25,91.4321,25.272
FoF_1372,181.882,0.127,3.079,0.073,0.394,0.267,0.024,0.29,0.45,-1.529,0.433,95,0.562,0.0337,0.5,90.5262,28.8731
FoF_1375,182.827,0.083,3.068,0.082,0.252,0.259,0.03,0.264,0.559,-1.593,0.527,89,0.562,0.0337,0.5,91.0416,28.0453
FoF_1377,182.346,0.107,3.102,0.099,0.336,0.246,0.019,0.44,0.486,-1.428,0.533,117,0.977,0.0586,0.25,90.8083,28.4808
FoF_1399,219.765,0.136,1.561,0.057,0.28,0.272,0.016,-0.831,0.439,0.828,0.399,73,0.661,0.0397,0,107.3803,-5.3608
FoF_1428,245.16,0.205,0.516,0.053,0.355,0.279,0.029,-2.388,0.514,2.551,0.542,86,0.692,0.0415,0.25,119.3975,-28.0666
FoF_1429,245.545,0.121,0.244,0.06,0.305,0.254,0.018,-2.263,0.387,2.814,0.494,80,0.501,0.0301,0.5,119.3619,-28.5369
FoF_1437,252.06,0.116,0.901,0.136,0.36,0.246,0.019,-2.591,0.427,3.033,0.572,216,0.525,0.0315,0.5,124.1146,-33.6689
FoF_1540,291.586,0.034,1.554,0.039,0.139,0.337,0.034,-5.341,0.372,1.801,0.199,115,1.02,0.0612,0.5,170.1991,-59.3063
