OC,GLON,GLAT,r,Nstar,Ncore,plx,s_plx,pmRA,s_pmRA,pmDE,s_pmDE,m-M,logAge,AG,Z,RA_ICRS,DE_ICRS
CWNU_21,224.698,3.43,0.11,46,19,0.46,0.06,-0.8,0.12,-0.87,0.11,11.1,9.02,0.1,0.019,111.36031,-8.85168
CWNU_22,224.178,1.248,0.22,47,30,0.86,0.06,-0.57,0.11,0.83,0.2,10.5,7.76,0.7,0.016,109.16149,-9.41568
CWNU_23,102.341,-2.235,0.1,38,26,0.68,0.04,1.71,0.09,-2.25,0.13,11.0,8.72,1.1,0.028,335.55496,54.5592
CWNU_24,236.831,2.172,0.1,39,27,0.59,0.05,-0.99,0.07,0.59,0.1,11.2,7.96,1.0,0.025,116.29969,-20.06083
CWNU_25,312.078,-2.372,0.06,34,14,0.48,0.03,-4.72,0.08,-3.13,0.15,11.2,7.6,1.2,0.021,213.8949,-63.73956
CWNU_26,240.457,-4.731,0.31,85,55,0.8,0.05,-4.29,0.13,3.85,0.11,10.5,7.44,0.1,0.026,111.64601,-26.58362
CWNU_27,333.864,-4.275,0.13,32,13,0.59,0.01,-1.58,0.14,-4.01,0.07,11.1,8.66,1.1,0.028,250.58708,-52.68154
CWNU_28,100.808,0.62,0.14,88,42,0.64,0.05,-2.01,0.16,-1.63,0.12,10.8,7.92,2.2,0.027,330.48283,56.03156
CWNU_29,2.373,-0.261,0.22,63,45,1.66,0.05,0.89,0.19,-5.12,0.18,9.0,7.7,0.8,0.023,268.04302,-27.03688
CWNU_30,24.838,-6.092,0.22,43,27,0.94,0.04,1.13,0.11,0.84,0.1,10.3,8.5,1.1,0.026,284.64055,-9.96175
CWNU_31,86.396,-0.476,0.04,33,16,0.49,0.03,-2.51,0.13,-4.52,0.14,11.0,8.14,1.7,0.02,314.98171,45.33901
CWNU_32,221.101,-1.049,0.19,51,30,0.88,0.04,-1.59,0.13,-3.46,0.14,10.5,8.54,0.8,0.025,105.66438,-7.74644
CWNU_33,343.054,2.668,0.18,100,56,0.9,0.05,1.42,0.19,-2.98,0.16,10.1,7.64,1.2,0.016,251.66745,-41.19219
CWNU_34,309.876,1.271,0.14,41,27,0.75,0.04,-7.2,0.09,-2.26,0.11,10.4,7.98,0.8,0.025,207.21541,-60.82419
CWNU_35,161.079,-0.654,0.09,34,17,0.52,0.05,1.43,0.13,-2.11,0.26,11.5,8.44,1.0,0.024,72.0222,44.00021
CWNU_36,263.281,-6.758,0.27,32,15,0.93,0.04,-5.61,0.15,5.11,0.15,10.1,7.88,0.4,0.027,123.91214,-47.23464
CWNU_37,20.457,-0.866,0.15,37,19,0.92,0.05,-0.06,0.14,-3.05,0.12,9.9,8.82,1.4,0.023,277.88149,-11.48539
CWNU_38,178.173,2.255,0.15,30,14,0.71,0.05,0.49,0.15,-3.81,0.1,10.8,8.46,0.7,0.026,87.5485,31.66507
CWNU_39,121.599,6.001,0.33,37,21,0.96,0.03,-1.53,0.14,-0.57,0.11,9.5,7.94,1.9,0.016,9.18584,68.83471
