Id,Nmem,ra,ra_sigma,dec,dec_sigma,plx,plx_sigma,pmra,pmra_sigma,pmdec,pmdec_sigma,l,l_sigma,b,b_sigma,n17,Z,age,N_rv,RV_mean,RV_std,RV_mad
CWWDL_179,60,135.9447,0.011,-53.8452,0.003,0.2929,0.0003,-4.4171,0.0928,4.7328,0.0433,273.1986,0.0056,-4.6776,0.0013,39,0.44,7.58,2,33.074,4.5382,3.209
CWWDL_180,39,137.2958,0.01,-54.0592,0.0024,0.2189,0.0001,-3.6612,0.1985,3.625,0.1928,273.8924,0.0049,-4.231,0.001,16,-0.58,8.42,4,20.3998,7.4024,5.3419
CWWDL_190,38,138.8307,0.0068,-54.2639,0.005,0.2334,0.0001,-3.6374,0.2387,3.3548,0.3254,274.6587,0.0064,-3.716,0.001,11,-0.28,8.06,1,32.986,,0
CWWDL_197,225,138.0937,0.0656,-53.4231,0.0098,0.258,0.0008,-3.9664,0.3433,3.8057,0.3485,273.7478,0.0291,-3.4526,0.0041,95,0.44,7.82,16,39.7443,21.9258,16.4956
CWWDL_205,96,143.9199,0.0136,-57.3296,0.0031,0.2484,0.0008,-5.1369,0.1325,3.7762,0.1049,278.8543,0.0056,-3.9151,0.0014,48,0.4,7.91,11,23.8454,23.1888,12.894
CWWDL_207,41,141.0353,0.1237,-56.0551,0.0628,0.263,0.0001,-4.6025,0.1539,3.6863,0.3186,276.823,0.0078,-4.0779,0.0008,22,0.3,7.76,3,26.9817,23.9241,18.3698
CWWDL_208,55,147.1117,0.0075,-58.6644,0.0021,0.2346,0.0006,-5.3146,0.1748,3.5856,0.1207,281.0111,0.0037,-3.8128,0.0005,32,0.3,7.97,7,11.1869,21,15.8507
CWWDL_209,29,139.1505,0.011,-55.4447,0.0081,0.2335,0.0001,-4.001,0.2996,3.7086,0.1386,275.6397,0.0111,-4.4021,0.0006,17,0.4,7.7,2,54.3025,28.7022,20.2955
CWWDL_212,29,139.5421,0.0506,-55.9991,0.0306,0.6017,0.0002,-6.0076,0.0397,5.3169,0.0687,276.1929,0.0004,-4.6296,0.0013,27,0.2,7.52,2,14.372,2.1524,1.522
CWWDL_214,27,149.032,0.0564,-60.1645,0.0313,0.3278,0.0001,-5.9514,0.0307,5.1822,0.0371,282.7181,0.0012,-4.3652,0.0005,23,-0.28,8.48,8,0.0934,2.5589,2.1679
CWWDL_215,67,152.2526,0.0056,-60.4525,0.0019,0.2297,0.0003,-5.1197,0.6442,3.1696,0.296,284.171,0.0017,-3.6394,0.0015,17,0.27,7.85,5,-1.039,9.5089,6.7336
CWWDL_228,47,343.4047,0.082,54.3199,0.0473,0.3948,0.0003,-1.5716,0.0489,-1.4299,0.0409,106.2074,0.0031,-4.681,0.0014,40,0.44,7.58,2,-39.371,1.1399,0.806
CWWDL_232,38,34.3588,0.1942,56.6365,0.0516,0.3737,0.0003,-0.678,0.0243,-1.1529,0.0344,134.5923,0.0114,-4.2777,0.0022,33,0.4,6.28,1,-33.592,,0
CWWDL_236,29,50.6635,0.0072,52.046,0.0027,0.2827,0.0005,1.8365,0.0217,-1.3025,0.0131,145.1416,0.0044,-4.1826,0.0011,17,-0.88,8.21,4,-14.12,2.8984,1.986
CWWDL_238,29,50.9688,0.062,51.2426,0.0292,0.4596,0.0005,-0.0485,0.0691,-1.6847,0.0578,145.7429,0.0018,-4.7501,0.0005,24,0.4,7.55,1,-40.764,,0
CWWDL_245,28,94.4681,0.0622,9.6941,0.1181,0.2997,0.0004,-0.9855,0.0133,-0.0231,0.021,200.473,0.0169,-2.9373,0.0002,23,0.44,7.4,1,36.079,,0
CWWDL_246,24,94.842,0.0071,9.1415,0.0325,0.3123,0.0003,0.4152,0.0717,-0.085,0.29,201.135,0.0391,-2.8723,0.0004,8,-0.88,6.98,2,27.0955,8.2555,5.8375
CWWDL_254,27,96.1178,0.0052,7.4747,0.0113,0.2236,0.0001,-0.0512,0.1162,-0.4541,0.1383,203.2013,0.0156,-2.5374,0.0008,15,-0.88,8.15,5,35.8862,28.9363,19.947
CWWDL_255,30,96.0743,0.0384,7.4911,0.0567,0.4962,0.0002,-0.9336,0.0134,-0.1986,0.046,203.1666,0.0033,-2.5679,0.0012,26,-0.88,8.03,2,46.488,0.6562,0.464
CWWDL_268,114,109.9865,0.116,-19.0779,0.17,0.313,0.0005,-1.6368,0.1542,1.5193,0.1057,233.0958,0.0379,-2.5612,0.0027,72,0.44,5.95,0,,,
CWWDL_272,73,110.2844,0.0048,-19.2618,0.0132,0.2364,0.0003,-1.1126,0.2136,2.054,0.2734,233.3903,0.0166,-2.3986,0.0009,25,0.4,7.76,3,85.182,25.0165,17.9313
CWWDL_277,37,105.708,0.0034,-12.1724,0.0195,0.3223,0.0002,-0.9934,0.1956,1.2325,0.0582,225.0603,0.0218,-3.033,0.001,23,0.42,5.78,0,,,
CWWDL_278,22,107.7919,0.0051,-14.643,0.0176,0.2137,0,-0.6404,0.123,1.664,0.3639,228.1885,0.0218,-2.3632,0.0006,15,0.27,7.82,3,86.3887,10.9993,7.5169
CWWDL_295,26,113.419,0.0031,-24.6931,0.0072,0.2448,0.0003,-1.5461,0.2545,2.2409,0.3412,239.5552,0.0096,-2.4248,0.0002,14,0.44,7.82,1,82.946,,0
CWWDL_298,88,115.5093,0.01,-30.1112,0.0175,0.2315,0.0004,-1.9398,0.1748,3.1069,0.3664,245.197,0.0242,-3.449,0.0009,53,0.16,7.82,7,50.6626,16.8373,14.0616
CWWDL_300,42,116.2741,0.0019,-30.7774,0.0015,0.278,0.0003,-2.1245,0.255,3.0424,0.3128,246.104,0.0023,-3.2064,0.0006,21,0.44,7.73,2,83.3825,2.6934,1.9045
CWWDL_303,49,115.8749,0.0056,-30.4462,0.0098,0.2678,0.0006,-2.0118,0.1453,3.2214,0.3085,245.6451,0.0137,-3.3401,0.0003,27,0.44,7.73,2,58.7915,14.2079,10.0465
CWWDL_348,46,117.0083,0.0045,-31.8828,0.006,0.2543,0.0005,-2.3007,0.0644,3.1494,0.1165,247.3768,0.0082,-3.2169,0.0012,28,0.44,7.76,2,73.1145,48.9283,34.5975
CWWDL_370,67,130.8113,0.0193,-47.7442,0.0161,0.2327,0.0003,-3.2863,0.2496,3.596,0.1971,266.4219,0.0234,-3.2666,0.0015,14,0.44,7.76,4,43.0803,15.2146,11.0767
CWWDL_382,36,129.1656,0.0179,-45.1983,0.0217,0.4434,0.0002,-4.5795,0.1042,4.4486,0.0729,263.709,0.0299,-2.6149,0.0008,23,0.35,5.48,0,,,
CWWDL_397,22,130.4275,0.007,-46.6369,0.0054,0.2184,0.0002,-3.0749,0.1639,3.491,0.1631,265.3869,0.0085,-2.7914,0.0003,13,-0.4,8.03,1,74.515,,0
CWWDL_418,45,138.5658,0.0111,-53.2043,0.0042,0.2089,0,-3.5692,0.1948,3.3924,0.1603,273.783,0.0066,-3.0969,0.0016,19,0.27,7.91,2,31.247,11.6277,8.222
CWWDL_421,38,139.7944,0.0159,-54.0327,0.0069,0.2128,0.0001,-4.0473,0.3875,3.7908,0.2401,274.8866,0.0121,-3.1502,0.0003,16,-0.88,8.27,5,23.483,11.9431,7.9484
CWWDL_426,34,138.6102,0.0068,-53.2143,0.005,0.2375,0.0001,-4.1132,0.3071,4.0284,0.1972,273.8086,0.0068,-3.0847,0.0007,16,-0.1,7.88,2,35.9085,25.6008,18.1025
CWWDL_435,28,139.0937,0.0066,-54.0865,0.0023,0.2167,0,-4.9651,0.3801,3.8884,0.2163,274.6376,0.0041,-3.482,0.0004,15,0.44,7.88,1,53.726,,0
CWWDL_439,25,139.4563,0.0164,-53.2391,0.0031,0.2108,0.0001,-4.8609,0.1432,4.363,0.0495,274.1788,0.0085,-2.7376,0.0006,12,0.3,7.85,2,57.528,18.6775,13.207
CWWDL_444,33,140.2501,0.0244,-53.0882,0.0076,0.211,0.0001,-3.6126,0.1568,3.3652,0.3054,274.406,0.016,-2.293,0.0004,13,0.42,8.03,4,37.9018,24.032,18.1238
CWWDL_472,24,144.0229,0.0498,-56.5787,0.0255,0.3643,0.0003,-5.5552,0.0127,5.2318,0.0355,278.3904,0.0008,-3.3211,0.0005,23,-0.58,8.18,3,9.7577,10.9475,8.4018
CWWDL_485,22,151.2756,0.0025,-59.1634,0.001,0.2146,0,-5.2586,0.0975,3.3451,0.1968,283.0157,0.0011,-2.8827,0.0005,12,-0.18,7.55,2,-5.772,3.1862,2.253
