Id,Nmem,ra,ra_sigma,dec,dec_sigma,plx,plx_sigma,pmra,pmra_sigma,pmdec,pmdec_sigma,l,l_sigma,b,b_sigma,n17,Z,age,N_rv,RV_mean,RV_std,RV_mad
CWWDL_952,38,264.8619,0.0249,-35.0771,0.0268,0.3241,0.0009,0.2322,0.0136,-3.6973,0.0141,354.0891,0.0007,-2.1205,0.0004,34,0.4,8.45,6,-36.3993,17.9068,12.3222
CWWDL_962,62,269.8845,0.0266,-26.6504,0.0275,0.3901,0.0004,2.1198,0.0263,0.3904,0.0195,3.5343,0.0007,-1.486,0.0006,50,-0.58,8.21,5,2.782,31.2297,22.2004
CWWDL_969,40,274.5976,0.0007,-19.3671,0.0008,0.4897,0.0006,-0.6734,0.0274,-0.039,0.0211,12.0085,0.0008,-1.7513,0.0006,28,-0.28,8.27,9,-8.5034,39.5572,23.1114
CWWDL_970,82,276.46,0.0518,-17.0786,0.0342,0.4963,0.0009,-0.2282,0.0162,-1.5383,0.0249,14.861,0.0016,-2.2403,0.002,77,0.35,5.78,2,-24.2235,4.5898,3.2455
CWWDL_980,256,281.8316,0.0072,-5.2405,0.008,0.4777,0.0011,0.1699,0.3276,-2.2398,0.1814,27.7992,0.009,-1.4755,0.0062,184,-0.58,8.06,19,4.0689,18.3544,13.509
CWWDL_1062,308,341.3673,0.0249,57.3984,0.0048,0.2723,0.0013,-3.3004,0.09,-2.7217,0.1388,106.5796,0.0084,-1.4184,0.0036,178,-0.28,7.31,6,-78.8245,31.2383,24.435
CWWDL_1157,60,106.3699,0.055,-9.025,0.0738,0.3736,0.0004,-1.0275,0.0791,-0.1475,0.1033,222.5575,0.0073,-1.0147,0.0009,50,-0.1,7.7,1,54.11,,0
CWWDL_1227,32,121.6669,0.0511,-33.4065,0.0478,0.2286,0.0003,-2.555,0.0493,2.8648,0.0602,250.7214,0.0029,-0.661,0.0011,18,-0.04,7.13,0,,,
CWWDL_1374,21,159.9219,0.0813,-59.788,0.0379,0.2077,0,-5.69,0.3048,2.5919,0.0491,287.0504,0.0027,-1.0422,0.0003,12,-0.28,7.31,0,,,
CWWDL_1416,27,163.3603,0.0816,-60.7057,0.0159,0.2203,0.0001,-7.0577,0.1524,2.826,0.1017,288.9877,0.0016,-1.0691,0.0002,20,0.23,7.55,4,19.872,16.8293,12.16
CWWDL_1492,51,185.0395,0.0027,-62.8542,0.0006,0.2887,0.0005,-6.477,0.1633,-0.1164,0.0974,299.3728,0.0006,-0.1988,0.0006,27,0.4,7.79,3,-4.101,35.8744,26.242
CWWDL_1574,219,239.637,0.0053,-53.6524,0.0017,0.3732,0.0019,-3.8545,0.0731,-4.3295,0.0498,328.5198,0.0022,-0.3455,0.0013,127,0.23,7.79,17,3.2296,71.6568,50.9196
CWWDL_1583,48,243.7377,0.0014,-51.686,0.0011,0.3425,0.0005,-3.6299,0.04,-4.0083,0.0441,331.6827,0.001,-0.5517,0.0006,35,0.44,7.73,3,-48.664,23.0851,17.7653
CWWDL_1589,66,245.7165,0.0365,-50.1767,0.0182,0.3857,0.0007,-2.3723,0.0761,-4.0521,0.0578,333.6297,0.0004,-0.347,0.0005,56,-0.88,8.21,7,-55.9289,24.6491,19.2533
CWWDL_1590,59,246.3065,0.0443,-49.747,0.0228,0.3672,0.0019,-1.4619,0.0524,-3.1483,0.0301,334.2022,0.0007,-0.3156,0.0007,43,0.35,5.78,2,-51.78,1.1144,0.788
CWWDL_1597,150,251.8253,0.0054,-46.6544,0.0029,0.415,0.0012,-1.7737,0.113,-3.9448,0.1373,338.9633,0.0043,-0.9547,0.0012,91,0.3,7.76,10,-22.2122,15.4108,10.9803
CWWDL_1600,38,251.0535,0.001,-45.5374,0.0006,0.4043,0.0003,-1.3402,0.1401,-2.5163,0.0305,339.4635,0.0005,0.1784,0.0006,32,0.12,5.48,0,,,
CWWDL_1602,74,254.0029,0.0018,-43.2148,0.0008,0.3812,0.001,-0.9062,0.0373,-2.4257,0.0197,342.597,0.001,0.0462,0.0008,30,0.4,7.28,1,-8.808,,0
CWWDL_1610,34,256.5876,0.0308,-41.5816,0.0305,0.5946,0.0006,-0.7321,0.0077,-0.4947,0.0113,345.0581,0.0008,-0.4562,0.0006,25,-0.58,7.67,3,16.9443,76.0853,57.4564
CWWDL_1627,514,263.9584,0.0131,-33.9845,0.0119,0.3847,0.0015,-0.0776,0.1656,-1.5284,0.1844,354.6135,0.0137,-0.9069,0.0072,303,-0.58,5,29,4.6019,71.5915,53.7727
CWWDL_1647,30,261.5729,0.0449,-37.7827,0.0657,0.4443,0.0003,0.5146,0.0265,-0.9314,0.0334,350.3773,0.0051,-1.376,0.0003,20,0.3,5.7,2,-18.038,81.6539,57.738
CWWDL_1648,26,261.2075,0.0381,-37.4856,0.0129,0.5886,0.0004,0.1274,0.0048,-3.9473,0.0149,350.4613,0.0006,-0.9698,0.0005,23,0.44,5.78,1,78.055,,0
CWWDL_1653,28,264.0559,0.0525,-34.8193,0.0544,0.3948,0.0003,1.0966,0.1507,-0.6511,0.016,353.9534,0.0043,-1.4245,0.0003,22,-0.88,8.12,8,-16.1832,36.8616,25.7586
CWWDL_1660,135,266.5711,0.0668,-29.1761,0.0831,0.4993,0.0017,1.5887,0.1787,-0.8172,0.0716,338.5374,7218.5218,-0.2489,0.0037,109,0.27,7.76,18,-40.6337,16.5039,10.9654
CWWDL_1671,147,268.1044,0.0013,-28.2058,0.0026,0.3059,0.0011,-0.0908,0.1221,-1.907,0.1184,1.3947,0.0027,-0.9032,0.0008,90,0.4,7.79,13,-34.1099,68.6757,42.8105
CWWDL_1676,42,267.9889,0.0213,-27.8415,0.0225,0.3572,0.0004,0.7152,0.0398,0.1165,0.0165,1.6563,0.0005,-0.6298,0.0003,34,-0.1,7.97,2,-26.087,0.7707,0.545
CWWDL_1685,34,271.3291,0.0011,-22.9519,0.0007,0.2839,0.0002,-0.1287,0.0763,-1.5084,0.041,7.3989,0.001,-0.8022,0.0007,25,0.44,7.7,3,-12.326,44.2484,33.1633
CWWDL_1701,110,273.9771,0.0012,-18.11,0.0016,0.3576,0.001,-0.0129,0.0268,-1.218,0.0369,12.8364,0.0014,-0.6375,0.0013,86,-0.88,7.82,2,16.8215,6.3873,4.5165
CWWDL_1705,36,273.7595,0.0161,-17.0106,0.0186,0.3889,0.0011,1.1928,0.007,-1.0663,0.0266,13.704,0.0003,0.0689,0.0003,18,0.44,8.12,9,14.633,7.2781,5.0853
CWWDL_1713,29,274.4152,0.0155,-16.3571,0.0135,0.3131,0.001,-0.5272,0.0129,-1.0191,0.0254,14.5776,0.0003,-0.1726,0.0001,22,-0.88,7.52,2,40.357,1.1823,0.836
CWWDL_1730,37,278.355,0.0422,-10.7297,0.035,0.4794,0.0004,0.3274,0.041,-1.5218,0.0459,21.3419,0.0021,-0.9292,0.0008,29,0.44,7.82,4,-15.0083,43.3718,32.2928
CWWDL_1731,30,278.2398,0.0255,-9.3913,0.0299,0.3241,0.0004,-0.0605,0.022,-1.9592,0.0835,22.4771,0.0009,-0.2111,0.0006,21,0.4,5.6,2,169.341,272.0961,192.401
CWWDL_1736,58,280.0552,0.0011,-7.0557,0.0032,0.3768,0.0003,-0.4441,0.0544,-1.709,0.0598,25.3773,0.0031,-0.7333,0.0013,25,0.12,7.88,3,26.6647,3.6811,2.6349
CWWDL_1743,146,279.7277,0.0011,-6.4212,0.002,0.3841,0.002,-0.9608,0.0734,-1.2484,0.0393,25.7922,0.0023,-0.1535,0.0009,89,0.35,7.94,13,78.3672,60.8952,49.8844
CWWDL_1747,230,280.4679,0.0523,-5.4107,0.0501,0.4058,0.0008,-1.0498,0.0107,-1.3799,0.0154,27.0276,0.0032,-0.3451,0.002,194,-0.88,7.4,9,42.3253,18.6994,11.8336
CWWDL_1757,91,281.9124,0.0013,-3.8065,0.0024,0.4667,0.0015,-0.6297,0.0378,-1.9073,0.042,29.1125,0.0026,-0.8934,0.0011,49,0.44,7.82,8,12.0169,31.861,24.1316
CWWDL_1764,349,280.8295,0.0089,-3.8163,0.0311,0.4675,0.0011,-0.6232,0.1726,-2.1611,0.1814,28.6105,0.0333,0.0633,0.0067,146,-0.4,8.24,16,6.7281,63.1158,38.8484
CWWDL_1872,123,305.4705,0.0327,37.0706,0.0186,0.49,0.0005,-2.5012,0.0975,-5.3347,0.0784,75.4922,0.0328,0.106,0.0067,89,0.44,5.48,10,33.3832,46.4465,37.7218
CWWDL_1890,41,301.03,0.0265,30.4822,0.0336,0.345,0.0008,-1.4185,0.0997,-3.643,0.051,67.9634,0.0014,-0.4511,0.0002,20,-0.88,8.36,7,18.6336,29.6497,18.7544
CWWDL_1928,118,317.1093,0.0135,46.3544,0.002,0.2707,0.0007,-2.6487,0.2402,-3.7889,0.1477,88.1412,0.0054,-0.9024,0.003,69,0.44,7.64,7,-44.8456,19.1312,11.998
CWWDL_1930,32,316.2318,0.0353,46.2519,0.0195,0.2832,0.0004,-5.0558,0.0203,-6.271,0.018,87.6573,0.0005,-0.5231,0.0005,28,0.07,7.61,1,-47.771,,0
CWWDL_1937,20,322.1079,0.0011,49.4561,0.0008,0.3629,0.0003,-2.3051,0.027,-2.9992,0.0193,92.701,0.0011,-1.1181,0.0001,16,-0.4,6.86,1,-28.608,,0
CWWDL_1938,42,328.7124,0.0376,52.8057,0.0344,0.4069,0.0007,-3.9467,0.1059,-3.7614,0.0211,98.0241,0.0009,-1.3078,0.0007,34,0.4,7.37,0,,,
CWWDL_1939,32,327.794,0.126,52.9898,0.0365,0.4408,0.0001,-4.1482,0.0438,-4.5398,0.0137,97.7068,0.005,-0.8177,0.0018,28,0.2,7.04,1,-43.163,,0
CWWDL_1988,63,6.8074,0.0557,62.9457,0.0006,0.359,0.0002,-2.9172,0.1721,-0.8301,0.0577,120.1833,0.0115,0.2034,0.0006,40,0.4,7.25,2,-58.869,5.2184,3.69
CWWDL_1993,667,23.0689,1.0408,62.397,0.0082,0.3231,0.0015,-1.5502,0.1177,-0.3596,0.0713,127.6422,0.2186,-0.0969,0.0129,370,0.3,5.7,17,-71.4132,20.8471,17.3857
CWWDL_2006,505,29.0118,0.6818,62.0392,0.0233,0.3144,0.0015,-1.075,0.2017,-0.3001,0.1121,130.4277,0.1674,0.114,0.006,292,-0.04,7.64,21,-60.5689,31.7329,25.563
CWWDL_2007,91,37.616,0.1198,59.7583,0.0079,0.3677,0.0011,-0.0782,0.0917,-0.5285,0.0627,135.1089,0.0372,-0.751,0.0012,54,0.44,5.3,4,-33.8393,26.6661,18.5114
CWWDL_2008,47,33.5374,0.1565,60.0173,0.0266,0.3861,0.0005,-0.5496,0.0988,-0.3922,0.0361,133.0981,0.0062,-1.2116,0.0005,30,0.44,5.78,0,,,
CWWDL_2011,118,36.412,0.1276,59.8421,0.0149,0.4697,0.0008,-0.7693,0.1886,-0.5306,0.0496,134.5144,0.0431,-0.8935,0.0041,71,0.3,7.34,0,,,
CWWDL_2025,106,75.0928,0.0483,41.3505,0.041,0.2558,0.0011,0.3732,0.1435,-1.4042,0.1409,164.5589,0.0674,-0.5723,0.0008,66,-0.88,8.18,8,-18.7734,22.0896,16.9147
CWWDL_2041,26,90.6185,0.0098,25.4075,0.0328,0.3646,0.0002,0.3169,0.1109,-2.1995,0.3818,184.9411,0.0404,1.4438,0.0004,11,0.44,7.76,2,35.6885,25.2317,17.8415
CWWDL_2050,59,102.0848,0.0011,4.0322,0.0047,0.2599,0.0006,-0.484,0.0543,-0.5351,0.2084,208.99,0.0051,1.1495,0.0006,37,0.3,7.76,3,56.4373,14.1945,10.6144
CWWDL_2058,23,103.4543,0.004,-0.4856,0.0106,0.2183,0,-0.458,0.2271,0.456,0.1788,213.6353,0.0143,0.3079,0.0003,9,0.44,7.64,1,39.243,,0
CWWDL_2070,44,110.0405,0.0361,-12.0985,0.0533,0.2434,0.0002,-0.9949,0.1586,0.9495,0.3994,226.9537,0.0037,0.7569,0.0003,18,0.12,8.03,3,89.2033,20.3281,14.3911
CWWDL_2073,47,113.5054,0.0333,-19.198,0.1,0.3494,0.0004,-1.8569,0.0476,2.5158,0.1362,234.7843,0.0094,0.3054,0.0014,27,0.44,7.82,3,40.5747,3.2133,2.4704
CWWDL_2074,30,115.0701,0.0432,-19.7729,0.0665,0.3503,0.0002,-1.0453,0.0261,1.0514,0.0142,236.0069,0.0051,1.3112,0.0008,21,0.3,7.79,1,64.422,,0
CWWDL_2077,41,115.6994,0.0017,-21.0263,0.0027,0.2571,0.0003,-2.0381,0.1755,2.9223,0.2634,237.3884,0.0034,1.2036,0.0007,22,0.44,7.13,2,102.4675,5.1937,3.6725
CWWDL_2084,53,118.3841,0.0011,-25.566,0.0027,0.241,0.0002,-2.2097,0.1837,2.9371,0.3884,242.5523,0.0025,1.0373,0.0011,22,0.44,7.88,5,93.5614,29.5427,24.5621
CWWDL_2090,41,120.7063,0.0207,-28.5544,0.0341,0.3382,0.0004,-2.9203,0.1068,2.5286,0.0818,246.1814,0.0009,1.239,0.0005,29,0.44,7.58,0,,,
CWWDL_2091,30,120.3798,0.0024,-29.0539,0.0044,0.2406,0.0005,-2.3723,0.0972,3.1371,0.1854,246.4534,0.006,0.7317,0.0002,13,0.16,7.88,2,76.4655,4.0949,2.8955
CWWDL_2092,27,119.2652,0.0469,-27.9162,0.038,0.2911,0.0006,-2.9622,0.0189,2.7465,0.1199,244.9708,0.0027,0.4946,0.0004,18,-0.4,7.76,0,,,
CWWDL_2100,61,123.3924,0.0033,-33.5497,0.004,0.2279,0.0001,-2.7649,0.2628,3.4863,0.2553,251.6267,0.0046,0.467,0.0017,31,0.35,7.52,2,86.146,6.4997,4.596
CWWDL_2102,31,124.0774,0.0652,-33.5783,0.0363,0.2631,0.0001,-2.4802,0.1311,2.9547,0.4101,251.9675,0.003,0.9258,0.0011,20,0.4,7.79,4,57.644,18.478,14.054
CWWDL_2104,83,123.6363,0.0053,-33.1172,0.0077,0.2363,0.0004,-2.6392,0.1359,2.8054,0.1962,251.3793,0.0099,0.8761,0.0015,49,0.44,7.73,3,73.4933,15.5092,11.9358
CWWDL_2105,97,124.3149,0.0056,-34.1431,0.0105,0.2424,0.0003,-2.6757,0.1523,3.3756,0.2283,252.5461,0.013,0.7735,0.0014,52,0.44,7.82,3,88.9823,22.2062,16.0811
CWWDL_2109,25,123.2843,0.0041,-33.371,0.0051,0.2509,0.0001,-2.5972,0.1407,2.9461,0.1122,251.4279,0.0077,0.4905,0.0002,12,-0.28,8.36,2,56.413,17.1473,12.125
CWWDL_2111,52,123.8308,0.0059,-32.3568,0.0069,0.2216,0.0001,-2.5205,0.2699,2.822,0.2827,250.8376,0.0104,1.4343,0.0007,26,0.4,7.91,3,63.4393,5.8211,4.0031
CWWDL_2131,59,126.8455,0.0054,-36.3247,0.0086,0.2695,0.0002,-3.0405,0.3979,3.045,0.2395,255.5175,0.0111,1.225,0.001,16,-0.88,8.36,4,61.7743,15.0929,11.0854
CWWDL_2156,66,145.2711,0.0281,-50.8828,0.0093,0.3201,0.0007,-5.16,0.2605,3.5452,0.2391,275.1597,0.0195,1.4282,0.001,33,0.07,7.91,8,28.517,24.9414,19.594
CWWDL_2180,94,161.7407,0.0248,-57.7109,0.0015,0.2467,0.0007,-6.0061,0.4575,2.7183,0.1101,286.9019,0.008,1.234,0.0006,45,-0.4,8.09,5,20.4046,17.5766,12.5494
CWWDL_2181,46,159.0288,0.0054,-57.6353,0.0012,0.3907,0.0004,-7.2447,0.0859,3.67,0.0419,285.5918,0.0018,0.6075,0.0009,25,0.32,6.8,1,19.391,,0
CWWDL_2197,40,163.7039,0.0534,-58.0471,0.0208,0.3566,0.0009,-4.4889,0.0289,1.245,0.0066,287.9862,0.0011,1.3999,0.0001,31,0.12,8,4,-4.324,17.123,12.828
CWWDL_2200,132,166.279,0.0119,-59.7301,0.0034,0.384,0.0003,-6.6835,0.1017,1.8643,0.0985,289.8963,0.003,0.4233,0.0034,80,0.23,6.2,3,6.903,22.8987,17.53
CWWDL_2211,34,169.8266,0.0389,-59.5668,0.0217,0.4043,0.0005,-6.3581,0.0174,1.1178,0.0314,291.4983,0.0006,1.2441,0.0003,31,0.23,7.07,1,-14.266,,0
CWWDL_2215,46,170.3212,0.0632,-60.5649,0.0308,0.4335,0.0003,-6.3099,0.0583,1.1982,0.0431,292.0741,0.0007,0.3922,0.0012,38,-0.58,6.42,1,9.546,,0
CWWDL_2237,123,182.3247,0.004,-61.3263,0.0011,0.3376,0.0014,-6.8741,0.1213,0.6228,0.0684,297.8981,0.0008,1.1329,0.0012,37,0.2,8.12,15,-26.157,21.34,18.626
CWWDL_2259,41,202.6707,0.0707,-61.799,0.0377,0.3156,0.0003,-4.544,0.0631,-1.5659,0.087,307.5511,0.0013,0.7203,0.0012,35,0.4,5.78,1,-46.929,,0
CWWDL_2281,64,246.383,0.033,-47.9319,0.0349,0.4461,0.0017,-2.7109,0.0671,-3.7653,0.0178,335.5358,0.0011,0.9168,0.0006,45,-0.1,7.88,4,-31.989,32.9604,23.8965
CWWDL_2283,49,251.4114,0.0207,-44.4421,0.0194,0.3438,0.001,-0.707,0.0103,-1.009,0.0121,340.4588,0.0003,0.7012,0.0003,40,0.4,5.78,0,,,
CWWDL_2285,245,251.9049,0.0027,-44.5411,0.0018,0.4134,0.0019,-1.6231,0.0796,-3.1597,0.0733,340.6117,0.002,0.3689,0.0012,162,-0.28,8.03,37,-19.7865,15.3233,7.4049
CWWDL_2334,36,276.0495,0.0236,-12.2176,0.0499,0.443,0.0006,-0.3084,0.0721,-1.6975,0.0298,18.9749,0.0026,0.3806,0.0004,24,0.37,5.78,0,,,
CWWDL_2339,80,279.7551,0.002,-5.3582,0.0013,0.326,0.0006,-0.7033,0.0818,-2.2697,0.1884,26.7494,0.0023,0.3097,0.001,43,-0.4,5,4,-42.1768,109.5306,81.1501
CWWDL_2352,39,282.4638,0.0308,-0.3322,0.0553,0.4897,0.0006,-0.4156,0.0267,-1.9321,0.0311,32.4559,0.0031,0.2007,0.0008,26,0.3,5.7,2,-163.47,186.4556,131.844
CWWDL_2361,46,288.8881,0.033,12.8667,0.0595,0.5899,0.0008,-1.2738,0.011,-3.3652,0.0165,47.1071,0.0038,0.5968,0.0007,35,0.44,7.22,1,14.115,,0
CWWDL_2418,30,295.9074,0.0241,24.4332,0.029,0.4203,0.0004,-3.442,0.0481,-6.601,0.0217,60.4392,0.0006,0.3251,0.0007,24,0.44,5.78,2,105.1385,20.3286,14.3745
CWWDL_2447,107,299.7213,0.0025,31.1102,0.0021,0.3552,0.0009,-2.2622,0.0701,-5.9017,0.1736,67.9019,0.0026,0.8352,0.0013,68,0.3,5.7,5,13.0432,10.5313,8.3018
CWWDL_2458,77,299.8892,0.0022,31.1798,0.0022,0.3299,0.0004,-2.5002,0.1497,-5.1803,0.184,68.0366,0.0013,0.7493,0.0025,42,0.44,7.43,3,-13.113,8.1347,5.8507
CWWDL_2459,41,300.9125,0.0285,32.6712,0.0269,0.462,0.0007,-1.0463,0.0163,-2.0376,0.0321,69.7617,0.0009,0.8011,0.0004,29,0.32,5.3,1,87.154,,0
CWWDL_2501,556,305.4287,0.072,38.7807,0.0416,0.5636,0.0005,-3.2802,0.1038,-5.6915,0.1598,76.8789,0.0599,1.1077,0.0254,363,0.4,6.2,33,-3.1131,47.8029,32.8809
CWWDL_2520,42,314.397,0.0368,46.2296,0.0433,0.283,0.0007,-2.758,0.1107,-4.6243,0.0512,86.8026,0.0021,0.4151,0.0004,25,-0.28,8.03,2,-19.391,49.5555,35.041
CWWDL_2544,407,336.8014,0.1566,58.9865,0.0411,0.2656,0.0009,-3.2137,0.1502,-2.3615,0.0793,105.2735,0.0729,1.1523,0.0099,157,-0.88,7.67,26,-22.1201,81.572,61.6717
CWWDL_2547,60,334.7247,0.0871,57.4418,0.0311,0.3149,0.0012,-4.4141,0.1073,-3.5652,0.0573,103.5217,0.0027,0.4354,0.0004,38,0.4,7.79,4,-60.202,34.62,25.37
CWWDL_2551,56,335.9278,0.0309,57.1395,0.0034,0.2578,0.0003,-3.3762,0.2637,-2.7053,0.1791,103.9041,0.0117,-0.1709,0.0008,28,0.4,7.79,3,-60.805,18.284,12.996
CWWDL_2552,44,333.3167,0.0064,56.4766,0.0008,0.3309,0.0005,-2.8691,0.0811,-2.3589,0.1559,102.3461,0.0019,0.063,0.0008,20,0.42,7.88,2,-6.5155,10.6681,7.5435
CWWDL_2573,48,347.5184,0.1394,60.9597,0.0427,0.3201,0.0003,-4.1007,0.2205,-1.982,0.0919,110.9401,0.0052,0.4703,0.0011,36,0.12,5.3,0,,,
CWWDL_2577,29,345.5308,0.0967,60.3258,0.0445,0.3032,0.0002,-3.9558,0.0503,-2.5421,0.0406,109.7947,0.0022,0.2725,0.0019,21,0.32,5.3,0,,,
CWWDL_2581,72,350.6087,0.0609,61.0439,0.0067,0.318,0.0008,-3.9112,0.1414,-2.0869,0.083,112.3683,0.0179,0.0111,0.0031,31,0.44,7.46,1,-53.019,,0
CWWDL_2584,229,356.3484,0.1017,62.1641,0.0029,0.3099,0.0009,-3.5388,0.1619,-1.5607,0.0981,115.3059,0.0226,0.2746,0.0024,143,0.3,5.7,7,-57.0577,16.5287,13.9408
CWWDL_2585,43,356.0711,0.0187,62.6787,0.001,0.3448,0.0008,-3.7266,0.0392,-1.5557,0.1533,115.313,0.0038,0.8046,0.0012,23,0.4,6.26,1,-51.548,,0
CWWDL_2604,559,15.8341,0.4826,63.4583,0.0179,0.3273,0.001,-2.307,0.2609,-0.4022,0.0667,124.2607,0.0964,0.6189,0.0179,239,0.35,5.48,15,-64.6463,29.7956,19.9504
CWWDL_2617,60,27.9707,0.4002,62.7219,0.0582,0.3431,0.0003,-1.0977,0.2559,-0.2346,0.0854,129.7946,0.0356,0.6589,0.0007,36,0.12,7.82,6,-55.5097,20.2583,16.8001
CWWDL_2618,118,38.787,0.3815,61.7618,0.0291,0.4682,0.0004,-0.5575,0.1857,-0.2635,0.1036,134.8751,0.1104,1.3204,0.0044,82,0.44,7.22,9,-39.4142,40.3504,25.818
CWWDL_2619,58,28.3022,0.0902,62.7859,0.0026,0.3368,0.0002,-1.0104,0.2556,-0.3008,0.0906,129.927,0.0205,0.7564,0.0009,36,0.4,7.79,3,-45.4527,22.384,17.2151
CWWDL_2624,285,40.1593,0.1635,60.7953,0.0088,0.411,0.0019,-0.4745,0.1969,-0.3451,0.0921,135.8646,0.0434,0.696,0.0043,189,0.44,6.95,8,-61.9466,31.7556,25.2827
CWWDL_2626,99,44.3134,0.1706,60.3049,0.0208,0.3574,0.0009,0.1185,0.1862,-0.3404,0.1437,137.9164,0.0601,1.1468,0.0024,55,0.07,7.88,8,-38.7086,21.4749,16.3534
CWWDL_2632,23,48.3166,0.0155,58.9225,0.0025,0.3687,0.0002,0.6516,0.068,-0.8015,0.0598,140.3585,0.0059,0.9354,0.0007,17,0.44,7.52,1,-20.894,,0
CWWDL_2644,26,78.9365,0.002,39.6433,0.0034,0.2361,0.0004,0.6716,0.0351,-0.6582,0.0295,167.6758,0.0042,0.746,0.0004,17,0.07,7.7,1,-2.144,,0
CWWDL_2645,30,91.2058,0.0347,25.2636,0.0613,0.2181,0.0001,0.2577,0.0921,-1.1688,0.2994,185.3273,0.0026,1.8353,0.002,17,0.44,7.82,2,42.855,17.7555,12.555
CWWDL_2646,35,91.0065,0.0392,26.6488,0.0754,0.5392,0.0014,0.3185,0.0365,-0.0589,0.0154,184.0309,0.0046,2.3574,0.0021,27,0.44,7.88,6,28.0437,10.641,6.8416
CWWDL_2647,70,90.5533,0.004,26.1114,0.0117,0.2666,0.0007,0.1767,0.0613,-1.2057,0.1624,184.2996,0.0138,1.7396,0.0011,22,0.12,7.94,3,41.296,22.7732,15.6787
CWWDL_2661,145,97.7819,0.0032,15.088,0.0064,0.2994,0.0016,-0.1466,0.1083,-1.0622,0.134,197.2154,0.0065,2.4439,0.0029,77,-0.4,8.03,11,43.0572,13.7513,9.1581
CWWDL_2663,60,97.2016,0.0008,14.9191,0.0022,0.3289,0.0009,1.1311,0.084,-1.3924,0.0543,197.1059,0.0022,1.8688,0.0008,31,-0.18,8.03,4,30.5572,22.0225,18.7663
CWWDL_2672,141,105.5793,0.0026,-1.8301,0.0049,0.2626,0.0009,-0.9194,0.0812,0.7276,0.2051,215.8018,0.0053,1.5843,0.0021,75,0.4,7.79,8,71.5229,13.7907,11.6661
CWWDL_2674,61,106.3485,0.0018,-1.0047,0.0023,0.2556,0.0005,-1.0592,0.125,0.7234,0.2012,215.4192,0.0024,2.6457,0.0017,23,0.42,7.76,4,57.7075,40.3219,29.3203
CWWDL_2675,58,105.6617,0.0436,-2.1012,0.0583,0.3395,0.0007,-0.6628,0.0375,-0.5498,0.0441,216.0806,0.0044,1.5336,0.0008,49,0.35,7.7,1,58.864,,0
CWWDL_2676,46,108.8528,0.0247,-7.4232,0.0314,0.3095,0.0007,-1.3005,0.0333,1.3562,0.0546,222.2715,0.001,1.9046,0.0005,36,0.32,6.65,1,64.682,,0
CWWDL_2679,47,110.5267,0.0335,-10.6727,0.0716,0.2498,0.0002,-1.2164,0.0759,1.1106,0.1583,225.9187,0.0047,1.8476,0.0014,28,-0.18,7.55,2,71.149,12.9033,9.124
CWWDL_2688,53,116.7434,0.0318,-20.9637,0.0409,0.2634,0.0005,-1.3536,0.0408,1.8142,0.0302,237.8212,0.0021,2.0792,0.0004,32,0.4,7.49,2,86.778,16.0612,11.357
CWWDL_2690,35,118.8873,0.002,-24.0076,0.0037,0.271,0.0003,-2.2638,0.2406,2.9112,0.2082,241.4522,0.004,2.2323,0.0015,22,-0.58,8.06,1,63.118,,0
CWWDL_2693,43,118.6927,0.0387,-24.0653,0.0668,0.2399,0.0002,-2.475,0.1231,3.0313,0.2512,241.4098,0.0043,2.0503,0.0013,32,0.44,5.78,0,,,
CWWDL_2698,34,120.1452,0.0021,-26.7201,0.0031,0.2486,0.0003,-2.3262,0.2568,2.7783,0.2466,244.361,0.0036,1.7869,0.0011,22,0.44,7.73,3,82.153,28.0338,20.5487
CWWDL_2701,50,122.4746,0.0033,-29.8479,0.0012,0.2284,0.0003,-2.6398,0.0748,2.5548,0.0754,248.1026,0.0016,1.8449,0.0021,23,0.42,8.06,3,57.584,7.2923,5.5373
CWWDL_2703,121,122.3942,0.0062,-31.2155,0.0143,0.2343,0.0003,-2.3245,0.1914,2.8941,0.4408,249.2124,0.0176,1.0423,0.0012,41,0.44,7.73,9,72.5872,41.1079,30.3155
CWWDL_2705,30,124.975,0.0014,-31.6986,0.0018,0.2213,0.0001,-2.3688,0.1644,2.5447,0.3303,250.8358,0.0017,2.6066,0.0011,18,-0.28,7.97,2,71.309,12.4437,8.799
CWWDL_2706,116,126.452,0.0352,-33.7401,0.029,0.239,0.0003,-2.8172,0.3005,2.907,0.3862,253.2235,0.0518,2.4605,0.0017,63,0.44,7.67,4,60.3615,18.1463,13.2733
CWWDL_2734,105,146.7544,0.0238,-50.2083,0.0092,0.2503,0.0003,-5.3057,0.4326,3.5582,0.3994,275.4382,0.0177,2.5533,0.0013,35,0.4,7.79,6,31.1527,35.8829,28.3248
CWWDL_2750,21,161.0146,0.0026,-57.251,0.0005,0.219,0.0002,-6.6674,0.1907,3.2521,0.2303,286.3423,0.001,1.4598,0.0003,12,0.3,7.82,2,22.1925,7.2627,5.1355
CWWDL_2753,86,170.2399,0.104,-59.2959,0.0261,0.3458,0.0008,-5.3936,0.1129,1.8427,0.0523,291.6024,0.0026,1.5708,0.0009,61,0.4,8.03,25,-20.0897,17.4105,10.5802
CWWDL_2763,22,175.407,0.0011,-59.5513,0.0008,0.4205,0.0003,-7.1715,0.0388,1.1762,0.0246,294.1837,0.0004,2.1295,0.0007,18,-0.58,7.43,2,-32.5655,6.7847,4.7975
