"Cluster","GLON","e_LON","GLAT","e_LAT","Num","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","logA","A0","_RA.icrs","_DE.icrs"
"CWNU_1157",228.8771,0.073,-4.1179,0.051,17,0.802,0.015,-3.111,0.102,1.797,0.116,7.85,0.7,106.5009,-16.0579
"CWNU_1158",165.9587,0.116,6.2972,0.044,15,0.826,0.026,1.934,0.06,-2.574,0.049,7.95,0.95,83.846,44.163
"CWNU_1159",265.8824,0.089,-2.7462,0.112,17,1.381,0.036,-4.771,0.128,3.764,0.159,6.9,0.1,130.9247,-46.9992
"CWNU_1160",259.1908,0.233,-3.5521,0.122,15,1.998,0.054,-11.046,0.415,5.979,0.572,7.55,0.85,124.4913,-42.0676
"CWNU_1161",276.7149,0.463,9.456,0.436,19,2.563,0.017,-0.251,0.383,-0.749,0.753,8.1,0.3,154.4559,-45.4526
"CWNU_1162",245.5881,0.229,-12.3406,0.729,19,3.861,0.084,-11.191,0.659,7.195,0.317,7.65,0.2,106.3489,-34.513
"CWNU_1163",260.5751,0.144,-2.893,0.159,16,2.054,0.091,-9.341,0.902,6.452,0.25,7.3,0.15,126.2898,-42.8315
"CWNU_1164",66.8102,1.758,-48.1672,0.621,16,6.772,0.075,20.801,2.532,-9.95,3.284,8.15,0.3,339.235,-0.5081
"CWNU_1165",113.9833,0.647,-8.7976,0.361,15,2.319,0.059,5.043,2.268,-3.296,0.424,7.7,0.85,358.0461,53.0415
"CWNU_1166",129.795,0.062,1.3864,0.082,15,1.059,0.025,-0.822,0.391,-2.049,0.345,7.65,1.45,28.3498,63.4295
"CWNU_1167",295.0064,1.122,-0.6006,0.969,21,2.465,0.057,-15.14,0.369,-2.964,0.783,7.55,0.6,175.5447,-62.4018
"CWNU_1168",34.4505,0.632,6.9782,0.294,26,2.298,0.059,0.587,0.806,-5.253,0.693,7.6,1.2,277.3258,4.5201
"CWNU_1169",245.5498,0.532,-16.9264,0.245,19,4.279,0.155,-9.006,0.377,9.08,0.616,7.5,0.15,101.1555,-36.2783
"CWNU_1170",351.7179,0.073,-1.6087,0.048,20,0.803,0.018,-0.642,0.233,-0.759,0.201,7.75,2.3,262.7491,-36.7954
"CWNU_1171",167.369,2.434,-43.714,0.756,15,5.981,0.097,1.632,3.535,-8.959,3.239,8.75,0.2,43.6163,8.2912
"CWNU_1172",160.0674,0.338,-14.7833,0.139,15,2.041,0.061,1.157,1.97,-6.393,1.374,8.2,0.7,58.113,34.7273
"CWNU_1173",298.5737,0.129,-7.89,0.185,17,2.29,0.034,-13.198,0.211,-0.811,0.15,7.35,0.8,179.9418,-70.3233
"CWNU_1174",255.9334,0.407,-14.3952,0.293,16,2.386,0.061,-4.815,0.936,6.17,1.207,8.05,0.6,109.3002,-44.5307
"CWNU_1175",102.7768,0.242,-2.3769,0.35,20,2.955,0.089,10.024,1.824,2.031,1.213,7.85,0.45,336.3214,54.6723
