"name","ra","dec","lii","bii","cluster_radius","pm_ra","pm_dec","distance","e_bv","distance_modulus","log_age","log_age_error","metallicity","metallicity_error"
"MWSC 4688",357.975,-86.72,303.907,-30.295,"  0.185","   3.20","  -5.00","    1336","  0.219"," 10.700","  9.390",,,
"MWSC 5684",193.429,-86.648,302.968,-23.776,"  0.155"," -13.04","   0.17","    1432","  0.375"," 10.900","  9.180","  0.023",,
"MWSC 5692",266.835,-86.61,306.562,-26.146,"  0.135","  -6.22","  -9.02","    1555","  0.437"," 11.100","  8.930",,,
"MWSC 4005",2.865,-85.48,303.852,-31.577,"  0.165","   9.31","  -1.47","    1159","  0.250"," 10.400","  9.375",,,
"MWSC 4176",216.825,-85.42,304.95,-22.929,"  0.280","  -9.41","   0.12","    1093","  0.333"," 10.300","  9.315",,,
"ESO 008-06",224.227,-83.445,306.593,-21.485,"  0.185","  -5.26","  -4.21","    1380","  0.312"," 10.800","  9.300",,,
"MWSC 4219",235.56,-83.195,307.905,-22.041,"  0.200","  -9.26","  -3.14","    1606","  0.375"," 11.150","  9.100",,,
"MWSC 5575",29.925,-83.05,300.484,-33.751,"  0.150","   6.33","  -2.50","    2191","  0.302"," 11.800","  9.200",,,
"MWSC 4682",355.845,-82.96,305.407,-33.838,"  0.190","   5.87","   0.28","    1065","  0.354"," 10.250","  9.280","  0.061",,
"MWSC 5685",196.35,-82.043,303.443,-19.185,"  0.160","  -3.12","  -2.73","    1581","  0.406"," 11.125","  9.150",,,
"MWSC 5681",160.447,-82.005,298.373,-20.307,"  0.115","  -8.28","   4.40","    1700","  0.458"," 11.300","  8.980",,,
"FSR 1626",185.025,-81.51,301.714,-18.712,"  0.200","  -6.84","   1.92","    2671","  0.208"," 12.200","  9.600",,,
"FSR 1631",191.43,-81.258,302.703,-18.389,"  0.180","  -6.22","  -2.52","    1456","  0.104"," 10.849","  9.500",,,
"FSR 1629",188.73,-80.95,302.249,-18.1,"  0.170","  -9.08","  -1.46","    3597","  0.062"," 12.800","  9.700",,,
