"name","ra","dec","lii","bii","cluster_radius","pm_ra","pm_dec","distance","e_bv","distance_modulus","log_age","log_age_error","metallicity","metallicity_error"
"MWSC 5688",231.495,-80.13,309.442,-19.273,"  0.105","  -6.58","  -8.25","    1236","  0.281"," 10.550","  8.990",,,
"ESO 026-02",306.659,-80,313.587,-30.758,"  0.160","   4.69","  -4.09","    2473","  0.104"," 12.000","  9.700",,,
"MWSC 4137",141.548,-79.74,294.398,-20.463,"  0.180","  -4.09","   8.78","    1209","  0.271"," 10.500","  9.210","  0.030",,
"Melotte 227",304.2,-79.04,314.806,-30.613,"  0.330","   4.61","  -7.30","    2218","  0.062"," 11.750","  9.700",,,
"MWSC 5679",143.25,-78.97,294.027,-19.708,"  0.155","  -3.67","   6.21","    1122","  0.468"," 10.400","  8.500",,,
"MWSC 5572",28.575,-78.965,299.175,-37.701,"  0.140","   3.27"," -11.38","    1472","  0.187"," 10.900","  9.300",,,
"MWSC 5749",308.04,-78.615,315.019,-31.45,"  0.150","   4.00","  -3.90","    1890","  0.364"," 11.500","  9.345",,,
"ESO 021-06",213.966,-78.515,307.217,-16.352,"  0.165","  -3.04","  -5.85","    2473","  0.104"," 12.000","  9.500",,,
"MWSC 5672",108.832,-78.44,290.191,-25.352,"  0.135","  -6.55","  10.11","    1288","  0.468"," 10.700","  9.490",,,
"MWSC 4114",91.965,-78.22,289.716,-28.732,"  0.240","   0.23","   5.86","     962","  0.260"," 10.000","  9.400",,,
"MWSC 5680",145.95,-78.205,293.86,-18.788,"  0.150","  -3.54","   3.37","    1050","  0.291"," 10.200","  9.300",,,
"FSR 1607",173.25,-77.825,298.718,-15.6,"  0.150","  -8.99","  -1.53","    1561","  0.104"," 11.001","  9.565","  0.002",,
"MWSC 5698",280.455,-77.723,316.599,-25.952,"  0.150","   4.00","  -1.16","    2069","  0.687"," 11.800","  8.890",,,
"FSR 1675",242.62,-77.66,312.857,-18.819,"  0.135","  -4.02","  -6.28","    5666","  0.104"," 13.800","  9.200",,,
"MWSC 4140",144.15,-77.48,293.04,-18.532,"  0.225","  -3.25","   3.26","    2465","  0.437"," 12.100","  9.280",,,
"FSR 1640",197.977,-77.45,304.08,-14.624,"  0.155"," -14.11","  -0.42","    6213","  0.104"," 14.000","  9.200",,,
"FSR 1579",138.42,-77.425,292.108,-19.412,"  0.150","  -5.36","   1.45","    1000","  0.000"," 10.000","  9.500",,,
"Chamaleon I",165.9,-77.34,297.007,-15.726,"  0.360","  -6.50","   8.89","     380","  0.312","  7.999","  6.000",,,
"MWSC 4668",344.235,-77.17,310.709,-38.176,"  0.180","   8.19","  -5.04","     775","  0.167","  9.500","  9.100",,,
"FSR 1639",197.317,-77.135,303.955,-14.299,"  0.195"," -15.29","  -3.86","    7943","  0.000"," 14.500","  9.300",,,
"NGC 1520",59.468,-76.8,291.141,-35.701,"  0.130","   4.96","  -3.37","    1023","  0.000"," 10.049","  9.430",,,
"FSR 1577",142.192,-76.085,291.661,-17.875,"  0.150","  -4.92","   1.35","    1561","  0.104"," 11.001","  9.600",,,
"FSR 1598",170.775,-75.015,297.203,-13.135,"  0.110","  -9.20","   1.88","    3575","  0.104"," 12.800","  9.700",,,
"MWSC 5676",130.477,-74.765,288.644,-19.362,"  0.145","  -3.29","   4.86","    1604","  0.385"," 11.150","  9.150",,,
"ESO 043-13",256.185,-74.35,317.734,-19.348,"  0.140","  -1.75","  -4.16","    1490","  0.104"," 10.899","  9.315","  0.044",,
"FSR 1647",206.423,-73.96,306.723,-11.489,"  0.170","  -8.48","  -1.53","    2436","  0.208"," 12.000","  9.455",,,
"FSR 1642",200.7,-73.575,305.183,-10.84,"  0.130","  -7.47","  -2.35","    3211","  0.208"," 12.600","  9.500",,,
"MWSC 4138",141.78,-73.5,289.631,-16.165,"  0.185","  -3.30","   6.47","    1908","  0.458"," 11.550","  9.280",,,
"MWSC 5671",106.275,-73.38,284.578,-24.946,"  0.210","   1.95","   7.67","    2001","  0.291"," 11.600","  9.400",,,
"FSR 1692",251.309,-72.831,318.212,-17.349,"  0.115","  -1.10","  -7.76","    1781","  0.146"," 11.300","  9.450",,,
"FSR 1566",147.645,-72.762,290.387,-14.46,"  0.140","  -8.40","  -1.01","    1537","  0.208"," 11.000","  9.430","  0.048",,
"FSR 1667",215.423,-72.085,309.825,-10.432,"  0.155","  -4.72","   2.48","    5175","  0.250"," 13.650","  9.350",,,
"FSR 1638",195.278,-71.395,303.712,-8.538,"  0.120","  -1.89","   1.44","    7702","  0.208"," 14.500","  9.500",,,
"ESO 065-07",202.29,-71.265,305.983,-8.617,"  0.110","  -5.54","  -4.05","    3477","  0.291"," 12.800","  9.400",,,
"FSR 1658",208.762,-70.75,308.173,-8.528,"  0.147"," -10.39","  -0.99","    4239","  0.354"," 13.250","  9.550",,,
"MWSC 5691",261.54,-70.735,321.888,-18.886,"  0.100","  -2.04"," -10.03","    2241","  0.770"," 12.000","  8.350",,,
"NGC 1557",63.285,-70.465,283.768,-38.267,"  0.220","   1.74","   7.18","    1820","  0.000"," 11.300","  9.500",,,
"NGC 5359",210,-70.4,308.666,-8.295,"  0.170","  -6.17","  -3.84","    2221","  0.208"," 11.800","  8.750",,,
"MWSC 5674",121.642,-70.325,283.175,-19.444,"  0.115","  -6.19","   8.95","    1803","  0.375"," 11.400","  9.350",,,
"FSR 1572",155.917,-69.825,290.761,-10.526,"  0.120"," -10.27","   7.04","    3494","  0.104"," 12.750","  9.350",,,
"ASCC 69",181.575,-69.78,299.023,-7.252,"  0.275","  -6.90","   0.50","     774","  0.171","  9.499","  7.910",,,
"ESO 065-03",192.825,-69.73,302.92,-6.858,"  0.140"," -14.54","   4.63","    3047","  0.562"," 12.600","  8.960","  0.038",,
"ASCC 51",139.523,-69.69,286.251,-14.074,"  0.450","  -8.15","   8.39","     496","  0.104","  8.511","  8.540","  0.074",,
"FSR 1661",209.482,-69.365,308.765,-7.25,"  0.100","  -9.87","   3.30","    4331","  0.208"," 13.250","  9.400",,,
"ESO 062-08",155.415,-69.348,290.347,-10.222,"  0.100","  -9.95","   3.72","    1983","  0.042"," 11.500","  9.440","  0.002",,
"FSR 1568",156.195,-69.07,290.429,-9.839,"  0.140","  -6.36","   5.32","    1871","  0.125"," 11.401","  9.350",,,
"ESO 062-11",159.735,-69.035,291.509,-9.155,"  0.140","  -8.91","   6.21","    2695","  0.458"," 12.300","  9.080","  0.036",,
"FSR 1593",171.96,-68.735,295.441,-7.088,"  0.140","  -6.95","   7.98","    1825","  0.291"," 11.400","  9.455","  0.076",,
"MWSC 4483",289.283,-68.525,327.131,-27.437,"  0.235","   0.48","  -5.79","    1397","  0.229"," 10.800","  9.310","  0.103",,
"ESO 064-05",186.18,-68.485,300.475,-5.741,"  0.160","  -8.52","   1.67","    1239","  0.416"," 10.599","  7.885",,,
"NGC 1901",79.56,-68.44,279.027,-33.603,"  0.335","   1.68","   9.54","     406","  0.021","  8.049","  8.850",,"  -0.331","  0.120"
"ASCC 78",226.403,-68.405,314.804,-8.683,"  0.155","  -6.16","  -0.42","    3241","  0.146"," 12.600","  9.380",,"  -0.058","  0.080"
"Collinder 261",189.525,-68.367,301.697,-5.527,"  0.235"," -10.27","   3.32","    2683","  0.333"," 12.250","  9.700",,"  -0.030","  0.030"
"FSR 1650",203.913,-68.113,307.05,-5.595,"  0.155"," -13.80","   1.69","    4103","  0.729"," 13.300","  9.000",,,
"Ruprecht 163",166.222,-67.943,293.163,-7.115,"  0.090"," -12.26","   6.70","    3019","  0.312"," 12.500","  9.365",,,
"FSR 1554",149.704,-67.739,287.671,-10.139,"  0.110","  -8.09","   6.64","    1513","  0.312"," 11.000","  9.050",,,
"FSR 1654",205.523,-67.7,307.724,-5.301,"  0.095","  -8.65","  -2.81","    4015","  0.874"," 13.300","  8.780","  0.031",,
"ASCC 71",185.19,-67.53,299.998,-4.833,"  0.235","  -9.20","   0.82","    1209","  0.271"," 10.499","  8.000",,,
"Ruprecht 110",211.41,-67.475,309.966,-5.622,"  0.185"," -11.67","  -4.00","    1241","  0.312"," 10.569","  8.700",,"  -0.234","  0.113"
"NGC 2348",105.765,-67.39,278.119,-23.803,"  0.160","  -7.40","   9.98","    1076","  0.125"," 10.199","  9.475",,,
"ASCC 73",189.09,-67.25,301.471,-4.421,"  0.245"," -10.63","  -1.20","     650","  0.050","  9.081","  8.190",,,
"VDBH 140",193.32,-67.17,303.111,-4.299,"  0.110"," -10.30","  -1.54","    5229","  0.645"," 13.800","  9.400",,,
"FSR 1597",176.145,-67.085,296.477,-5.055,"  0.165"," -10.14","   2.89","    2879","  0.323"," 12.400","  9.300",,,
"Collinder 268",199.567,-67.075,305.547,-4.34,"  0.115","  -1.20","   1.92","    1811","  0.344"," 11.400","  8.790",,,
"FSR 1623",189.033,-66.942,301.43,-4.115,"  0.135","  -3.72","  -3.94","    6915","  0.625"," 14.400","  8.900",,,
"MWSC 5694",269.34,-66.8,326.939,-19.703,"  0.110","  -7.86","  -5.04","    1570","  0.375"," 11.100","  9.000",,,
"ASCC 57",152.73,-66.7,287.99,-8.606,"  0.215","  -6.56","   3.67","    1483","  0.208"," 10.923","  9.260","  0.036","  -0.347","  0.097"
"FSR 1656",205.335,-66.637,307.86,-4.244,"  0.105","  -8.41","  -1.63","    5087","  0.521"," 13.700","  9.250",,,
"FSR 1514",119.632,-66.63,279.329,-18.463,"  0.135","  -1.24","   8.55","    2754","  0.000"," 12.200","  9.500",,,
"FSR 1617",187.132,-66.56,300.652,-3.79,"  0.171","  -9.01","   1.01","    1828","  0.437"," 11.451","  8.900",,,
"ASCC 76",208.058,-66.405,308.972,-4.249,"  0.220","  -4.25","  -3.80","    1025","  0.458"," 10.201","  7.750",,,
"VDBH 164",221.91,-66.39,314.211,-6.097,"  0.370","  -5.90","  -9.00","     501","  0.312","  8.600","  7.100",,,
"Collinder 269",200.963,-66.16,306.204,-3.494,"  0.210","  -8.16","  -1.75","    1870","  0.437"," 11.500","  8.550",,,
"Alessi 6",220.132,-66.12,313.673,-5.55,"  0.390","  -8.20","  -5.90","     613","  0.189","  8.998","  8.320",,"  -0.154","  0.080"
"Collinder 277",207.06,-66.075,308.654,-3.836,"  0.130","  -9.18","  -5.01","    2204","  0.416"," 11.850","  8.300",,,
"VDBH 144",198.817,-65.92,305.363,-3.161,"  0.060"," -13.19","   7.74","    7241","  0.625"," 14.500","  9.000",,"  -0.510","  0.300"
"NGC 1641",68.858,-65.74,277.196,-38.331,"  0.260","   4.06","   2.70","     985","  0.104"," 10.001","  9.520",,,
"DBSB 72",176.487,-65.555,296.22,-3.54,"  0.077","  -6.28","   3.72","    4494","  2.290"," 14.000","  6.100",,,
"DBSB 88",214.905,-65.432,311.933,-4.113,"  0.085","  -8.43","  -3.72","    1366","  1.874"," 11.280","  7.850",,,
"Loden 1002",208.65,-65.335,309.463,-3.267,"  0.140","  -4.50","  -3.84","    1332","  0.396"," 10.750","  8.000",,,
"Loden 757",198,-65.3,305.08,-2.514,"  0.160","  -8.40","  -2.49","    1340","  0.666"," 10.850","  8.070","  0.078",,
"Ruprecht 84",147.285,-65.24,285.314,-8.81,"  0.180"," -10.29","  -0.81","    1546","  0.167"," 11.000","  8.560",,,
"FSR 1605",181.912,-65.185,298.356,-2.703,"  0.105","  -6.02","   2.40","    4430","  0.833"," 13.500","  9.500",,,
"Melotte 101",160.567,-65.095,289.868,-5.553,"  0.230","  -5.60","   3.00","    1999","  0.448"," 11.648","  8.100","  0.044",,
"FSR 1584",167.303,-65.06,292.421,-4.296,"  0.130","  -6.50","   3.09","    2241","  0.458"," 11.900","  8.875","  0.052",,
"NGC 4815",194.505,-64.96,303.629,-2.097,"  0.105"," -11.04","   0.43","    2990","  0.843"," 12.650","  8.600","  0.052",,
"Ruprecht 107",199.941,-64.95,305.926,-2.243,"  0.075"," -15.98","   0.30","    1454","  0.583"," 11.000","  8.235",,,
"Loden 995",208.575,-64.95,309.526,-2.886,"  0.165","  -4.70","   0.05","    1481","  0.458"," 11.000","  8.625",,"  -0.131","  0.090"
"FSR 1685",224.31,-64.945,315.752,-5.253,"  0.085","  -3.64","  -0.62","    1513","  0.312"," 11.000","  9.250","  0.072",,
"DBSB 73",177.54,-64.87,296.482,-2.768,"  0.050","  -9.67","  -0.06","    4532","  1.145"," 13.650","  6.500",,,
"ESO 099-06",232.451,-64.85,318.767,-6.966,"  0.105","  -2.04","  -3.62","    1274","  0.229"," 10.600","  8.900",,,
"FSR 1693",231.458,-64.82,318.433,-6.703,"  0.140","  -8.28","  -1.31","    3743","  0.416"," 13.000","  9.110","  0.042",,
"ESO 092-05",150.803,-64.795,286.208,-7.537,"  0.085"," -13.39","   4.57","    5168","  0.104"," 13.600","  9.300",,,
"NGC 4463",187.485,-64.79,300.644,-2.014,"  0.140","  -3.61","  -0.30","    1115","  0.354"," 10.350","  7.970",,,
"Loden 615",185.171,-64.775,299.661,-2.099,"  0.245","  -8.69","  -2.48","     826","  0.050","  9.601","  8.630",,,
"FSR 1678",221.145,-64.74,314.634,-4.471,"  0.140","  -6.88","   0.20","    1791","  0.573"," 11.450","  9.000",,,
"NGC 5288",207.183,-64.695,309.008,-2.501,"  0.120","  -9.39","  -1.46","    5086","  0.833"," 13.800","  9.100",,,
"FSR 1541",146.716,-64.632,284.73,-8.501,"  0.110","  -5.60","   1.09","    3575","  0.104"," 12.800","  9.400",,,
"ESO 097-15",213.855,-64.63,311.777,-3.21,"  0.120"," -12.97","   1.25","    3274","  0.854"," 12.850","  8.250",,,
"ESO 092-18",153.697,-64.59,287.1,-6.648,"  0.075","  -6.21","   2.95","    9548","  0.312"," 15.000","  9.150",,,
"Ruprecht 98",179.715,-64.588,297.327,-2.29,"  0.280","  -5.43","  -9.02","     610","  0.160","  8.978","  8.800",,,
"Loden 848",203.595,-64.55,307.526,-2.062,"  0.225","  -7.40","   1.95","    1797","  0.396"," 11.400","  8.750",,,
"FSR 1641",196.17,-64.545,304.355,-1.71,"  0.110"," -10.24","  -3.64","    1934","  0.677"," 11.650","  8.950",,,
"FSR 1585",168.46,-64.477,292.659,-3.57,"  0.125","  -7.15","   6.92","    4465","  0.468"," 13.400","  9.145","  0.026",,
"ASCC 82",236.76,-64.412,320.523,-7.718,"  0.210","  -2.34","  -5.16","     800","  0.000","  9.515","  8.600",,,
"IC 2602",160.44,-64.4,289.486,-4.968,"  1.480"," -16.95","   9.65","     151","  0.031","  5.905","  8.345",,"  -0.099","  0.101"
"ASCC 70",183.705,-64.4,298.988,-1.809,"  0.280","  -6.00","   0.31","    2652","  0.468"," 12.269","  6.920",,,
"ASCC 56",152.077,-64.38,286.404,-6.878,"  0.320","  -8.52","   0.90","     797","  0.135","  9.551","  8.635","  0.050",,
"Loden 894",204.921,-64.32,308.13,-1.936,"  0.120","  -7.00","   2.18","    1423","  0.729"," 11.001","  9.040",,,
"MWSC 4463",284.73,-64.265,331.554,-25.047,"  0.210","   0.94","  -5.41","    1406","  0.344"," 10.850","  9.150",,,
"Collinder 271",202.53,-64.2,307.126,-1.644,"  0.110","  -7.73"," -12.80","    2588","  1.353"," 12.500","  7.200",,,
"Juchert 13",180.42,-64.1,297.53,-1.751,"  0.100"," -15.39","  -5.77","    2795","  0.833"," 12.500","  9.000",,,
"VDBH 132",186.75,-64.067,300.264,-1.322,"  0.180","  -8.07","   2.90","    1859","  0.479"," 11.500","  8.450",,,
"Ruprecht 99",180.87,-63.86,297.679,-1.478,"  0.210","  -7.74","  -2.07","     719","  0.052","  9.300","  8.375",,,
"VDBH 111",167.28,-63.83,291.937,-3.164,"  0.180","  -9.28","   2.10","    2634","  0.416"," 12.237","  8.350",,,
"NGC 6588",275.13,-63.81,330.841,-20.876,"  0.140","   0.28","  -3.18","    4757","  0.042"," 13.400","  9.400",,,
"DBSB 79",192.195,-63.728,302.638,-0.858,"  0.085"," -11.45","   3.81","    1489","  1.041"," 11.199","  8.400",,,
"Teutsch 79",200.915,-63.638,306.5,-0.99,"  0.100","  -7.04","  -1.50","    1461","  2.103"," 11.500","  8.780",,,
"Saurer 4",183.502,-63.59,298.784,-1.02,"  0.045","  -7.38","  -0.61","    5179","  1.332"," 14.000","  9.180",,,
"IC 2948",174.803,-63.51,294.981,-1.759,"  0.170","  -4.46","  -1.13","    2796","  0.521"," 12.400","  6.600",,,
"Ruprecht 94",172.635,-63.48,294.047,-2.012,"  0.230","  -5.06","   0.59","    2932","  0.510"," 12.500","  7.000",,,
"Melotte 105",169.92,-63.475,292.899,-2.405,"  0.160","  -5.93","   1.69","    2202","  0.500"," 11.875","  8.375",,,
"NGC 5155",202.47,-63.455,307.211,-0.903,"  0.165","  -7.68","   0.20","    1404","  0.354"," 10.851","  7.400",,,
"FSR 1616",187.327,-63.43,300.46,-0.664,"  0.130","  -6.81","  -1.77","    1963","  1.041"," 11.800","  8.300",,,
"NGC 5045",198.63,-63.42,305.511,-0.664,"  0.315","  -7.00","  -0.31","    1662","  0.458"," 11.251","  7.955","  0.159",,
"Platais 12",208.148,-63.405,309.713,-1.341,"  0.570","  -8.05","  -4.62","     491","  0.135","  8.499","  8.400",,"   0.027","  0.124"
"Loden 1375",221.085,-63.405,315.176,-3.249,"  0.145","  -6.87","  -0.08","    1819","  0.625"," 11.500","  7.900",,,
"VDBH 131",186.54,-63.4,300.107,-0.667,"  0.090","  -7.56","   3.45","    4430","  0.833"," 13.500","  9.200",,,
"VDBH 121",174.525,-63.338,294.814,-1.628,"  0.165","  -5.86","   0.52","    2937","  0.500"," 12.500","  6.640",,,
"VDBH 150",204.472,-63.32,308.118,-0.917,"  0.100"," -11.90","  -3.59","    1537","  0.208"," 11.000","  7.500",,,
"DBSB 69",173.452,-63.285,294.337,-1.716,"  0.070","  -1.96","  -0.81","    2273","  2.228"," 12.500","  6.600",,,
"DBSB 75",182.231,-63.27,298.173,-0.792,"  0.080"," -10.91","   6.06","    4564","  2.186"," 14.000","  6.000",,,
"FSR 1622",189.495,-63.26,301.419,-0.428,"  0.125"," -13.76","  -0.25","    6017","  1.874"," 14.500","  8.600",,,
"NGC 4052",180.315,-63.215,297.314,-0.892,"  0.150","  -7.24","  -1.44","    1210","  0.156"," 10.464","  8.400",,,
"SAI 118",205.792,-63.16,308.732,-0.872,"  0.140","  -7.10","  -1.44","    1602","  0.396"," 11.151","  7.300",,,
"Ruprecht 88",154.7,-63.137,286.652,-5.197,"  0.130","  -8.25","  -0.10","    1876","  0.416"," 11.500","  8.980",,,
"DBSB 68",172.218,-63.105,293.752,-1.714,"  0.070","  -9.49","   5.23","    1777","  0.625"," 11.449","  8.525",,,
"Hogg 15",190.898,-63.098,302.044,-0.24,"  0.075","  -6.55","  -1.00","    3078","  1.270"," 12.850","  6.600",,,
"FSR 1653",203.46,-63.04,307.716,-0.563,"  0.120","  -9.78","  -0.96","    3258","  1.041"," 12.900","  8.850",,,
"Ruprecht 101",182.393,-63.005,298.202,-0.518,"  0.190","  -4.66","   1.07","    2856","  0.687"," 12.500","  8.870","  0.022",,
"Dias 4",205.854,-63,308.792,-0.721,"  0.130"," -10.28","  -0.45","    2155","  0.583"," 11.855","  9.260",,,
"NGC 4609",190.575,-62.99,301.895,-0.137,"  0.155","  -7.57","  -1.36","    1308","  0.364"," 10.700","  8.100","  0.062",,
"IC 2944",174.053,-62.95,294.499,-1.316,"  0.200","  -7.04","  -1.07","    2098","  0.437"," 11.750","  6.250",,,
"NGC 5281",206.64,-62.925,309.157,-0.721,"  0.215","  -5.60","  -2.60","    1211","  0.260"," 10.499","  7.760",,,
"DBSB 129",183.863,-62.91,298.848,-0.324,"  0.050","  -3.66","   1.52","    6976","  1.187"," 14.600","  6.000",,,
"NGC 5269",206.183,-62.892,308.96,-0.646,"  0.160","  -7.03","  -1.19","    1634","  0.416"," 11.200","  8.520","  0.100",,
"Loden 1373",220.395,-62.89,315.107,-2.651,"  0.170","  -5.57","   0.10","    3412","  1.041"," 13.000","  7.950",,,
"MWSC 5696",272.815,-62.815,331.447,-19.554,"  0.120","  -0.40","  -7.37","    2308","  0.573"," 12.000","  8.550",,,
"Trumpler 21",203.055,-62.8,307.573,-0.296,"  0.160"," -10.40","  -4.50","    1270","  0.250"," 10.599","  7.850",,,
"IC 2714",169.365,-62.74,292.406,-1.805,"  0.195","  -8.00","   1.50","    1224","  0.416"," 10.573","  8.650","  0.036","   0.010","  0.010"
"Ruprecht 102",183.39,-62.73,298.609,-0.177,"  0.160","  -6.98","   0.43","    1609","  0.521"," 11.200","  7.500",,,
"FSR 1591",174.24,-62.723,294.516,-1.074,"  0.115","  -7.66","   0.46","    1538","  0.822"," 11.199","  8.700",,,
"Ruprecht 97",179.347,-62.71,296.782,-0.485,"  0.090","  -3.89","  -2.47","    1537","  0.208"," 11.000","  8.650",,"  -0.590",
"Danks 1",198.127,-62.708,305.345,0.065,"  0.050"," -12.86","  -0.99","    1873","  2.602"," 12.200","  6.000",,,
"NGC 3036",147.315,-62.67,283.66,-6.83,"  0.140","  -9.76","   4.68","    1268","  0.416"," 10.650","  8.990",,"  -0.714","  0.090"
"Danks 2",198.225,-62.667,305.393,0.102,"  0.065"," -12.51","  -1.98","    2231","  2.353"," 12.500","  6.300",,,
"DBSB 85",199.613,-62.665,306.027,0.044,"  0.065"," -15.70","   2.00","    2024","  1.457"," 12.000","  7.450",,,
"FSR 1595",176.752,-62.65,295.609,-0.698,"  0.140","  -3.48","  -1.28","    4416","  0.854"," 13.500","  6.350",,,
"Ruprecht 100",181.44,-62.617,297.707,-0.21,"  0.155","  -7.22","   1.13","    2589","  0.729"," 12.300","  8.600",,,
"Teutsch 77",178.373,-62.605,296.322,-0.479,"  0.110","  -4.08","  -0.55","    1920","  0.416"," 11.551","  7.700",,,
"Ruprecht 112",224.235,-62.573,316.829,-3.137,"  0.160","  -7.00","  -0.94","    1764","  0.833"," 11.500","  8.740",,,
"Stock 14",175.95,-62.52,295.218,-0.666,"  0.170","  -5.82","   1.20","    2454","  0.312"," 12.050","  6.800",,,
"Lynga 15",175.56,-62.51,295.042,-0.703,"  0.125","  -4.97","  -1.21","    1380","  0.625"," 10.900","  7.400",,,
"Loden 807",201.157,-62.495,306.754,0.13,"  0.180","  -6.50","  -0.50","     703","  0.200","  9.299","  8.300",,,
"DBSB 60",166.404,-62.485,291.047,-2.081,"  0.055"," -10.49","   4.76","    3740","  1.353"," 13.300","  6.750",,,
"FSR 1659",204.504,-62.485,308.282,-0.098,"  0.160"," -11.91","  -0.18","    1764","  0.833"," 11.500","  8.315",,,
"Loden 467",176.375,-62.433,295.386,-0.531,"  0.115","  -6.90","  -0.90","    2569","  0.625"," 12.250","  6.600",,,
"Bica 5",175.395,-62.425,294.946,-0.641,"  0.105","  -2.87","  -2.15","    1687","  0.208"," 11.203","  8.880",,,
"C1331-622",203.655,-62.417,307.907,0.037,"  0.120","  -7.61","   0.93","    1078","  0.271"," 10.250","  9.250",,,
"DBSB 133",198.5,-62.402,305.541,0.355,"  0.110"," -14.46","   0.57","    2927","  0.833"," 12.600","  8.335","  0.079",,
"ASCC 75",206.812,-62.4,309.346,-0.225,"  0.160","  -4.70","  -1.15","    2948","  0.416"," 12.482","  6.650",,,
"Basel 18",201.968,-62.33,307.148,0.243,"  0.155","  -5.76","  -4.63","    2226","  0.510"," 11.902","  7.920",,"   0.043","  0.270"
"FSR 1586",170.67,-62.32,292.825,-1.203,"  0.140","  -7.16","   5.01","    2863","  1.603"," 12.800","  8.700","  0.031",,
"Ruprecht 162",163.208,-62.305,289.625,-2.538,"  0.135","  -2.44","   4.78","    3019","  0.312"," 12.500","  8.385","  0.122",,
"DBSB 70",177.135,-62.285,295.691,-0.301,"  0.080","  -7.65","  -2.90","    1274","  0.541"," 10.700","  7.700",,,
"SAI 116",177.322,-62.225,295.761,-0.222,"  0.100","  -7.90","  -1.13","    2382","  0.979"," 12.200","  8.685",,,
"MWSC 5697",276.15,-62.195,332.635,-20.783,"  0.125","  -0.66","  -9.21","    1496","  0.387"," 11.000","  9.250",,,
"ESO 132-14",204.135,-62.19,308.166,0.223,"  0.100"," -10.60","  -0.80","    1093","  0.333"," 10.300","  9.150",,,
"Ruprecht 96",177.697,-62.15,295.914,-0.107,"  0.125","  -5.34","  -0.58","    1251","  0.042"," 10.500","  9.060","  0.020",,
"Lynga 1",210,-62.15,310.846,-0.336,"  0.155","  -8.45","  -0.44","    1312","  0.500"," 10.750","  8.390",,,
"FSR 1630",192.18,-62.135,302.614,0.735,"  0.135","  -9.42","  -2.54","    2368","  0.708"," 12.100","  6.400",,,
"Pismis 18",204.232,-62.065,308.233,0.338,"  0.150","  -8.25","  -1.70","    2309","  0.521"," 11.985","  8.975",,,
"Loden 1282",213.96,-59.12,313.586,1.995,"  0.135","  -2.98","   0.41","    1349","  0.312"," 10.751","  8.150","  0.001",,
"Loden 991",206.317,-62.035,309.197,0.18,"  0.110"," -11.17","  -2.17","    2628","  1.249"," 12.500","  7.250",,,
"Loden 1339",218.371,-62.017,314.595,-1.478,"  0.095","  -7.42","  -1.30","    1278","  0.833"," 10.801","  8.090",,,
"FSR 1645",200.28,-61.925,306.417,0.746,"  0.170","  -9.82","  -0.45","    1278","  0.521"," 10.700","  8.000",,,
"NGC 4349",186.06,-61.87,299.732,0.833,"  0.205","  -9.57","  -1.75","    2155","  0.448"," 11.811","  8.410",,"   0.105","  0.108"
"NGC 5316",208.485,-61.87,310.228,0.113,"  0.260","  -6.30","  -0.62","    1208","  0.312"," 10.511","  8.230",,"   0.045","  0.130"
"DBSB 78",189.015,-61.855,301.119,0.963,"  0.070","  -8.51","  -6.08","    4569","  0.625"," 13.500","  6.000",,,
"Loden 213",159.037,-61.837,287.679,-3.04,"  0.125","  -5.88","   3.54","    1876","  0.416"," 11.500","  8.875",,,
