id,ra,dec,plx,sig_plx,pmRA,sig_pmRA,pmDE,sig_pmDE,rsc,m_M,E(V-I),Z,t,f_bin,f_rot
"LISC1942",17.479,61.174,0.257,0.221,-1.556,0.525,-0.442,0.06,0.088,11.3,0.68,0.0001,0.1,0.47,0
"LISC2014",103.782,0.644,0.334,0.333,-0.557,0.328,-1.034,0.456,0.148,11.6,0.62,0.0003,0.2,0.54,0
"LISC2019",106.31,-0.996,0.247,0.298,-0.973,1.298,0.512,0.093,0.145,12.6,0.4,0.01,0.3,0.51,0
"LISC2337",170.337,-60.568,0.43,0.42,-6.375,0.068,1.207,0.043,0.115,10.58,0.39,0.001,0.5,0.54,0
"LISC2425",235.721,-55.402,0.434,0.437,-3.812,0.027,-3.978,0.078,0.122,10.4,1.49,0.0003,0.9,0.53,0.5
"LISC2967",92.06,28.062,0.273,0.293,-0.089,0.024,-1.618,0.077,0.172,13,0.36,0.03,0.6,0.54,0
"LISC3058",60.204,59.199,0.365,0.378,-1.833,0.004,-1.366,0.053,0.302,12,0.9,0.008,1.7,0.53,0
"LISC3106",100.016,-3.673,0.489,0.454,0.115,0.006,-0.433,0.389,0.358,10.7,0.5,0.001,0.2,0.5,0
"LISC3121",290.634,8.398,0.574,0.576,-1.323,0.06,-2.401,0.113,0.193,11.2,0.72,0.01,1.6,0.54,0.3
"LISC3164",198.262,-64.246,0.465,0.484,-4.34,0.705,-0.544,0.01,0.116,11.4,0.64,0.02,0.7,0.53,0
"LISC3170",214.64,-62.654,0.459,0.444,-3.984,0.07,-2.627,0.074,0.241,11.7,0.81,0.02,0.1,0.36,0
"LISC3180",259.293,-41.518,0.54,0.577,0.109,0.578,-0.785,0.102,0.146,11.1,1,0.01,0.7,0.51,0
"LISC3205",327.775,52.99,0.454,0.454,-4.124,0.706,-4.553,0.252,0.272,10.5,0.82,0.001,0.4,0.54,0
"LISC3241",174.002,-59.483,0.511,0.472,-6.512,0.154,1.67,0.048,0.294,11.3,0.41,0.03,0.1,0.45,0
"LISC3250",216.168,-61.041,0.492,0.474,-3.73,0.273,-2.105,0.515,0.102,11.5,0.73,0.01,,0.55,0
"LISC3279",290,15.146,0.63,0.663,-1.669,0.025,-5.225,0.145,0.18,10.25,0.8,0.004,0.3,0.54,0
"LISC3287",311.883,47.374,0.563,0.557,-2.242,0.11,-1.534,0.962,0.206,10.55,0.41,0.004,0.2,0.16,0
