"Cluster","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","GLON","e_GLON","GLAT","e_GLAT","adeg","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","age","e_age","AG","Z","RV","s_RV","N","o_RV","_RA.icrs","_DE.icrs"
"OC-0105",301.93165,0.043178,36.710543,0.055427,73.621728,0.048424,2.260392,0.043917,0.06537268,0.523374,0.013619,-2.848158,0.360094,-5.93309,0.276304,6.7,0.15,2.72,0.028,"            ","            ",17,0,301.93166579,36.71056937
"OC-0106",305.081624,0.032462,35.108372,0.02802,73.699167,0.027698,-0.750994,0.026894,0.03860656,0.360902,0.030625,-1.07589,0.125461,-3.639346,0.115059,6.7,0.15,4.04,0.019,-7.448829,"            ",43,1,305.08162985,35.10838817
"OC-0107",305.059474,0.050954,36.209682,0.031209,74.596462,0.028519,-0.112138,0.043027,0.05162031,0.553551,0.022131,-2.397378,0.320694,-4.529445,0.315784,6.3,0.14,1.42,0.024,"            ","            ",19,0,305.05948721,36.20970213
"OC-0108",305.940106,0.065206,35.926903,0.049812,74.770156,0.032241,-0.858132,0.065038,0.0725908,0.538228,0.016902,-2.358206,0.198127,-4.567611,0.331926,6.9,0.16,2.7,0.017,"            ","            ",24,0,305.94011894,35.9269233
"OC-0109",305.656874,0.038894,36.12588,0.039327,74.802015,0.042062,-0.556381,0.027651,0.05033676,0.520337,0.014793,-2.39074,0.217329,-4.652497,0.414256,7,0.16,3.46,0.028,"            ","            ",15,0,305.65688715,36.12590068
"OC-0110",306.086112,0.060647,36.262673,0.051558,75.112757,0.058989,-0.761702,0.039624,0.07106169,0.526166,0.014502,-2.336811,0.187764,-4.372558,0.23028,7,0.16,0.2,0.016,"            ","            ",21,0,306.08612488,36.26269243
"OC-0111",304.241877,0.03664,38.041539,0.037774,75.74355,0.041604,1.457893,0.023017,0.04754656,0.18073,0.006045,-2.444563,0.086002,-4.486714,0.102067,6.5,0.15,4.04,0.027,"            ","            ",15,0,304.2418908,38.04155894
"OC-0112",304.265643,0.052274,38.059746,0.04076,75.769119,0.051489,1.452573,0.026571,0.05794079,0.257447,0.003684,-2.441988,0.066314,-4.516834,0.09092,8.8,0.2,0.84,0.017,-1.46589,7.205014,24,2,304.26565678,38.05976607
"OC-0113",307.715995,0.057805,37.466957,0.032881,76.851367,0.042208,-1.120269,0.037484,0.05644967,0.571248,0.033703,-0.382193,0.209701,-3.401142,0.149566,6.7,0.15,4.02,0.02,-18.476564,"            ",49,1,307.71599714,37.46697212
"OC-0114",305.943918,0.047098,39.055268,0.029438,77.333394,0.027875,0.935462,0.037782,0.04695205,0.556592,0.017832,-3.439498,0.234226,-5.765328,0.356522,6.7,0.15,3.42,0.018,"            ","            ",18,0,305.94393769,39.05529362
"OC-0115",306.16158,0.057169,39.010265,0.060843,77.393809,0.047533,0.771249,0.058453,0.07534016,1.055539,0.056651,-1.379174,0.385011,-3.68586,0.422419,6.9,0.16,3.56,0.028,"            ","            ",20,0,306.16158789,39.01028138
"OC-0116",304.684541,0.03175,40.047338,0.025357,77.598009,0.021284,2.298209,0.027955,0.03513532,0.558577,0.031793,-3.35889,0.328535,-5.184143,0.151641,6.9,0.16,2.1,0.028,"            ","            ",28,0,304.6845605,40.04736104
"OC-0117",306.904511,0.040497,38.876537,0.04195,77.619532,0.033325,0.222785,0.040534,0.05247438,0.593019,0.018802,-0.219331,0.099811,-2.814473,0.152791,7.2,0.17,3.78,0.023,-17.10568,27.012523,16,2,306.90451225,38.87654951
"OC-0118",303.679807,0.074169,41.210857,0.050922,78.139554,0.041002,3.579885,0.063493,0.07558125,0.561944,0.025015,-3.999364,0.162756,-4.512149,0.239822,6.7,0.15,4.04,0.026,"            ","            ",52,0,303.67983063,41.21087705
