"Cluster","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","GLON","e_GLON","GLAT","e_GLAT","adeg","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","age","e_age","AG","Z","RV","s_RV","N","o_RV","_RA.icrs","_DE.icrs"
"OC-0037",278.090465,0.027977,-10.570444,0.033889,21.363273,0.033554,-0.625144,0.027912,0.04364574,0.521776,0.015169,0.645551,0.170112,-0.204569,0.118726,7.7,0.18,4.04,0.028,-10.360889,"            ",22,1,278.09046208,-10.57044309
"OC-0038",279.216442,0.0562,-10.907591,0.032538,21.573169,0.039334,-1.762437,0.05058,0.06407418,0.529344,0.014854,-0.954287,0.224265,-2.718272,0.321153,6.9,0.16,4.04,0.028,"            ","            ",20,0,279.21644632,-10.90757892
"OC-0039",279.287708,0.023477,-10.244138,0.023495,22.195099,0.020051,-1.520357,0.026153,0.03295485,0.319777,0.007832,-1.453592,0.096524,-4.331064,0.16338,9,0.21,3.68,0.028,"            ","            ",19,0,279.28771457,-10.24411875
"OC-0040",277.94995,0.026711,-9.153357,0.045977,22.556037,0.0432,0.152455,0.03071,0.05300325,0.32786,0.00522,-0.832056,0.234817,-3.180537,0.347435,9.8,0.23,1.94,0.017,"            ","            ",19,0,277.94995375,-9.15334286
"OC-0041",278.289798,0.050395,-7.985928,0.037247,23.746711,0.037922,0.39358,0.049395,0.06227314,0.534816,0.023202,-0.318821,0.212575,-2.659257,0.230341,8.6,0.2,3.3,0.028,"            ","            ",27,0,278.28979943,-7.98591618
"OC-0042",279.173762,0.036491,-8.099127,0.038197,24.04926,0.03353,-0.4355,0.040496,0.05257554,0.515681,0.010334,-0.126805,0.229175,-2.601688,0.122908,6.4,0.15,0.06,0.028,"            ","            ",16,0,279.17376257,-8.09911544
"OC-0043",279.334072,0.030885,-7.55801,0.024941,24.602873,0.017716,-0.327995,0.035293,0.0394899,0.364217,0.011268,-0.155143,0.141054,-2.128288,0.119945,6.5,0.15,4.04,0.028,"            ","            ",26,0,279.3340727,-7.55800054
"OC-0044",277.782853,0.03238,-6.124654,0.0287,25.165624,0.033119,1.699293,0.027647,0.04314191,0.327712,0.013228,-0.9514,0.13729,-3.933607,0.270695,8.7,0.2,3.9,0.02,30.077488,"            ",25,1,277.78285725,-6.12463652
"OC-0045",279.089037,0.016876,-6.663732,0.021333,25.285444,0.022595,0.298867,0.015017,0.02713014,0.345615,0.01337,-0.144862,0.114924,-2.188587,0.138055,9.5,0.22,2.56,0.016,"            ","            ",26,0,279.08903765,-6.66372227
"OC-0046",280.628511,0.017256,-6.595336,0.014166,26.047142,0.012835,-1.028887,0.018162,0.0222395,0.313051,0.005979,-0.403823,0.125549,-2.261205,0.078512,7,0.16,1.92,0.021,"            ","            ",23,0,280.62851281,-6.59532595
