"Seq","Cluster","RA_ICRS","s_RA_ICRS","DE_ICRS","s_DE_ICRS","GLON","s_GLON","GLAT","s_GLAT","plx","s_plx","pmRA","s_pmRA","pmDE","s_pmDE","RV","s_RV","Nmemb","NmembRV","Flag","logAge","Dist","AV","_RA.icrs","_DE.icrs"
126,"UBC1127",313.49,0.12,49.08,0.06,88.58,0.08,2.73,0.07,0.47,0.02,-1.6,0.06,-3.3,0.05,"      ","     ",28,0," ",7.863,2160,2.115,313.49,49.08
127,"UBC1128",310.58,0.11,50.66,0.09,88.64,0.08,5.18,0.08,0.52,0.02,-1.97,0.05,-2.74,0.06,"      ","     ",22,0," ",7.809,2040,1.628,310.58,50.66
128,"UBC1129",318.55,0.12,46.4,0.08,88.85,0.08,-1.6,0.08,0.79,0.01,-2.97,0.05,-3.52,0.05,-12.22,"     ",24,1," ",8.452,1420,0.792,318.55,46.4
129,"UBC1130",317.48,0.13,47.51,0.08,89.16,0.08,-0.3,0.09,0.49,0.02,-2.52,0.07,-4.01,0.07,-18.44,"     ",65,1," ",8.448,2148,1.106,317.48,47.51
130,"UBC1131",316.04,0.07,48.43,0.04,89.19,0.05,1.03,0.04,0.26,0.04,-0.49,0.09,-1.78,0.09,"      ","     ",67,0," ",8.731,4019,3.33,316.04,48.43
131,"UBC1132",318.71,0.07,47.16,0.05,89.48,0.05,-1.15,0.05,0.31,0.01,-2.64,0.08,-2.89,0.05,-21.02,"     ",20,1," ",8.525,3208,0.605,318.71,47.16
132,"UBC1133",314.6,0.09,49.9,0.07,89.67,0.08,2.7,0.05,0.39,0.02,-3.51,0.09,-7.15,0.08,-33.74,"     ",35,1," ",8.952,2628,2.932,314.6,49.9
133,"UBC1134",317.14,0.12,49.09,0.06,90.17,0.05,0.94,0.08,0.33,0.03,-2.55,0.05,-2.72,0.08,-31.38,1.19,41,2,"a",8.197,3228,1.957,317.14,49.09
134,"UBC1135",317.18,0.15,49.11,0.07,90.2,0.07,0.93,0.09,0.27,0.03,-3.56,0.06,-4.13,0.09,"      ","     ",44,0," ",7.685,3894,2.461,317.18,49.11
135,"UBC1136",311.42,0.1,52.3,0.05,90.26,0.06,5.77,0.05,0.52,0.01,-1.11,0.06,-2.61,0.05,"      ","     ",13,0," ",8.134,1989,1.264,311.42,52.3
136,"UBC1137",327.72,0.18,43.47,0.11,91.62,0.12,-8.16,0.12,0.19,0.02,-3.92,0.14,-4.22,0.17,"      ","     ",24,0," ",9.263,6051,0.989,327.72,43.47
137,"UBC1138",320.33,0.12,50.29,0.07,92.46,0.07,0.28,0.08,0.6,0.01,-3.42,0.06,-3.41,0.08,"      ","     ",20,0," ",8.089,1667,1.385,320.33,50.29
138,"UBC1139",322.1,0.06,49.45,0.03,92.69,0.03,-1.11,0.04,0.36,0.02,-2.23,0.08,-3.01,0.07,-28.34,"     ",26,1," ",8.074,3004,1.559,322.1,49.45
139,"UBC1140",324.68,0.1,49.09,0.06,93.69,0.07,-2.53,0.06,0.16,0.03,-3,0.09,-3.19,0.09,-73.81,"     ",61,1," ",8.042,6148,1.476,324.68,49.09
140,"UBC1141",324.01,0.11,50.49,0.05,94.3,0.06,-1.19,0.06,0.54,0.02,-3.84,0.06,-3.34,0.06,-14.44,"     ",42,1," ",8.409,1975,0.54,324.01,50.49
141,"UBC1142",332.92,0.12,45.18,0.08,95.66,0.1,-9.07,0.07,0.33,0.03,-4.25,0.09,-4.96,0.1,"      ","     ",48,0," ",9.287,3585,0.976,332.92,45.18
142,"UBC1143",324.7,0.13,52.25,0.08,95.8,0.08,-0.16,0.08,0.21,0.03,-3.43,0.1,-3.53,0.08,-65.42,"     ",114,1," ",7.836,4490,2.126,324.7,52.25
143,"UBC1144",318.78,0.09,56.17,0.05,96.02,0.06,5.06,0.04,0.21,0.04,-0.92,0.09,-1.5,0.08,"      ","     ",53,0," ",9.513,5099,2.071,318.78,56.17
144,"UBC1145",328.21,0.12,51.56,0.07,97,0.09,-2.09,0.05,0.32,0.01,-1.84,0.05,-2.49,0.05,"      ","     ",23,0," ",8.055,3137,1.303,328.21,51.56
145,"UBC1146",324.47,0.12,55.59,0.07,97.92,0.08,2.42,0.06,0.26,0.02,-4.35,0.1,-4.69,0.08,-63.01,"     ",44,1," ",8.914,4061,2.417,324.47,55.59
146,"UBC1147",326.7,0.15,54.5,0.09,98.17,0.1,0.76,0.08,0.38,0.03,-2.81,0.09,-2.62,0.09,-18.13,0.65,63,2," ",8.349,2707,2.039,326.7,54.5
147,"UBC1148",328.18,0.1,53.94,0.05,98.48,0.05,-0.23,0.05,0.21,0.02,-2.84,0.07,-2.84,0.08,"      ","     ",28,0," ",8.83,5456,2.826,328.18,53.94
148,"UBC1149",327.17,0.09,54.82,0.04,98.58,0.06,0.84,0.03,0.24,0.04,-3.48,0.08,-3.78,0.07,"      ","     ",38,0," ",9.038,3921,2.518,327.17,54.82
149,"UBC1150",319.49,0.12,60.09,0.04,99.13,0.05,7.5,0.05,0.63,0.02,-4.69,0.13,-3.52,0.17,"      ","     ",26,0," ",7.149,1518,2.036,319.49,60.09
150,"UBC1151",327.52,0.11,56.92,0.07,100.07,0.06,2.33,0.06,0.48,0.02,-2.08,0.06,-2.33,0.09,"      ","     ",31,0," ",7.628,2486,3.085,327.52,56.92
151,"UBC1152",329.22,0.1,56.29,0.07,100.41,0.07,1.25,0.04,0.38,0.02,-2.93,0.07,-2.61,0.08,-21.27,19.49,33,2," ",8.418,2968,2.464,329.22,56.29
152,"UBC1153",333.17,0.08,53.23,0.05,100.43,0.06,-2.57,0.04,0.24,0.01,-3.28,0.04,-3.5,0.03,"      ","     ",11,0," ",7.988,4439,1.11,333.17,53.23
153,"UBC1154",330.48,0.15,56.04,0.09,100.81,0.09,0.63,0.08,0.65,0.02,-2,0.06,-1.67,0.07,"      ","     ",38,0," ",7.797,1507,1.797,330.48,56.04
154,"UBC1155",333.26,0.11,54.43,0.06,101.16,0.05,-1.61,0.08,0.18,0.01,-2.68,0.07,-2.25,0.06,"      ","     ",16,0," ",8.206,7053,0.859,333.26,54.43
155,"UBC1156",332.91,0.16,55.62,0.07,101.67,0.08,-0.52,0.08,0.3,0.01,-2.5,0.05,-1.89,0.06,-41.23,0.99,24,3," ",8.377,3357,1.238,332.91,55.62
156,"UBC1157",335.67,0.09,53.73,0.07,101.95,0.07,-2.97,0.05,0.31,0.02,-2.84,0.04,-2.45,0.06,"      ","     ",39,0," ",8.22,3457,0.823,335.67,53.73
157,"UBC1158",332.35,0.08,56.59,0.02,101.98,0.04,0.46,0.03,0.34,0.03,-4.79,0.06,-3.46,0.05,"      ","     ",24,0," ",8.721,3083,1.804,332.35,56.59
158,"UBC1159",335.29,0.14,54.92,0.09,102.41,0.07,-1.85,0.1,0.25,0.02,-4.02,0.08,-3.35,0.06,"      ","     ",51,0," ",7.893,4561,1.045,335.29,54.92
159,"UBC1160",335.72,0.21,55.28,0.13,102.81,0.14,-1.68,0.11,0.27,0.02,-3.49,0.07,-2.64,0.08,"      ","     ",70,0," ",7.763,4041,1.014,335.72,55.28
160,"UBC1161",330.53,0.14,59.48,0.05,102.9,0.07,3.36,0.06,0.14,0.03,-2.71,0.1,-2.63,0.1,-60.32,"     ",47,1," ",8.567,6959,2.261,330.53,59.48
161,"UBC1162",329.58,0.15,60.18,0.07,102.95,0.08,4.21,0.06,0.24,0.02,-4.61,0.07,-2.45,0.05,"      ","     ",23,0," ",9.242,4004,1.352,329.58,60.18
162,"UBC1163",334.26,0.17,57.31,0.09,103.24,0.1,0.47,0.09,0.33,0.05,-3.24,0.09,-3.43,0.09,-58.59,1.09,150,6," ",9.379,3391,2.313,334.26,57.31
163,"UBC1164",338.88,0.07,53.52,0.04,103.47,0.05,-4.14,0.03,0.46,0.01,-3.33,0.07,-2.37,0.05,-37.35,0.16,18,2," ",8.228,2167,0.457,338.88,53.52
164,"UBC1165",336.54,0.17,56.51,0.17,103.85,0.08,-0.89,0.17,0.22,0.02,-3.48,0.08,-2.64,0.12,-77.25,"     ",83,1," ",7.23,4464,1.614,336.54,56.51
165,"UBC1166",338.88,0.14,56.2,0.06,104.81,0.07,-1.81,0.07,0.23,0.01,-3.49,0.05,-2.78,0.07,"      ","     ",24,0," ",7.004,4767,2.042,338.88,56.2
166,"UBC1167",337.06,0.22,58.21,0.1,104.99,0.13,0.42,0.09,0.42,0.01,-2.03,0.09,-1.25,0.06,"      ","     ",23,0," ",8.192,2587,1.415,337.06,58.21
167,"UBC1168",339.22,0.17,57.44,0.08,105.59,0.08,-0.83,0.09,0.31,0.02,-2.72,0.09,-2.31,0.06,"      ","     ",41,0," ",7.181,3493,1.918,339.22,57.44
168,"UBC1169",340.08,0.18,57.1,0.09,105.82,0.09,-1.35,0.1,0.19,0.03,-2.83,0.08,-1.74,0.07,-92.84,6.31,77,3," ",8.568,5753,1.681,340.08,57.1
169,"UBC1170",340.87,0.13,56.88,0.08,106.1,0.09,-1.75,0.06,0.29,0.01,-3.69,0.08,-2.89,0.05,"      ","     ",21,0," ",7.708,3789,1.354,340.87,56.88
170,"UBC1171",341.84,0.08,56.96,0.04,106.6,0.05,-1.93,0.03,0.37,0.01,-3.5,0.06,-2.18,0.05,"      ","     ",13,0," ",7.832,2794,1.137,341.84,56.96
171,"UBC1172",340.56,0.14,58.35,0.06,106.65,0.06,-0.38,0.08,0.28,0.02,-3.15,0.09,-2.3,0.07,"      ","     ",66,0,"a",7.296,4316,1.933,340.56,58.35
172,"UBC1173",343.33,0.08,57.01,0.05,107.35,0.05,-2.24,0.04,0.26,0.02,-3.02,0.05,-0.99,0.06,"      ","     ",26,0," ",8.702,4193,1.404,343.33,57.01
173,"UBC1174",350.06,0.08,51.49,0.06,108.8,0.05,-8.87,0.05,0.45,0.02,-2.96,0.06,-0.45,0.03,"      ","     ",14,0," ",8.091,2374,0.69,350.06,51.49
174,"UBC1175",345.83,0.17,57.89,0.08,108.94,0.11,-2.02,0.06,0.27,0.02,-3.28,0.09,-2.33,0.07,"      ","     ",48,0," ",8.123,3801,1.699,345.83,57.89
175,"UBC1176",346.86,0.08,59.96,0.05,110.26,0.05,-0.33,0.04,0.34,0.02,-2.6,0.06,-1.77,0.05,"      ","     ",19,0," ",8.162,3329,1.049,346.86,59.96
176,"UBC1177",349.15,0.18,60.48,0.08,111.51,0.09,-0.27,0.09,0.33,0.02,-4.33,0.07,-2.09,0.06,"      ","     ",36,0," ",7.253,3191,1.958,349.15,60.48
177,"UBC1178",349.83,0.15,59.78,0.07,111.57,0.07,-1.04,0.08,0.29,0.01,-3.38,0.09,-2.71,0.06,"      ","     ",26,0," ",7.531,3798,1.777,349.83,59.78
178,"UBC1179",349.81,0.12,60.6,0.12,111.85,0.07,-0.28,0.12,0.32,0.01,-3.76,0.08,-2.2,0.05,"      ","     ",18,0,"a",7.819,3016,1.777,349.81,60.6
179,"UBC1180",350.36,0.21,60.93,0.1,112.22,0.11,-0.06,0.1,0.34,0.01,-3.98,0.07,-2.19,0.05,-47.41,"     ",33,1," ",7.968,2834,1.732,350.36,60.93
180,"UBC1181",348.01,0.11,64.79,0.06,112.6,0.06,3.93,0.05,0.16,0.02,-3.18,0.11,-0.82,0.07,"      ","     ",25,0," ",8.893,8327,2.665,348.01,64.79
181,"UBC1182",352.88,0.12,61.35,0.07,113.5,0.06,-0.05,0.07,0.24,0.03,-3.03,0.09,-1.48,0.12,"      ","     ",69,0," ",7.256,4632,1.994,352.88,61.35
182,"UBC1183",352.64,0.12,62.08,0.05,113.62,0.06,0.68,0.05,0.38,0.02,-2.62,0.08,-0.79,0.08,-46.9,13.17,32,3," ",8.692,2808,2.552,352.64,62.08
183,"UBC1184",352.51,0.21,62.35,0.09,113.65,0.1,0.96,0.08,0.58,0.02,-3.14,0.09,-3.01,0.08,-36.25,2.03,52,4," ",8.834,1882,2.608,352.51,62.35
184,"UBC1185",353.08,0.24,62.11,0.13,113.82,0.12,0.64,0.12,0.32,0.02,-4.15,0.08,-1.32,0.11,11.84,82.62,101,2," ",7.153,3412,2.856,353.08,62.11
185,"UBC1186",358.56,0.14,51.43,0.07,113.92,0.09,-10.44,0.07,0.6,0.03,-3.11,0.06,-2.1,0.1,"      ","     ",21,0," ",7.984,1739,0.151,358.56,51.43
186,"UBC1187",352.23,0.23,66.92,0.06,114.96,0.09,5.33,0.05,1.26,0.02,-1.38,0.07,-0.14,0.07,"      ","     ",18,0," ",7.576,862,2.862,352.23,66.92
187,"UBC1188",356.92,0.08,60.49,0.06,115.16,0.04,-1.41,0.06,0.46,0.01,-2.66,0.06,-2.03,0.04,"      ","     ",13,0," ",8.276,2451,2.313,356.92,60.49
188,"UBC1189",356.05,0.16,62.66,0.07,115.3,0.07,0.79,0.07,0.37,0.02,-3.85,0.07,-1.92,0.06,"      ","     ",31,0," ",8.105,2890,2.063,356.05,62.66
189,"UBC1190",358.89,0.2,60.86,0.08,116.18,0.1,-1.28,0.07,0.36,0.02,-1.79,0.07,-1.06,0.07,"      ","     ",52,0," ",7.785,2913,1.579,358.89,60.86
190,"UBC1191",0.51,0.2,59.44,0.07,116.68,0.1,-2.83,0.06,0.36,0.01,-3.19,0.07,-1.69,0.05,"      ","     ",23,0," ",7.676,2931,1.762,0.51,59.44
191,"UBC1192",358.95,0.17,64.62,0.07,117.01,0.07,2.39,0.07,0.25,0.02,-2.44,0.09,-0.74,0.07,"      ","     ",34,0,"a",7.8,5202,2.512,358.95,64.62
192,"UBC1193",0.78,0.23,61.88,0.08,117.27,0.11,-0.46,0.08,0.33,0.02,-3.58,0.08,-1.53,0.05,-75.89,1.36,33,2," ",8.233,2966,1.52,0.78,61.88
193,"UBC1194",180.02,179.89,63.9,0.09,117.32,0.07,1.59,0.09,0.3,0.03,-2.5,0.1,-1.26,0.09,-60.31,"     ",64,1," ",7.782,3358,1.563,180.02,63.9
194,"UBC1195",2.75,0.19,57.96,0.05,117.57,0.1,-4.49,0.05,0.28,0.01,-2.23,0.07,-1.34,0.06,-74.98,"     ",23,1," ",7.565,3576,1.232,2.75,57.96
195,"UBC1196",1.97,0.19,62.23,0.12,117.88,0.09,-0.22,0.12,0.36,0.02,-1.84,0.08,-0.95,0.07,"      ","     ",54,0," ",8.182,3036,1.347,1.97,62.23
196,"UBC1197",5.39,0.17,52.71,0.13,118.35,0.11,-9.89,0.13,0.55,0.02,-2.02,0.06,-1.34,0.06,"      ","     ",17,0," ",8.111,1938,0.603,5.39,52.71
197,"UBC1198",3.8,0.19,60.98,0.09,118.55,0.09,-1.58,0.09,0.28,0.01,-1.52,0.06,-0.73,0.06,-72.24,"     ",31,1," ",7.897,3914,1.501,3.8,60.98
198,"UBC1199",4.54,0.14,59.45,0.07,118.71,0.07,-3.15,0.07,0.42,0.02,-1.48,0.06,-0.68,0.05,"      ","     ",27,0," ",8.302,2424,1.049,4.54,59.45
199,"UBC1200",3.72,0.13,62.81,0.07,118.77,0.06,0.23,0.07,0.27,0.03,-2.29,0.08,-0.72,0.07,"      ","     ",44,0," ",7.812,4017,1.346,3.72,62.81
200,"UBC1201",3.91,0.19,63.57,0.1,118.96,0.08,0.97,0.1,0.47,0.02,-3.23,0.07,-1.1,0.08,-65.04,"     ",45,1," ",7.024,2179,1.311,3.91,63.57
201,"UBC1202",6.47,0.29,52.81,0.15,119.02,0.18,-9.86,0.15,0.57,0.02,-2,0.11,-1.27,0.1,"      ","     ",51,0," ",8.236,1882,0.442,6.47,52.81
202,"UBC1203",4.74,0.17,63.59,0.09,119.33,0.07,0.94,0.09,0.47,0.01,-3.09,0.08,-1.04,0.07,"      ","     ",25,0," ",7.089,2267,1.551,4.74,63.59
203,"UBC1204",7.37,0.09,57.44,0.04,119.97,0.05,-5.3,0.04,0.46,0.03,-0.31,0.09,-1.16,0.07,"      ","     ",36,0," ",7.69,2201,1.15,7.37,57.44
204,"UBC1205",8.31,0.16,65.27,0.05,121.03,0.06,2.47,0.05,0.25,0.03,-1.69,0.08,0.32,0.06,-75.54,1.48,53,3," ",8.358,4631,3.104,8.31,65.27
205,"UBC1206",10.52,0.07,67.57,0.04,122.04,0.03,4.71,0.04,0.3,0.02,-3.13,0.08,0.44,0.07,"      ","     ",16,0," ",8.945,3399,2.402,10.52,67.57
206,"UBC1207",12.32,0.27,61.12,0.06,122.67,0.13,-1.76,0.06,0.38,0.01,-2.84,0.04,-0.84,0.05,"      ","     ",23,0," ",8.174,2861,1.387,12.32,61.12
207,"UBC1208",12.73,0.15,63.67,0.07,122.87,0.07,0.8,0.07,0.35,0.01,-3.01,0.09,-0.5,0.06,"      ","     ",23,0," ",7.065,2883,1.649,12.73,63.67
208,"UBC1209",13.03,0.36,64.6,0.16,123,0.16,1.73,0.16,0.34,0.03,-2.44,0.1,-0.38,0.07,"      ","     ",190,0,"a",7.303,2975,1.99,13.03,64.6
209,"UBC1210",14.06,0.17,66.97,0.05,123.4,0.07,4.1,0.05,0.27,0.02,-1.97,0.08,0.02,0.08,-68.46,0.74,24,2," ",8.408,4072,2.323,14.06,66.97
210,"UBC1211",13.82,0.14,59.1,0.05,123.42,0.07,-3.77,0.05,0.19,0.02,-1.37,0.09,-0.35,0.08,"      ","     ",44,0," ",9.036,5866,1.419,13.82,59.1
211,"UBC1212",14.99,0.09,58.31,0.04,124.06,0.04,-4.54,0.04,0.24,0.02,-2.52,0.06,0.12,0.06,"      ","     ",25,0," ",9.024,5141,1.663,14.99,58.31
212,"UBC1213",15.92,0.1,61.89,0.03,124.37,0.05,-0.95,0.03,0.41,0.02,-0.27,0.03,0.17,0.06,"      ","     ",20,0," ",8.592,2876,2.069,15.92,61.89
213,"UBC1214",17.31,0.12,61.46,0.08,125.06,0.06,-1.34,0.08,0.28,0.02,-1.1,0.06,-0.83,0.05,"      ","     ",21,0,"a",7.325,4165,1.666,17.31,61.46
214,"UBC1215",17.63,0.14,61.68,0.07,125.19,0.06,-1.11,0.07,0.24,0.02,-1.77,0.1,-0.57,0.08,-67.99,15.79,48,2," ",8.348,5073,1.616,17.63,61.68
215,"UBC1216",19.79,0.15,63.56,0.08,126.01,0.07,0.86,0.08,0.34,0.02,-1.89,0.08,-0.2,0.05,"      ","     ",29,0," ",7.81,3082,3.011,19.79,63.56
216,"UBC1217",21.41,0.14,66.49,0.04,126.34,0.06,3.85,0.03,0.29,0.02,-2.18,0.06,1.2,0.07,"      ","     ",14,0," ",7.732,3743,2.218,21.41,66.49
217,"UBC1218",23.97,0.22,63.01,0.15,127.95,0.1,0.58,0.15,0.36,0.02,-1.45,0.09,-0.2,0.07,"      ","     ",61,0," ",7.823,2938,1.805,23.97,63.01
218,"UBC1219",22.68,0.1,58.03,0.05,128.13,0.05,-4.44,0.05,0.26,0.02,-1.94,0.07,-0.59,0.06,-33.83,"     ",20,1," ",9.289,4341,0.886,22.68,58.03
219,"UBC1220",24.2,0.23,62.46,0.09,128.15,0.1,0.05,0.09,0.32,0.01,-1.39,0.05,-0.36,0.05,"      ","     ",29,0," ",7.646,2856,1.577,24.2,62.46
220,"UBC1221",25.5,0.11,59.57,0.06,129.3,0.05,-2.67,0.06,0.26,0.02,-1.8,0.06,-0.3,0.05,"      ","     ",26,0," ",7.51,3839,1.346,25.5,59.57
221,"UBC1222",24.52,0.12,56.5,0.06,129.37,0.07,-5.79,0.06,0.29,0.03,-1.35,0.06,-0.63,0.06,"      ","     ",48,0," ",8.121,3551,1.116,24.52,56.5
222,"UBC1223",27.28,0.11,62,0.09,129.65,0.05,-0.12,0.09,0.32,0.01,-1.11,0.07,-0.4,0.06,"      ","     ",27,0," ",6.862,3721,2.284,27.28,62
223,"UBC1224",26.36,0.14,59.8,0.06,129.68,0.07,-2.36,0.06,0.27,0.02,0.09,0.07,-0.88,0.07,"      ","     ",40,0," ",8.584,3779,1.567,26.36,59.8
224,"UBC1225",28.84,0.28,63.78,0.07,129.92,0.11,1.78,0.08,0.32,0.02,-1.41,0.05,-0.47,0.06,-60.41,"     ",34,1," ",8.882,3430,2.075,28.84,63.78
225,"UBC1226",29.94,0.12,63.84,0.07,130.38,0.04,1.96,0.07,0.25,0.04,-0.31,0.07,-0.39,0.07,"      ","     ",50,0," ",9.18,4117,1.717,29.94,63.84
226,"UBC1227",29.69,0.07,63.24,0.02,130.42,0.03,1.35,0.02,0.29,0.01,-1.01,0.05,0.36,0.04,"      ","     ",11,0," ",7.425,3274,1.846,29.69,63.24
227,"UBC1228",30.59,0.26,64.68,0.07,130.43,0.11,2.85,0.07,0.28,0.02,-0.13,0.06,0.44,0.06,"      ","     ",27,0," ",7.993,3680,1.416,30.59,64.68
228,"UBC1229",27.68,0.12,59.11,0.06,130.49,0.06,-2.88,0.06,0.35,0.01,-0.78,0.08,-0.42,0.05,"      ","     ",19,0," ",7.336,3043,1.398,27.68,59.11
229,"UBC1230",27.97,0.14,59.53,0.04,130.53,0.07,-2.45,0.04,0.25,0.02,-1.5,0.06,-0.31,0.06,"      ","     ",18,0," ",7.604,4356,1.237,27.97,59.53
230,"UBC1231",29.06,0.15,59.1,0.07,131.18,0.07,-2.73,0.08,0.45,0.02,-0.76,0.07,0.23,0.06,"      ","     ",26,0," ",8.384,2331,1.021,29.06,59.1
231,"UBC1232",32.55,0.22,64.14,0.11,131.39,0.11,2.57,0.1,0.32,0.02,-0.69,0.05,0.29,0.07,"      ","     ",40,0," ",7.603,3212,1.505,32.55,64.14
232,"UBC1233",36.32,0.21,66.55,0.06,132.09,0.08,5.36,0.07,0.31,0.02,-1.3,0.07,0.56,0.08,-58.92,"     ",45,1," ",8.55,3291,2.715,36.32,66.55
233,"UBC1234",30.85,0.24,58.84,0.12,132.14,0.13,-2.74,0.11,0.4,0.01,-1.18,0.08,-0.85,0.06,"      ","     ",49,0," ",7.338,2650,1.357,30.85,58.84
234,"UBC1235",30.94,0.19,58.98,0.05,132.15,0.1,-2.6,0.05,0.47,0.01,-0.73,0.06,-1.29,0.05,"      ","     ",20,0," ",8.207,2215,1.264,30.94,58.98
235,"UBC1236",36.27,0.19,59.96,0.1,134.41,0.1,-0.81,0.1,0.44,0.03,-0.98,0.07,-0.56,0.09,"      ","     ",112,0," ",7.996,2265,2.162,36.27,59.96
236,"UBC1237",37.81,0.24,61.41,0.14,134.58,0.09,0.82,0.16,0.44,0.02,-1.13,0.07,-0.16,0.09,"      ","     ",51,0," ",7.421,2505,2.299,37.81,61.41
237,"UBC1238",39.25,0.13,61.14,0.09,135.32,0.08,0.83,0.08,0.46,0.01,-0.9,0.08,-0.18,0.08,"      ","     ",24,0," ",7.825,2339,2.131,39.25,61.14
238,"UBC1239",38.36,0.09,60.03,0.04,135.36,0.04,-0.36,0.04,0.34,0.02,0.06,0.11,-0.42,0.07,"      ","     ",23,0,"a",7.112,3120,2.499,38.36,60.03
239,"UBC1240",44.68,0.17,63.58,0.05,136.54,0.07,4.13,0.05,0.16,0.03,-1,0.11,0.37,0.1,"      ","     ",47,0," ",7.36,8338,2.092,44.68,63.58
240,"UBC1241",41.32,0.1,58.68,0.05,137.28,0.05,-0.98,0.05,0.26,0.04,-1.39,0.11,0.06,0.08,-77.21,"     ",49,1," ",8.586,3948,1.852,41.32,58.68
241,"UBC1242",43.1,0.25,59.58,0.1,137.7,0.13,0.23,0.1,0.43,0.02,-0.44,0.09,-0.69,0.08,"      ","     ",58,0," ",8.411,2488,1.922,43.1,59.58
242,"UBC1243",48.28,0.15,63.51,0.07,137.97,0.06,4.85,0.07,0.34,0.02,0.24,0.08,0.42,0.06,-37.15,"     ",31,1," ",8.369,2949,1.842,48.28,63.51
243,"UBC1244",43.01,0.29,56.89,0.21,138.87,0.17,-2.2,0.2,0.4,0.02,0.38,0.07,-1.28,0.08,51.92,"     ",106,1," ",7.255,2481,2.356,43.01,56.89
244,"UBC1245",45.57,0.06,56.59,0.03,140.25,0.04,-1.82,0.02,0.4,0.02,0.67,0.07,-1,0.08,"      ","     ",19,0," ",8.429,2705,2.373,45.57,56.59
245,"UBC1246",45.47,0.17,47.94,0.11,144.4,0.1,-9.42,0.13,0.34,0.03,0.53,0.11,-1.26,0.11,-36.9,17.94,67,4," ",9.005,3104,0.828,45.47,47.94
246,"UBC1247",57.43,0.14,58.21,0.03,144.66,0.06,3.07,0.05,0.32,0.01,0.67,0.08,-0.55,0.04,"      ","     ",14,0," ",8.694,3507,2.236,57.43,58.21
247,"UBC1248",50.66,0.08,52.05,0.06,145.14,0.06,-4.18,0.04,0.28,0.03,1.86,0.1,-1.31,0.1,"      ","     ",37,0," ",9.047,3867,2.313,50.66,52.05
248,"UBC1249",59.62,0.25,57.17,0.1,146.23,0.09,3.02,0.14,0.24,0.04,-0.1,0.1,0.39,0.08,-59.06,17.17,98,2,"a",7.211,3970,1.528,59.62,57.17
249,"UBC1250",53.27,0.09,51.24,0.09,146.94,0.06,-3.94,0.09,0.34,0.02,0.54,0.09,-1.25,0.08,"      ","     ",28,0," ",6.955,2990,2.276,53.27,51.24
250,"UBC1251",51.46,0.1,49.05,0.09,147.23,0.07,-6.4,0.08,0.37,0.01,0.38,0.05,-1.25,0.08,"      ","     ",19,0," ",8.553,3000,1.112,51.46,49.05
251,"UBC1252",54.74,0.12,51.88,0.06,147.3,0.07,-2.88,0.06,0.37,0.02,0.74,0.08,-2.14,0.07,"      ","     ",22,0," ",7.77,2996,2.596,54.74,51.88
252,"UBC1253",64.01,0.14,56.17,0.1,148.69,0.08,3.9,0.09,0.24,0.02,-0.35,0.09,-0.32,0.08,"      ","     ",41,0," ",7.18,4434,1.819,64.01,56.17
253,"UBC1254",56.34,0.14,50.73,0.11,148.8,0.1,-3.2,0.1,0.34,0.04,0.8,0.09,-1.25,0.09,-17.48,"     ",109,1," ",8.689,3152,2.453,56.34,50.73
254,"UBC1255",62.95,0.12,52.99,0.07,150.44,0.07,1.17,0.07,0.23,0.05,0.2,0.09,-0.58,0.08,"      ","     ",63,0," ",7.476,4687,1.99,62.95,52.99
255,"UBC1256",61.35,0.13,51.51,0.09,150.71,0.08,-0.58,0.1,0.34,0.04,-0.38,0.11,-1.27,0.1,"      ","     ",57,0," ",7.246,3409,2.43,61.35,51.51
256,"UBC1257",57.98,0.07,48.41,0.06,151.08,0.05,-4.35,0.06,0.61,0.01,1.15,0.06,-1.08,0.06,"      ","     ",11,0," ",8.492,1814,1.267,57.98,48.41
257,"UBC1258",62.43,0.05,50.35,0.05,152,0.04,-0.98,0.03,0.41,0.03,-0.17,0.06,-0.53,0.07,"      ","     ",24,0," ",9.093,2611,2.653,62.43,50.35
258,"UBC1259",58.99,0.13,47.44,0.08,152.22,0.09,-4.67,0.08,0.33,0.02,1.01,0.09,-1.42,0.06,"      ","     ",20,0," ",7.879,3398,1.561,58.99,47.44
259,"UBC1260",60.63,0.11,47.76,0.08,152.85,0.08,-3.7,0.08,0.35,0.02,0.98,0.08,-1.52,0.06,"      ","     ",18,0," ",7.728,2886,1.86,60.63,47.76
260,"UBC1261",71.79,0.07,49.79,0.05,156.55,0.05,2.96,0.04,0.23,0.03,0.03,0.08,-1.73,0.05,-8.35,"     ",32,1," ",9.203,4911,1.088,71.79,49.79
261,"UBC1262",70.24,0.09,47.7,0.06,157.47,0.06,0.82,0.06,0.38,0.03,0.89,0.06,-1.31,0.08,"      ","     ",52,0," ",8.438,3003,3.212,70.24,47.7
262,"UBC1263",66.21,0.12,44.33,0.08,158.04,0.07,-3.52,0.09,0.32,0.02,-0.59,0.1,-1,0.08,"      ","     ",39,0," ",7.917,3521,1.478,66.21,44.33
263,"UBC1264",67.86,0.15,44.42,0.07,158.78,0.09,-2.61,0.08,0.36,0.03,0.52,0.08,-1.35,0.09,"      ","     ",37,0," ",7.339,3104,1.854,67.86,44.42
