"Seq","Cluster","RA_ICRS","s_RA_ICRS","DE_ICRS","s_DE_ICRS","GLON","s_GLON","GLAT","s_GLAT","plx","s_plx","pmRA","s_pmRA","pmDE","s_pmDE","RV","s_RV","Nmemb","NmembRV","Flag","logAge","Dist","AV","_RA.icrs","_DE.icrs"
21,"UBC1022",278.32,0.05,-13.07,0.07,19.25,0.06,-1.98,0.06,0.4,0.02,-0.92,0.06,-0.25,0.06,"      ","     ",38,0," ",9.075,2765,1.735,278.32,-13.07
22,"UBC1023",278.68,0.07,-13.01,0.06,19.46,0.06,-2.26,0.07,0.59,0.02,0.65,0.06,-0.17,0.07,"      ","     ",40,0," ",8.292,1869,1.327,278.68,-13.01
23,"UBC1024",275.96,0.07,-11.52,0.07,19.55,0.07,0.79,0.07,0.36,0.06,-1.72,0.11,-3.63,0.12,4.51,1.39,133,2," ",8.366,3341,3.41,275.96,-11.52
24,"UBC1025",276.11,0.07,-10.59,0.05,20.44,0.05,1.09,0.06,0.35,0.01,-1.96,0.08,-4.09,0.11,"      ","     ",26,0," ",8.824,2905,3.792,276.11,-10.59
25,"UBC1026",278.37,0.06,-10.73,0.07,21.35,0.08,-0.95,0.04,0.49,0.01,0.38,0.04,-1.5,0.08,"      ","     ",24,0," ",7.546,2246,3.936,278.37,-10.73
26,"UBC1027",279.29,0.06,-10.25,0.06,22.19,0.06,-1.53,0.06,0.26,0.05,-1.46,0.09,-4.43,0.09,"      ","     ",229,0," ",8.935,3681,3.695,279.29,-10.25
27,"UBC1028",278.25,0.03,-9.42,0.05,22.46,0.05,-0.24,0.04,0.34,0.01,-0.06,0.07,-2.02,0.06,"      ","     ",20,0," ",7.818,2887,3.41,278.25,-9.42
28,"UBC1029",281,0.07,-10.78,0.06,22.48,0.05,-3.26,0.07,0.61,0.03,-1.08,0.07,-2.68,0.06,"      ","     ",47,0," ",7.663,1735,1.543,281,-10.78
29,"UBC1030",280.76,0.06,-10.01,0.05,23.06,0.04,-2.7,0.06,0.47,0.01,0.49,0.05,-0.84,0.07,"      ","     ",23,0," ",7.677,2219,1.477,280.76,-10.01
30,"UBC1031",280.22,0.04,-9.67,0.06,23.13,0.06,-2.08,0.03,0.4,0.02,0.74,0.08,-3.72,0.06,-25.02,"     ",45,1," ",9.093,2679,2.787,280.22,-9.67
31,"UBC1032",279.57,0.06,-9.27,0.04,23.19,0.05,-1.32,0.04,0.29,0.01,-1.47,0.05,-3.1,0.05,"      ","     ",16,0," ",7.513,3600,3.007,279.57,-9.27
