CWNU_id,l,b,sig_l,sig_b,n,plx,sig_plx,pmx,sig_pmx,pmy,sig_pmy,rv,sig_rv,nrv,logage,A0,m-M,class,RA_ICRS,DE_ICRS
CWNU_2275,285.683,-0.478,0.078,0.033,84,0.204,0.043,-5.474,0.098,2.554,0.064,-58.6,,1,6.65,4,13.6,1,158.148,-58.62036
CWNU_2276,317.323,-0.206,0.119,0.113,82,0.42,0.07,-4.144,0.105,-2.668,0.125,-42.89,,1,6.5,2.5,11.7,1,222.40512,-59.73411
CWNU_2277,24.094,-1.229,0.086,0.06,81,0.331,0.046,-0.27,0.122,-2.989,0.089,38.16,1.02,3,8.65,3.7,12.05,1,279.90699,-8.42336
CWNU_2278,61.978,-0.751,0.07,0.029,12,0.377,0.037,-1.968,0.055,-5.911,0.043,7.51,,1,6.15,6.05,12.3,1,297.78626,25.21948
CWNU_2279,3.917,-0.616,0.119,0.126,81,0.374,0.043,-0.124,0.123,-0.986,0.064,7.66,,1,8.2,3.55,11.8,1,269.25712,-25.88427
CWNU_2280,292.19,-0.206,0.037,0.024,13,0.232,0.021,-7.05,0.059,2.276,0.036,,,0,6.6,3.7,13.65,1,170.12394,-61.16667
CWNU_2281,239.84,-0.987,0.294,0.167,85,0.302,0.045,-2.143,0.065,2.241,0.073,80.81,11.12,4,8.5,1.1,12.3,1,114.95065,-24.24054
CWNU_2282,87.357,0.713,0.187,0.129,79,0.353,0.053,-3.827,0.098,-4.545,0.093,-20.67,,1,6.5,1.5,12.6,1,314.59473,46.84406
CWNU_2283,61.259,-0.817,0.27,0.092,77,0.36,0.07,-2.112,0.099,-4.581,0.11,-0.11,4.95,5,7.75,5.25,11.85,1,297.4454,24.56709
CWNU_2284,224.602,1.356,0.369,0.122,84,0.352,0.045,-2.205,0.084,2.05,0.069,103.57,12.78,3,7.5,1,12.0,1,109.45887,-9.74027
CWNU_2285,320.403,-2.258,0.097,0.071,77,0.314,0.049,-3.8,0.091,-3.001,0.099,-38.88,9.86,5,7.9,3.05,12.2,1,229.75982,-60.02437
CWNU_2286,223.552,2.181,0.078,0.064,77,0.227,0.057,-1.017,0.091,0.407,0.087,86.68,24.99,7,8.9,1.05,13.15,1,109.70144,-8.427
CWNU_2287,170.389,2.932,0.056,0.096,13,0.511,0.031,-0.014,0.078,-2.117,0.063,,,0,8.55,1.75,11.25,1,83.23365,38.63044
CWNU_2288,11.695,1.151,0.143,0.067,77,0.531,0.068,0.401,0.15,-0.456,0.122,,,0,8.05,4.2,11.2,1,271.74876,-18.24926
CWNU_2289,243.696,0.995,0.033,0.069,12,0.234,0.024,-2.212,0.036,2.452,0.062,,,0,8.9,1.75,12.75,1,119.00109,-26.56712
CWNU_2290,74.286,2.268,0.18,0.134,13,0.74,0.018,-0.246,0.039,-4.237,0.03,,,0,7.05,0.8,10.6,1,302.3737,37.27266
CWNU_2291,322.288,-1.844,0.09,0.133,75,0.324,0.051,-3.572,0.079,-3.565,0.076,-31.44,19.43,2,6.65,4.55,12.7,1,232.39514,-58.64076
CWNU_2292,301.906,0.932,0.059,0.044,75,0.311,0.05,-5.988,0.096,-0.66,0.107,-27.05,3.3,3,8.95,3.85,12.05,1,190.67965,-61.92238
CWNU_2293,216.788,-0.825,0.236,0.148,74,0.369,0.051,-1.108,0.079,2.358,0.113,59.86,1.92,5,8.35,2.05,12.05,1,103.88439,-3.8079
CWNU_2294,263.558,-2.114,0.09,0.108,13,0.454,0.021,-5.746,0.075,5.101,0.053,,,0,7.5,1.6,11.5,1,129.60087,-44.77567
CWNU_2295,303.932,-1.476,0.043,0.036,13,0.329,0.018,-5.956,0.038,-0.511,0.027,-11.25,,1,8.65,2.95,12.15,1,195.16787,-64.32982
CWNU_2296,349.365,2.246,0.082,0.054,13,0.58,0.032,-0.983,0.064,-2.798,0.084,,,0,7.0,2.7,11.35,1,257.13007,-36.51546
CWNU_2297,32.247,-3.511,0.122,0.173,73,0.5,0.046,-0.506,0.099,-2.963,0.131,-10.61,,1,7.5,2.45,11.25,1,285.67378,-2.20892
CWNU_2298,90.814,1.771,0.014,0.021,13,0.509,0.03,-3.16,0.038,-4.177,0.029,,,0,7.1,4.5,11.55,1,316.86455,50.13104
CWNU_2299,298.209,3.034,0.017,0.023,12,0.31,0.017,-5.188,0.049,0.936,0.06,,,0,8.6,1.7,12.35,1,183.5377,-59.49539
CWNU_2300,284.775,-2.453,0.042,0.039,13,0.238,0.012,-5.047,0.076,2.863,0.059,,,0,9.3,1.9,12.7,1,154.59988,-59.81582
CWNU_2301,235.349,1.867,0.133,0.052,12,0.304,0.042,-1.564,0.077,2.31,0.052,,,0,7.8,1.6,12.75,1,115.23871,-18.92665
CWNU_2302,243.023,3.009,0.034,0.041,13,0.326,0.024,-3.107,0.018,3.021,0.061,,,0,8.65,0.4,12.2,1,120.51571,-24.93992
CWNU_2303,333.652,-1.375,0.13,0.064,71,0.346,0.044,-2.109,0.093,-3.433,0.102,-17.56,17.27,4,8.3,4.1,11.95,1,246.89733,-50.87948
CWNU_2304,283.535,-1.572,0.198,0.088,69,0.277,0.044,-7.014,0.076,3.772,0.065,10.24,7.99,2,7.85,2.45,12.65,1,153.55383,-58.39333
CWNU_2305,333.707,0.219,0.033,0.03,69,0.234,0.047,-2.889,0.101,-3.339,0.043,-71.11,,1,7.4,7.4,12.65,1,245.17966,-49.72174
CWNU_2306,224.473,-1.607,0.089,0.13,12,0.36,0.029,-1.036,0.047,1.429,0.016,54.21,,1,8.8,1.25,12.0,1,106.72838,-10.99818
CWNU_2307,168.269,-0.493,0.027,0.012,12,0.32,0.018,-0.24,0.072,-1.551,0.084,36.09,,1,8.8,1.5,12.2,1,78.09009,38.43722
CWNU_2308,190.409,2.302,0.278,0.14,67,0.446,0.119,0.384,0.128,-2.121,0.101,,,0,7.45,1.9,11.5,1,94.30868,21.0359
CWNU_2309,130.723,-3.588,0.308,0.191,72,0.328,0.066,-0.746,0.139,-0.589,0.101,-28.82,,1,7.5,1.35,12.05,1,27.81266,58.37607
CWNU_2310,26.063,-0.778,0.031,0.027,67,0.257,0.055,-1.207,0.062,-3.658,0.082,53.1,,1,6.65,3.85,13.25,1,280.41122,-6.46652
CWNU_2311,262.041,-3.157,0.09,0.135,12,0.799,0.033,-5.315,0.079,4.971,0.052,,,0,7.4,1.05,10.45,1,127.16264,-44.17753
