GLON,GLAT,Diam-a,Diam-b,Name,Class1,Class2,recno,RA_ICRS,DE_ICRS
2.89,3.33,2.7,2.7,Ryu 162                                                                                                         ,OC   ,     ,221,264.93166,-24.7285
2.95,1.81,0.35,0.35,"VVV 144,VVV-CL 144                                                                                              ",OC   ,     ,222,266.39496,-25.47559
2.97,1.81,0.8,0.8,"VVV 145,VVV-CL 145                                                                                              ",OC   ,     ,223,266.40649,-25.45852
3.04,12.66,26.0,26.0,MWSC 4312                                                                                                       ,OC   ,     ,224,256.62966,-19.44004
3.15,2.98,1.8,1.8,Ryu 557                                                                                                         ,OC   ,     ,225,265.40974,-24.69287
3.36,2.59,6.0,6.0,"ESO 520-20,MWSC 2668                                                                                            ",OC   ,     ,233,265.89634,-24.71905
3.37,-5.93,1.2,1.2,Ryu 558                                                                                                         ,OC   ,     ,234,274.19669,-28.93699
3.37,1.49,2.7,2.7,Ryu 163                                                                                                         ,OC   ,     ,235,266.93877,-25.28257
3.44,-1.93,1.7,1.7,Ryu 164                                                                                                         ,OC   ,     ,239,270.26402,-26.9524
3.47,-1.7,1.7,1.7,Ryu 559                                                                                                         ,OC   ,     ,241,270.05668,-26.81241
3.48,-0.4,0.8,0.8,Ryu 560                                                                                                         ,OC   ,     ,242,268.80475,-26.15325
3.49,-4.41,2.1,2.1,Ryu 561                                                                                                         ,OC   ,     ,243,272.73558,-28.11433
3.57,-3.21,4.5,4.5,"Collinder 468,OCL 12,ESO 521-25,MWSC 2808                                                                       ",OC   ,     ,245,271.59012,-27.4666
3.63,-3.37,1.2,1.2,Ryu 562                                                                                                         ,OC   ,     ,249,271.78059,-27.4918
3.65,1.78,1.2,1.0,"DB 45,Dutra-Bica 45,MWSC 2695                                                                                   ",OC   ,     ,250,266.82447,-24.89305
3.77,-5.2,1.2,1.2,"Teutsch J1814.6-2814,Ryu 563                                                                                    ",OC   ,     ,258,273.67475,-28.24319
3.91,4.8,3.7,3.7,Ryu 564                                                                                                         ,OC   ,     ,269,264.16109,-23.08539
3.95,0.32,1.0,1.0,"VVV 153,VVV-CL 153                                                                                              ",OC   ,     ,271,268.37922,-25.38355
4.11,-2.89,1.5,1.5,Ryu 565                                                                                                         ,OC   ,     ,274,271.57023,-26.83982
4.12,-21.47,12.0,12.0,MWSC 5712                                                                                                       ,OC   ,     ,275,291.31678,-34.4753
4.13,-6.26,2.4,2.4,Ryu 566                                                                                                         ,OC   ,     ,276,274.92977,-28.4209
4.17,5.61,1.7,1.7,Ryu 165                                                                                                         ,OC   ,     ,277,263.56898,-22.43345
4.18,-2.9,1.5,1.5,Ryu 567                                                                                                         ,OC   ,     ,278,271.61809,-26.78358
4.22,0.63,2.1,2.1,Ryu 568                                                                                                         ,OC   ,     ,279,268.23561,-24.99354
