GLON,GLAT,Diam-a,Diam-b,Name,Class1,Class2,recno,RA_ICRS,DE_ICRS
19.09,-2.48,1.2,1.2,Ryu 789                                                                                                         ,OC   ,     ,937,278.70397,-13.44168
19.16,-3.17,1.4,1.4,Ryu 790                                                                                                         ,OC   ,     ,938,279.36798,-13.69536
19.3,0.56,0.8,0.8,Ryu 792                                                                                                         ,OC   ,     ,940,276.04303,-11.84641
19.3,-2.72,1.7,1.7,Ryu 791                                                                                                         ,OC   ,     ,941,279.0221,-13.36526
19.31,-1.55,1.0,1.0,Ryu 793                                                                                                         ,OC   ,     ,942,277.9601,-12.81842
19.4,-1.62,0.9,0.9,Ryu 234                                                                                                         ,OC   ,     ,944,278.06636,-12.77091
19.47,-0.16,6.0,6.0,"NGC 6631,Collinder 379,OCL 59,MWSC 2916                                                                         ",OC   ,     ,945,276.77496,-12.03217
19.5,4.85,1.3,1.3,Ryu 235                                                                                                         ,OC   ,     ,946,272.293,-9.63916
19.51,-2.07,1.4,1.4,Ryu 794                                                                                                         ,OC   ,     ,947,278.52794,-12.88057
19.57,-2.28,1.1,1.1,Ryu 14                                                                                                          ,OC   ,     ,948,278.74756,-12.9238
19.59,2.62,2.1,2.1,Ryu 236                                                                                                         ,OC   ,     ,949,274.32886,-10.62129
19.6,-1.02,6.0,6.0,"Dias 6,BBD 5,MWSC 2932                                                                                          ",OC   ,     ,950,277.61592,-12.31632
19.72,-1.21,7.0,5.5,"Ruprecht 141,OCL 60,MWSC 2935                                                                                   ",OC   ,     ,957,277.84513,-12.29783
19.74,-0.56,11.0,11.0,"FSR 59,MWSC 2923                                                                                                ",OC   ,     ,958,277.26535,-11.97907
19.76,-0.29,0.9,0.9,Ryu 797                                                                                                         ,OC   ,     ,959,277.03047,-11.83595
19.88,-3.22,1.0,1.0,Ryu 237                                                                                                         ,OC   ,     ,962,279.7508,-13.07844
19.99,-3.04,0.9,0.9,Ryu 798                                                                                                         ,OC   ,     ,963,279.63781,-12.8986
20.01,-1.41,7.5,4.5,"Ruprecht 143,OCL 62,MWSC 1408,MWSC 2945                                                                         ",OC   ,     ,965,278.16361,-12.133
20.04,-0.68,1.3,1.3,Ryu 799                                                                                                         ,OC   ,     ,966,277.51613,-11.76893
20.13,-4.3,1.1,1.1,Ryu 238                                                                                                         ,OC   ,     ,968,280.8556,-13.34645
20.14,5.38,1.8,1.8,Ryu 800                                                                                                         ,OC   ,     ,969,272.1304,-8.82585
20.15,4.64,1.3,1.3,Ryu 801                                                                                                         ,OC   ,     ,970,272.79358,-9.17031
20.23,2.58,1.4,1.4,Ryu 802                                                                                                         ,OC   ,     ,971,274.67166,-10.07665
20.23,-2.41,1.0,1.0,Ryu 239                                                                                                         ,OC   ,     ,972,279.17589,-12.39738
20.27,-0.44,0.7,0.7,Ryu 240                                                                                                         ,OC   ,     ,973,277.40786,-11.45389
20.35,5.0,2.4,2.4,Ryu 803                                                                                                         ,OC   ,     ,976,272.56934,-8.82352
20.36,-0.14,0.9,0.9,Ryu 804                                                                                                         ,OC   ,     ,977,277.17942,-11.23495
20.49,4.26,0.7,0.7,Ryu 805                                                                                                         ,OC   ,     ,979,273.29541,-9.0529
20.6,0.02,6.0,6.0,"FNY 2,Mercer 8a,Mc 8a                                                                                           ",OC   ,     ,980,277.14862,-10.9481
20.74,-1.27,6.0,5.0,"Ruprecht 144,OCL 63,MWSC 2950                                                                                   ",OC   ,     ,985,278.38041,-11.42085
20.75,-2.27,1.0,1.0,Ryu 242                                                                                                         ,OC   ,     ,987,279.29199,-11.87139
20.86,4.3,7.0,7.0,"FSR 62,MWSC 2846                                                                                                ",OC   ,     ,989,273.43697,-8.70914
21.01,-12.8,48.0,44.0,"NGC 6774,Ruprecht 147,OCL 65,MWSC 3078                                                                          ",OC   ,     ,991,289.15857,-16.27847
21.14,3.31,0.9,0.9,Ryu 807                                                                                                         ,OC   ,     ,993,274.45345,-8.93101
21.22,-4.28,1.3,1.3,Ryu 808                                                                                                         ,OC   ,     ,994,281.34114,-12.36778
21.24,2.28,1.0,1.0,Ryu 809                                                                                                         ,OC   ,     ,995,275.4217,-9.32719
21.26,4.14,6.0,6.0,"FSR 63,MWSC 2855                                                                                                ",OC   ,     ,997,273.77051,-8.43354
21.41,-3.88,1.4,1.4,Ryu 810                                                                                                         ,OC   ,     ,1001,281.06384,-12.01784
21.62,2.18,1.0,1.0,Ryu 813                                                                                                         ,OC   ,     ,1005,275.69142,-9.0386
21.64,-0.78,6.5,6.5,"NGC 6649,Melotte 206,Collinder 384,OCL 66,MWSC 2949                                                             ",OC   ,     ,1006,278.36004,-10.39643
21.76,-3.39,2.9,2.9,Ryu 243                                                                                                         ,OC   ,     ,1007,280.77955,-11.48433
21.81,-19.0,13.0,13.0,MWSC 5720                                                                                                       ,OC   ,     ,1008,295.41281,-18.10606
21.91,1.47,1.2,1.2,Ryu 814                                                                                                         ,OC   ,     ,1011,276.46427,-9.11394
21.92,-0.19,1.0,1.0,Ryu 815                                                                                                         ,OC   ,     ,1012,277.95972,-9.87566
21.99,22.92,23.0,23.0,MWSC 4317                                                                                                       ,OC   ,     ,1013,257.61867,1.25981
22.12,-3.22,0.9,0.9,Ryu 816                                                                                                         ,OC   ,     ,1015,280.79158,-11.08693
22.2,-1.51,3.0,3.0,"Teutsch 117,DSH J1837.1-1013                                                                                    ",OC   ,     ,1016,279.28064,-10.23503
22.27,0.01,0.9,0.9,Ryu 817                                                                                                         ,OC   ,     ,1018,277.94395,-9.47285
22.29,-3.12,1.0,1.0,Ryu 818                                                                                                         ,OC   ,     ,1020,280.77942,-10.89028
22.32,0.12,1.2,1.2,Ryu 244                                                                                                         ,OC   ,     ,1022,277.86852,-9.37765
22.4,-2.24,0.7,0.7,Ryu 819                                                                                                         ,OC   ,     ,1024,280.03333,-10.39148
22.45,2.24,0.8,0.8,Ryu 821                                                                                                         ,OC   ,     ,1027,276.02994,-8.27736
22.46,-1.56,1.3,1.3,Ryu 245                                                                                                         ,OC   ,     ,1028,279.44685,-10.027
22.47,-10.23,5.0,5.0,"FSR 67,MWSC 3055                                                                                                ",OC   ,     ,1029,287.384,-13.88769
22.5,3.93,1.2,1.2,Ryu 822                                                                                                         ,OC   ,     ,1030,274.54623,-7.44165
22.52,-0.27,1.4,1.4,Ryu 246                                                                                                         ,OC   ,     ,1031,278.31274,-9.38043
22.66,3.81,0.9,0.9,Ryu 823                                                                                                         ,OC   ,     ,1032,274.72867,-7.35708
23.25,0.44,1.4,1.4,Ryu 825                                                                                                         ,OC   ,     ,1053,278.01648,-8.40507
23.34,-2.47,1.3,1.3,Ryu 826                                                                                                         ,OC   ,     ,1055,280.67628,-9.66062
23.39,-0.46,1.4,1.4,Ryu 827                                                                                                         ,OC   ,     ,1056,278.88936,-8.69582
23.44,-15.27,9.0,9.0,"FSR 70,MWSC 3131                                                                                                ",OC   ,     ,1060,292.51341,-15.16957
23.5,0.36,2.2,2.2,Ryu 248                                                                                                         ,OC   ,     ,1064,278.20488,-8.22029
23.64,1.33,0.8,0.8,Ryu 833                                                                                                         ,OC   ,     ,1068,277.4019,-7.64756
23.69,0.08,0.9,0.9,Ryu 834                                                                                                         ,OC   ,     ,1069,278.54442,-8.18086
23.76,21.91,22.0,22.0,MWSC 5346                                                                                                       ,OC   ,     ,1071,259.29202,2.20844
23.82,1.02,1.2,1.2,Ryu 835                                                                                                         ,OC   ,     ,1073,277.7632,-7.63155
23.87,-2.91,10.0,8.0,"M 26,NGC 6694,Melotte 212,Collinder 389,OCL 67,FSR 71,MWSC 2987                                                 ",OC   ,     ,1077,281.31782,-9.38937
23.93,-0.71,1.6,1.6,Ryu 837                                                                                                         ,OC   ,     ,1079,279.36479,-8.33113
23.93,-0.46,19.0,17.0,"NGC 6664,Collinder 385,OCL 68,Alessi 153,MWSC 2962                                                              ",OC   ,     ,1080,279.14038,-8.2163
24.01,1.36,1.2,1.2,Ryu 838                                                                                                         ,OC   ,     ,1085,277.54786,-7.30582
24.11,-1.27,8.0,8.0,"Trumpler 34,Collinder 387,OCL 69,MWSC 2970                                                                      ",OC   ,     ,1088,279.95124,-8.42791
24.14,-0.23,1.1,1.1,Ryu 839                                                                                                         ,OC   ,     ,1090,279.03158,-7.92408
24.22,-0.9,1.3,1.3,Ryu 840                                                                                                         ,OC   ,     ,1094,279.66979,-8.16064
24.26,0.59,2.5,2.5,Ryu 249                                                                                                         ,OC   ,     ,1095,278.35289,-7.43993
24.3,1.48,1.0,1.0,Ryu 842                                                                                                         ,OC   ,     ,1097,277.57587,-6.99329
24.38,1.78,0.6,0.6,Ryu 843                                                                                                         ,OC   ,     ,1099,277.34531,-6.78353
24.4,2.53,1.3,1.3,Ryu 844                                                                                                         ,OC   ,     ,1100,276.68571,-6.41805
24.42,-3.31,0.7,0.7,Ryu 845                                                                                                         ,OC   ,     ,1102,281.93145,-9.08152
24.43,2.58,1.4,1.4,Ryu 846                                                                                                         ,OC   ,     ,1103,276.65515,-6.36829
24.47,-1.21,1.2,1.2,Ryu 847                                                                                                         ,OC   ,     ,1104,280.0638,-8.08044
24.56,3.75,3.1,3.1,Ryu 850                                                                                                         ,OC   ,     ,1110,275.6743,-5.70925
24.57,-4.7,1.1,1.1,Ryu 851                                                                                                         ,OC   ,     ,1111,283.25667,-9.57592
24.6,0.39,5.0,5.0,"Alicante 8,RSGC 4                                                                                               ",OC   ,     ,1112,278.68983,-7.23037
24.72,2.49,1.2,1.2,Ryu 853                                                                                                         ,OC   ,     ,1117,276.87059,-6.15342
24.77,1.58,1.2,1.2,Ryu 855                                                                                                         ,OC   ,     ,1121,277.70541,-6.53048
24.82,4.44,1.1,1.1,Ryu 856                                                                                                         ,OC   ,     ,1123,275.18244,-5.15825
24.88,3.19,1.6,1.6,Ryu 250                                                                                                         ,OC   ,     ,1126,276.3218,-5.68698
24.88,-25.37,16.0,16.0,MWSC 5737                                                                                                       ,OC   ,     ,1127,302.74569,-17.93937
24.9,0.12,0.9,0.9,"Quartet,Ryu 858                                                                                                 ",OC   ,     ,1128,279.07055,-7.08826
24.99,-2.81,1.1,1.1,Ryu 859                                                                                                         ,OC   ,     ,1130,281.74198,-8.34743
24.99,0.75,1.9,1.7,Ryu 860                                                                                                         ,OC   ,     ,1131,278.54888,-6.7184
25.08,5.48,1.2,1.2,Ryu 861                                                                                                         ,OC   ,     ,1136,274.38063,-4.44389
25.14,3.38,1.1,1.1,Ryu 862                                                                                                         ,OC   ,     ,1137,276.27386,-5.36885
25.2,1.73,0.9,0.9,Ryu 864                                                                                                         ,OC   ,     ,1139,277.77143,-6.07999
25.21,0.14,0.8,0.8,Ryu 865                                                                                                         ,OC   ,     ,1140,279.1962,-6.80375
25.33,-5.52,1.3,1.3,Ryu 866                                                                                                         ,OC   ,     ,1147,284.344,-9.268
25.34,-3.84,2.2,2.2,Ryu 251                                                                                                         ,OC   ,     ,1150,282.83023,-8.50268
25.35,0.97,1.7,1.7,Ryu 252                                                                                                         ,OC   ,     ,1151,278.51926,-6.29757
25.56,5.08,11.0,11.0,"FSR 76,MWSC 2891                                                                                                ",OC   ,     ,1158,274.95898,-4.20755
25.63,4.42,1.9,1.9,Ryu 868                                                                                                         ,OC   ,     ,1162,275.57745,-4.4528
25.76,-5.7,8.0,6.0,"NGC 6728,MWSC 3032                                                                                              ",OC   ,     ,1164,284.70125,-8.96616
25.79,2.69,1.4,1.4,Ryu 253                                                                                                         ,OC   ,     ,1166,277.18992,-5.11343
25.79,-22.91,19.0,19.0,MWSC 5731                                                                                                       ,OC   ,     ,1167,300.70468,-16.22614
25.8,23.4,22.0,22.0,MWSC 5344                                                                                                       ,OC   ,     ,1168,258.86138,4.57046
25.81,19.77,22.0,22.0,MWSC 5356                                                                                                       ,OC   ,     ,1169,262.08527,2.88873
25.86,-4.01,1.4,1.4,Ryu 254                                                                                                         ,OC   ,     ,1172,283.22041,-8.11671
25.93,6.64,5.0,5.0,"FSR 78,MWSC 2854                                                                                                ",OC   ,     ,1173,273.74761,-3.15506
25.95,2.49,0.9,0.9,Ryu 869                                                                                                         ,OC   ,     ,1174,277.44216,-5.06415
25.97,0.41,1.4,1.4,Ryu 255                                                                                                         ,OC   ,     ,1175,279.30619,-6.00466
26.01,-5.2,4.7,4.7,Ryu 256                                                                                                         ,OC   ,     ,1179,284.36217,-8.51938
26.15,3.75,1.2,1.2,Ryu 870                                                                                                         ,OC   ,     ,1183,276.41406,-4.30418
26.18,-0.06,5.0,4.0,"Stephenson 2,RSGC 2,BDB 14,MWSC 2969                                                                            ",OC   ,     ,1185,279.823,-6.03373
26.27,-2.05,1.0,1.0,Ryu 257                                                                                                         ,OC   ,     ,1186,281.64583,-6.86286
26.36,-0.79,6.0,6.0,"NGC 6683,OCL 74,MWSC 2977                                                                                       ",OC   ,     ,1189,280.55861,-6.20791
26.64,12.19,10.0,10.0,"FSR 80,MWSC 2754                                                                                                ",OC   ,     ,1201,269.16343,0.05412
26.84,14.7,65.0,50.0,"Collinder 350,OCL 75,MWSC 2700                                                                                  ",OC   ,     ,1205,267.03274,1.39541
26.88,-5.1,3.1,3.1,Ryu 258                                                                                                         ,OC   ,     ,1206,284.66547,-7.70045
26.95,22.11,17.0,17.0,MWSC 5350                                                                                                       ,OC   ,     ,1208,260.50077,4.91609
26.98,25.36,20.0,20.0,MWSC 5340                                                                                                       ,OC   ,     ,1210,257.60803,6.42524
26.99,-0.28,0.9,0.9,Ryu 876                                                                                                         ,OC   ,     ,1212,280.39238,-5.41443
27.04,-19.92,16.0,16.0,MWSC 5726                                                                                                       ,OC   ,     ,1213,298.35174,-13.96035
27.08,0.04,1.1,1.1,Ryu 259                                                                                                         ,OC   ,     ,1214,280.14802,-5.18793
27.15,-4.81,1.3,1.3,Ryu 260                                                                                                         ,OC   ,     ,1216,284.52643,-7.3297
27.21,-2.61,1.1,1.1,Ryu 261                                                                                                         ,OC   ,     ,1220,282.57779,-6.28098
27.24,-0.41,1.9,1.9,"Teutsch 145,DSH J1842.4-0515,MWSC 2978                                                                          ",OC   ,     ,1222,280.62333,-5.25158
27.3,-2.77,12.0,12.0,"M 11,NGC 6705,Melotte 213,Collinder 391,OCL 76,FSR 82,MWSC 3008                                                 ",OC   ,     ,1226,282.76227,-6.27354
27.35,-1.93,6.0,6.0,"Apriamaswili 1,Basel 1,OCL 77,MWSC 2996                                                                         ",OC   ,     ,1229,282.0327,-5.8472
27.45,-3.32,1.4,1.4,Ryu 262                                                                                                         ,OC   ,     ,1234,283.32381,-6.38948
27.51,22.04,14.0,14.0,MWSC 5351                                                                                                       ,OC   ,     ,1237,260.80169,5.34548
27.52,0.06,0.8,0.8,Ryu 878                                                                                                         ,OC   ,     ,1238,280.33237,-4.78759
27.63,5.38,2.7,2.7,Ryu 15                                                                                                          ,OC   ,     ,1242,275.65036,-2.24214
27.64,4.57,1.9,1.9,Ryu 880                                                                                                         ,OC   ,     ,1244,276.37407,-2.60736
27.66,-3.95,1.0,1.0,Ryu 881                                                                                                         ,OC   ,     ,1245,283.98461,-6.48776
27.7,-1.58,1.1,1.1,Ryu 264                                                                                                         ,OC   ,     ,1247,281.87968,-5.37636
27.76,4.45,1.3,1.3,Ryu 882                                                                                                         ,OC   ,     ,1249,276.53589,-2.5566
27.83,-13.5,5.0,5.0,FSR 83                                                                                                          ,OC   ,     ,1251,292.71935,-10.56816
27.95,3.93,0.8,0.8,Ryu 884                                                                                                         ,OC   ,     ,1256,277.08526,-2.62816
27.98,1.25,0.8,0.8,Ryu 885                                                                                                         ,OC   ,     ,1258,279.48293,-3.83354
27.99,-1.37,0.9,0.9,Ryu 887                                                                                                         ,OC   ,     ,1259,281.82462,-5.02261
28.02,-0.37,1.2,1.2,Ryu 889                                                                                                         ,OC   ,     ,1260,280.94545,-4.53957
28.02,-3.5,1.1,1.1,Ryu 888                                                                                                         ,OC   ,     ,1261,283.74449,-5.96377
28.08,3.61,0.8,0.8,Ryu 890                                                                                                         ,OC   ,     ,1264,277.42941,-2.66038
28.17,-1.35,1.2,1.2,Ryu 891                                                                                                         ,OC   ,     ,1266,281.88907,-4.85332
28.22,-2.21,7.5,5.0,"NGC 6704,Collinder 390,OCL 82,mWSC 3007                                                                         ",OC   ,     ,1268,282.68059,-5.20032
28.26,5.55,1.4,1.4,Ryu 893                                                                                                         ,OC   ,     ,1270,275.78908,-1.60733
28.38,-17.66,7.0,7.0,"FSR 85,MWSC 3179                                                                                                ",OC   ,     ,1275,296.78464,-11.86661
28.41,3.66,1.6,1.6,Ryu 895                                                                                                         ,OC   ,     ,1276,277.53665,-2.34497
28.42,-0.35,0.9,0.9,Ryu 896                                                                                                         ,OC   ,     ,1277,281.11087,-4.17462
28.52,-1.85,0.8,0.8,Ryu 898                                                                                                         ,OC   ,     ,1279,282.49568,-4.76956
28.54,-4.54,0.8,0.8,Ryu 899                                                                                                         ,OC   ,     ,1280,284.91297,-5.97148
28.59,5.2,1.2,1.2,Ryu 900                                                                                                         ,OC   ,     ,1285,276.25125,-1.47697
28.88,-3.79,1.1,1.1,Ryu 904                                                                                                         ,OC   ,     ,1303,284.39487,-5.32988
28.9,2.29,1.0,1.0,Ryu 905                                                                                                         ,OC   ,     ,1304,278.97967,-2.53944
28.93,-0.3,6.0,6.0,Alicante 10                                                                                                     ,OC   ,     ,1305,281.29973,-3.69808
29.04,-0.05,5.0,5.0,"Alicante 7,RSGC 5                                                                                               ",OC   ,     ,1308,281.12723,-3.48605
29.06,-1.96,1.1,1.1,Ryu 906                                                                                                         ,OC   ,     ,1309,282.84031,-4.33902
29.09,-0.44,10.0,10.0,"FSR 87,MWSC 2989                                                                                                ",OC   ,     ,1312,281.49774,-3.61964
29.11,-1.73,11.3,11.3,"FSR 88,MWSC 3006                                                                                                ",OC   ,     ,1313,282.65774,-4.18986
29.19,-21.86,19.0,19.0,MWSC 5732                                                                                                       ,OC   ,     ,1316,301.01856,-12.9257
29.23,5.57,1.8,1.8,Ryu 907                                                                                                         ,OC   ,     ,1317,276.21574,-0.74102
29.26,-2.29,0.7,0.7,Ryu 908                                                                                                         ,OC   ,     ,1320,283.2262,-4.31111
29.29,2.14,1.1,1.1,Ryu 909                                                                                                         ,OC   ,     ,1322,279.29189,-2.26183
29.3,-1.51,1.1,1.1,Ryu 910                                                                                                         ,OC   ,     ,1323,282.54806,-3.92059
29.49,-0.98,4.0,4.0,"FSR 89,MWSC 2997                                                                                                ",OC   ,     ,1326,282.16202,-3.51001
29.62,-1.39,4.0,4.0,"FSR 90,MWSC 3004                                                                                                ",OC   ,     ,1328,282.58701,-3.58115
29.63,-0.62,0.8,0.8,Ryu 911                                                                                                         ,OC   ,     ,1329,281.90501,-3.22127
29.69,18.85,7.0,7.0,"FSR 91,MWSC 2652                                                                                                ",OC   ,     ,1330,264.58839,5.72151
29.74,0.09,1.0,1.0,Ryu 912                                                                                                         ,OC   ,     ,1331,281.32266,-2.79937
29.74,12.51,360.0,240.0,"Melotte 186,Collinder 359,OCL 84,Bull of Poniatowski,MWSC 2773                                                  ",OC   ,     ,1332,270.27706,2.88847
29.81,-28.74,23.0,23.0,MWSC 4572                                                                                                       ,OC   ,     ,1333,307.74689,-15.17404
29.94,19.3,18.0,18.0,MWSC 5358                                                                                                       ,OC   ,     ,1341,264.29087,6.13473
30.07,-3.77,0.9,0.9,Ryu 917                                                                                                         ,OC   ,     ,1347,284.91682,-4.26225
30.1,4.54,1.4,1.4,Ryu 918                                                                                                         ,OC   ,     ,1348,277.52858,-0.44345
30.35,0.09,0.6,0.6,Ryu 921                                                                                                         ,OC   ,     ,1351,281.60139,-2.25664
30.43,-0.53,1.5,1.5,Ryu 269                                                                                                         ,OC   ,     ,1354,282.19011,-2.46831
30.48,-0.2,1.1,1.1,Ryu 922                                                                                                         ,OC   ,     ,1356,281.91901,-2.27329
30.49,-22.72,15.0,15.0,MWSC 5735                                                                                                       ,OC   ,     ,1359,302.33044,-12.18628
30.51,19.31,16.0,16.0,MWSC 5359                                                                                                       ,OC   ,     ,1360,264.52383,6.62041
30.56,17.08,41.0,37.0,"IC 4665,Melotte 179,Collinder 349,OCL 85,MWSC 2689                                                              ",OC   ,     ,1363,266.55116,5.66529
31.13,0.83,10.0,10.0,"Berkeley 79,OCL 86,MWSC 2986                                                                                    ",OC   ,     ,1375,281.29884,-1.22489
31.65,-20.99,18.0,18.0,"Alessi 10,LeDrew 3                                                                                              ",OC   ,     ,1386,301.19147,-10.48191
31.98,11.12,10.0,10.0,"FSR 95,MWSC 2830                                                                                                ",OC   ,     ,1392,272.51505,4.21131
32.18,-1.2,4.0,3.0,"Berkeley 80,OCL 87,MWSC 3019                                                                                    ",OC   ,     ,1401,283.58479,-1.21626
32.21,18.0,6.0,6.0,"FSR 96,MWSC 2682                                                                                                ",OC   ,     ,1402,266.42641,7.48358
32.24,-24.2,30.0,30.0,MWSC 4555                                                                                                       ,OC   ,     ,1403,304.38866,-11.34529
32.4,28.42,20.0,20.0,MWSC 5338                                                                                                       ,OC   ,     ,1405,256.94573,12.10772
32.93,-41.95,29.0,29.0,MWSC 4622                                                                                                       ,OC   ,     ,1407,321.51679,-17.74848
33.03,1.15,1.8,51.0,"FSR 98,MWSC 2992                                                                                                ",OC   ,     ,1409,281.88067,0.61163
33.11,0.42,3.0,3.0,Masgomas 1                                                                                                      ,OC   ,     ,1411,282.56688,0.35
33.11,0.06,1.6,1.6,"Teutsch 146,DSH J1851.5+0011,MWSC 3010                                                                          ",OC   ,     ,1412,282.88728,0.18585
33.4,11.18,5.0,5.0,"FSR 99,MWSC 2839                                                                                                ",OC   ,     ,1413,273.09007,5.48265
33.56,-2.26,10.0,8.0,"NGC 6735,MWSC 3034                                                                                              ",OC   ,     ,1416,285.15719,-0.47172
33.69,-2.48,7.0,6.0,"Berkeley 81,OCL 88,MWSC 3039                                                                                    ",OC   ,     ,1417,285.41223,-0.45646
33.77,-0.26,1.0,1.0,"GLIMPSE 13,Mercer 13                                                                                            ",OC   ,     ,1418,283.47306,0.62731
34.33,-2.79,7.0,7.0,"FSR 100,MWSC 3043                                                                                               ",OC   ,     ,1430,285.97979,-0.02901
34.95,17.28,24.0,24.0,MWSC 4375                                                                                                       ,OC   ,     ,1441,268.23354,9.51887
35.02,-6.08,4.0,4.0,"NGC 6775,MWSC 3079                                                                                              ",OC   ,     ,1443,289.2209,-0.91972
35.11,26.48,23.0,23.0,MWSC 5348                                                                                                       ,OC   ,     ,1447,259.76986,13.50867
35.15,1.75,7.0,7.0,"FSR 101,MWSC 3000,FSR 3001                                                                                      ",OC   ,     ,1451,282.31228,2.77158
35.46,34.51,20.0,20.0,MWSC 5333                                                                                                       ,OC   ,     ,1462,252.2185,16.89904
35.6,11.12,4.0,4.0,"FSR 102,MWSC 2864                                                                                               ",OC   ,     ,1468,274.11186,7.38836
35.67,10.97,4.0,4.0,"Teutsch 15,DSH J1817.1+0722,Teutsch J1817.1+0722                                                                ",OC   ,     ,1471,274.27816,7.38348
35.75,25.07,25.0,25.0,MWSC 5354                                                                                                       ,OC   ,     ,1473,261.33564,13.46468
36.11,8.24,50.0,50.0,"NGC 6633,Melotte 201,Collinder 380,OCL 90,MWSC 2917                                                             ",OC   ,     ,1478,276.93547,6.55649
36.3,5.34,52.0,52.0,"IC 4756,Melotte 210,Collinder 386,Graff 1,OCL 94,MWSC 2967                                                      ",OC   ,     ,1483,279.62589,5.42234
36.31,-3.21,7.0,7.0,"FSR 107,MWSC 3054                                                                                               ",OC   ,     ,1485,287.25779,1.53724
36.31,18.35,9.0,9.0,"FSR 106,MWSC 2724                                                                                               ",OC   ,     ,1486,267.81424,11.14711
36.58,10.84,5.0,5.0,"FSR 108,MWSC 2889                                                                                               ",OC   ,     ,1489,274.79481,8.12732
37.16,2.62,11.0,11.0,"Czernik 38,OCL 95,FSR 109,MWSC 3002                                                                             ",OC   ,     ,1491,282.45117,4.95604
37.39,15.9,10.0,7.0,"NGC 6525,MWSC 2784                                                                                              ",OC   ,     ,1498,270.52105,11.03758
37.89,-35.05,29.0,29.0,MWSC 4606                                                                                                       ,OC   ,     ,1506,316.53249,-11.47251
38.18,32.72,35.0,35.0,MWSC 4301                                                                                                       ,OC   ,     ,1509,254.83202,18.35859
38.26,1.78,1.8,1.6,"Archinal 1,MWSC 3021                                                                                            ",OC   ,     ,1510,283.7044,5.55302
38.56,29.01,16.0,16.0,MWSC 5343                                                                                                       ,OC   ,     ,1516,258.58473,17.30546
38.57,-1.7,12.0,10.0,"NGC 6755,Collinder 397,OCL 96,MWSC 3051                                                                         ",OC   ,     ,1518,286.95249,4.23633
38.64,-1.62,5.5,4.5,"Czernik 39,OCL 97,MWSC 3050                                                                                      ",OC   ,     ,1520,286.91349,4.33524
38.65,-6.7,4.0,4.0,"FSR 110,MWSC 3119                                                                                               ",OC   ,     ,1521,291.4312,1.99816
38.66,-1.63,3.0,3.0,"FSR 111,Teutsch 118,DSH J1908.1+0414                                                                            ",OC   ,     ,1523,286.93161,4.3484
38.68,-18.7,6.0,6.0,FSR 112                                                                                                         ,OC   ,     ,1524,302.08143,-3.54103
39.09,-1.67,4.0,4.0,"NGC 6756,Collinder 398,OCL 99,FSR 113,MWSC 3052                                                                 ",OC   ,     ,1534,287.16553,4.71167
39.19,-3.21,1.1,1.1,"Teutsch 119,DSH J1914.3+0405                                                                                    ",OC   ,     ,1535,288.58236,4.09036
40.21,-10.64,60.0,60.0,"Alessi 44,ASCC 106,MWSC 3164                                                                                    ",OC   ,     ,1548,295.63764,1.52528
40.26,-21.51,17.0,17.0,MWSC 5745                                                                                                       ,OC   ,     ,1549,305.26503,-3.53052
40.3,12.67,88.0,88.0,"Alessi 19,LeDrew 5,MWSC 2887                                                                                    ",OC   ,     ,1550,274.73371,12.20259
40.36,-0.7,3.0,3.0,"Juchert 3,DSH J1907.5+0617,FSR 115,MWSC 3049,Masgomas 5                                                         ",OC   ,     ,1552,286.88732,6.28533
41.7,-8.91,240.0,240.0,UBC 14                                                                                                          ,OC   ,     ,1564,294.80195,3.63525
42.12,4.71,12.0,9.0,"NGC 6709,Melotte 214,Collinder 392,OCL 100,MWSC 3009                                                            ",OC   ,     ,1571,282.82947,10.31569
42.26,-0.21,2.0,1.0,"GLIMPSE 17,Mercer 17                                                                                            ",OC   ,     ,1577,287.33122,8.19738
42.3,-18.95,16.0,16.0,MWSC 5740                                                                                                       ,OC   ,     ,1578,303.91301,-0.63371
42.41,11.13,7.0,7.0,"FSR 116,MWSC 2920                                                                                               ",OC   ,     ,1580,277.07006,13.40421
42.76,3.47,9.0,9.0,"NGC 6724,MWSC 3029                                                                                              ",OC   ,     ,1585,284.24704,10.32518
42.88,18.22,8.0,8.0,"FSR 117,MWSC 2787                                                                                               ",OC   ,     ,1587,270.59132,16.77492
42.96,4.1,6.0,6.0,"Poole J1855+10.8,Ling 2,MWSC 3022                                                                               ",OC   ,     ,1588,283.76742,10.78822
43.04,3.91,3.5,3.5,"Poole J1856+10.8,Ling 3,MWSC 3026                                                                               ",OC   ,     ,1593,283.97667,10.77354
43.21,0.97,2.2,2.2,"Alessi 56,DSH J1906.8+0935,GLIMPSE 19,Mercer 19,MWSC 3047                                                       ",OC   ,     ,1601,286.71377,9.584
43.85,-17.16,20.0,20.0,MWSC 4547                                                                                                       ,OC   ,     ,1607,303.05506,1.52027
44.07,-3.86,6.0,6.0,"FSR 118,MWSC 3120                                                                                               ",OC   ,     ,1612,291.44499,8.09625
44.1,13.3,5.0,5.0,"FSR 119,MWSC 2905                                                                                               ",OC   ,     ,1613,275.76708,15.82234
44.18,-0.07,1.0,1.0,"GLIMPSE 20,Mercer 20                                                                                            ",OC   ,     ,1616,288.10417,9.96471
44.35,4.79,40.0,40.0,"Alessi 161,UBC 3                                                                                                ",OC   ,     ,1620,283.77662,12.33628
