ID,lon,lat,pmRA*,e_pmRA*,pmDE,e_pmDE,dist_pc,e_dist,rGMM,rc,e_rc,N,e_N,log(age),RA_ICRS,DE_ICRS,plx
UPK_25,23.59,11.81,-0.31,0.09,0.19,0.12,629,31,50.21,24.68,0.43,19,46.17,8.95,268.092,-2.75613,1.589825119236884
UPK_26,24.44,-5.0,0.08,0.1,-4.42,0.08,875,26,26.23,15.27,0.16,42,78.92,8.05,283.4694,-9.82654,1.1428571428571428
UPK_27,24.78,4.54,2.36,0.1,-2.14,0.14,899,29,14.16,5.86,0.03,36,116.7,9.35,275.07495,-5.14689,1.1123470522803114
UPK_28,25.98,2.6,0.81,0.12,-2.49,0.13,882,33,13.44,0.98,0.25,28,90.77,8.9,277.35813,-4.98674,1.1337868480725624
UPK_29,26.13,1.19,0.45,0.12,2.83,0.11,656,13,13.52,13.38,0.12,22,88.07,8.75,278.68392,-5.50399,1.524390243902439
UPK_31,26.75,-6.59,-0.32,0.09,1.21,0.08,540,13,18.55,10.7,0.09,17,36.62,7.55,285.95211,-8.48417,1.8518518518518519
UPK_33,27.78,0.52,-0.13,0.15,-10.95,0.17,508,11,14.29,12.3,0.11,16,33.94,8.9,280.04153,-4.34584,1.968503937007874
UPK_38,30.54,1.04,-1.11,0.11,-5.27,0.1,572,7,8.75,1.52,0.11,8,11.53,6.45,280.84251,-1.65384,1.7482517482517483
UPK_39,31.37,5.24,3.29,0.39,-8.65,0.41,431,27,29.77,13.52,0.07,62,117.0,6.45,277.4846,1.00197,2.320185614849188
UPK_40,31.44,-11.69,0.29,0.15,-9.13,0.17,641,31,58.58,38.19,0.22,32,60.39,8.75,292.63734,-6.60829,1.5600624024960998
UPK_41,31.95,3.0,2.51,0.22,-8.13,0.23,480,19,43.23,34.34,0.16,61,115.35,6.85,279.74198,0.49468,2.0833333333333335
UPK_42,34.73,-11.5,-0.46,0.12,-5.03,0.11,592,15,22.54,5.99,0.03,41,77.45,8.75,293.91985,-3.64324,1.6891891891891893
UPK_45,36.84,-7.79,-0.62,0.11,-2.16,0.1,862,51,110.95,27.29,0.24,179,335.37,7.9,291.56887,-0.0978,1.160092807424594
UPK_46,37.13,-11.08,0.11,0.15,-8.6,0.17,680,25,27.27,17.18,0.27,23,43.4,7.9,294.62182,-1.35768,1.4705882352941178
UPK_50,40.4,3.35,-1.33,0.11,-3.79,0.14,995,34,20.49,14.14,0.14,51,123.74,8.7,283.27382,8.17072,1.0050251256281406
UPK_51,41.87,-30.7,5.06,0.16,2.07,0.11,567,22,34.35,18.46,0.1,21,24.86,8.0,314.10248,-6.54038,1.763668430335097
UPK_52,44.69,-1.96,-0.16,0.05,-5.97,0.1,818,28,12.14,4.24,0.05,9,24.97,8.05,290.04213,9.53558,1.2224938875305624
UPK_53,48.32,1.56,2.44,0.12,1.08,0.09,591,13,26.97,14.93,0.05,43,81.31,8.9,288.59037,14.38814,1.6920473773265652
UPK_54,48.37,4.28,-0.57,0.12,-5.88,0.12,827,31,26.16,14.53,0.11,60,128.62,7.9,286.11185,15.68103,1.2091898428053205
UPK_55,48.66,-7.27,-1.43,0.11,-6.86,0.09,777,28,20.4,7.93,0.05,30,48.86,7.95,296.69955,10.4635,1.287001287001287
UPK_56,51.57,2.2,-0.07,0.16,-6.74,0.15,760,27,63.41,34.18,0.17,87,186.72,8.75,289.57292,17.56125,1.3157894736842106
UPK_57,52.49,-9.88,-0.45,0.08,-3.56,0.08,819,36,26.31,15.71,0.12,14,22.9,8.75,300.9409,12.43171,1.221001221001221
UPK_62,54.52,3.61,-0.43,0.12,-5.41,0.08,895,40,16.8,3.41,0.07,26,104.8,6.75,289.70462,20.82504,1.1173184357541899
UPK_64,54.76,11.9,-0.93,0.11,-5.03,0.12,442,57,84.51,30.75,0.4,21,24.89,8.0,281.74835,24.69778,2.262443438914027
UPK_65,55.4,7.39,-1.86,0.08,-3.56,0.08,758,20,22.06,10.4,0.04,23,43.44,8.9,286.50224,23.32525,1.3192612137203166
UPK_66,55.69,-12.98,0.51,0.08,-9.93,0.1,669,13,21.99,16.4,0.18,16,33.98,8.1,305.3367,13.47777,1.4947683109118086
UPK_70,56.33,5.96,0.33,0.21,-5.38,0.17,493,28,28.3,24.8,0.13,27,37.54,7.1,288.34678,23.50729,2.028397565922921
UPK_71,56.93,3.2,1.3,0.28,-5.48,0.25,524,37,16.02,5.5,0.03,40,85.27,6.85,291.308,22.75882,1.9083969465648856
UPK_72,57.42,10.19,-0.68,0.2,-4.41,0.21,454,43,75.81,95.39,1.27,57,67.48,7.8,284.68677,26.34365,2.202643171806167
UPK_73,58.13,-0.47,0.74,0.11,-6.51,0.13,634,22,11.24,7.87,0.09,9,29.39,7.25,295.40998,22.0341,1.5772870662460567
UPK_74,58.41,-0.11,-0.11,0.1,-3.33,0.1,571,38,26.03,5.12,0.02,16,18.9,7.95,295.22163,22.45553,1.7513134851138354
UPK_77,61.33,13.69,1.08,0.05,-4.06,0.07,353,25,19.72,7.33,0.25,7,8.37,7.4,282.86419,31.2763,2.8328611898016995
UPK_78,61.49,15.81,0.31,0.28,-3.52,0.22,375,33,92.39,133.03,2.22,50,51.13,7.75,280.64098,32.2487,2.6666666666666665
UPK_79,61.81,-7.56,-2.1,0.14,-5.47,0.1,913,37,27.85,12.35,0.08,23,55.8,7.8,303.98503,21.47469,1.095290251916758
UPK_80,62.75,3.76,1.19,0.1,-1.01,0.09,876,49,35.63,7.09,0.34,28,53.04,7.9,293.83415,28.13133,1.1415525114155252
