ID,lon,lat,pmRA*,e_pmRA*,pmDE,e_pmDE,dist_pc,e_dist,rGMM,rc,e_rc,N,e_N,log(age),RA_ICRS,DE_ICRS,plx
UPK_178,104.86,2.71,-4.34,0.15,-3.36,0.14,949,21,5.73,1.53,0.03,15,48.42,8.5,334.45766,60.07695,1.053740779768177
UPK_180,105.11,-1.44,-0.61,0.17,0.21,0.16,832,38,45.13,18.83,0.08,40,75.64,8.55,339.01822,56.67348,1.2019230769230769
UPK_185,105.82,-9.95,2.66,0.16,-1.93,0.17,552,23,31.02,5.25,0.03,83,98.27,7.95,346.42809,49.37676,1.8115942028985508
UPK_189,107.39,7.64,-2.65,0.1,-3.32,0.11,1001,40,44.04,44.48,0.41,31,86.5,7.2,332.91296,65.56846,0.999000999000999
UPK_191,107.68,4.61,-1.04,0.16,-1.87,0.17,874,37,37.11,0.02,0.0,34,107.73,6.9,337.31234,63.19066,1.1441647597254005
UPK_194,108.29,6.36,-0.76,0.31,-3.09,0.33,924,33,25.37,8.27,0.02,92,250.28,7.35,336.38894,64.99859,1.0822510822510822
UPK_198,109.68,4.45,-4.9,0.1,-2.14,0.11,844,26,50.72,6.0,0.07,27,74.92,8.6,341.39393,64.03439,1.1848341232227488
UPK_201,109.99,1.64,-3.95,0.16,-3.37,0.09,919,15,16.2,1.8,0.22,18,58.21,6.6,344.72957,61.65141,1.088139281828074
UPK_214,113.24,-8.02,0.79,0.21,-0.72,0.21,810,46,95.14,53.33,0.23,111,180.78,8.75,356.5369,53.61864,1.2345679012345678
UPK_219,114.27,3.86,-1.72,0.06,-2.48,0.07,801,19,23.39,6.11,0.11,15,32.24,8.9,351.78091,65.30401,1.2484394506866416
UPK_220,114.35,5.1,-2.41,0.13,-2.59,0.12,967,28,23.57,6.15,0.04,102,326.29,8.75,350.97253,66.50197,1.0341261633919339
UPK_224,114.99,5.35,-1.41,0.11,-0.1,0.12,779,21,20.33,4.6,0.09,30,97.25,6.85,352.29392,66.94476,1.2836970474967908
UPK_226,115.7,6.93,-1.55,0.09,-3.13,0.07,861,14,26.66,13.95,0.13,25,60.65,8.8,352.76935,68.66595,1.1614401858304297
UPK_230,116.88,9.85,4.9,0.1,-0.79,0.12,535,17,31.45,24.66,0.37,19,26.29,8.35,353.43134,71.80267,1.8691588785046729
UPK_233,118.06,9.5,6.89,0.18,0.69,0.19,493,13,48.5,22.95,0.33,18,25.0,7.9,357.31895,71.7813,2.028397565922921
UPK_241,121.62,2.6,0.17,0.13,-0.2,0.1,949,25,29.81,13.53,0.05,27,87.31,8.9,9.70512,65.4396,1.053740779768177
UPK_252,125.62,5.31,-1.46,0.14,-0.85,0.16,858,47,103.73,20.87,0.18,47,130.41,7.4,20.03038,68.03192,1.1655011655011656
UPK_260,128.99,-3.75,2.66,0.12,-1.86,0.14,825,42,75.73,31.92,0.36,54,101.83,7.9,24.5116,58.57245,1.2121212121212122
UPK_262,129.73,7.38,-1.97,0.07,0.77,0.08,825,32,52.06,44.28,0.29,14,38.57,8.5,32.18644,69.22509,1.2121212121212122
UPK_265,130.67,3.73,-0.51,0.09,-0.37,0.11,864,32,35.01,12.74,0.08,40,96.93,8.6,31.73516,65.46111,1.1574074074074074
UPK_281,135.79,-8.0,-4.07,0.16,0.39,0.13,624,59,107.05,41.18,0.5,38,52.77,8.1,34.19856,52.72768,1.6025641025641026
UPK_282,136.05,-17.3,-2.79,0.12,-3.19,0.12,807,40,19.62,7.71,0.05,22,42.17,7.9,30.32612,43.78494,1.2391573729863692
UPK_287,137.67,12.52,-2.38,0.27,-3.46,0.26,630,75,117.96,65.11,0.76,52,97.21,8.45,59.13134,69.89888,1.5873015873015872
UPK_292,140.3,7.91,0.23,0.17,-8.12,0.19,444,33,66.8,9.92,0.17,28,45.81,8.8,56.63584,64.69969,2.2522522522522523
UPK_294,140.45,10.18,-1.27,0.13,2.25,0.18,746,17,50.23,59.44,0.86,27,51.05,8.95,60.44227,66.33991,1.3404825737265416
UPK_296,142.5,-9.83,1.97,0.27,-6.75,0.31,538,49,66.41,23.15,0.11,49,57.94,7.95,42.70007,48.45426,1.858736059479554
UPK_300,143.78,4.64,0.25,0.13,-0.75,0.1,962,42,35.87,15.55,0.08,21,57.85,8.6,58.02045,59.98324,1.0395010395010396
UPK_303,144.56,-18.03,18.25,0.38,-24.33,0.49,212,8,149.18,32.94,0.68,33,33.0,7.95,40.17716,40.20836,4.716981132075472
UPK_305,145.35,-19.04,2.96,0.13,-6.5,0.1,411,31,92.07,25.93,0.43,32,32.72,7.95,40.48571,38.97362,2.4330900243309004
UPK_307,145.71,-0.37,-2.13,0.18,-1.82,0.17,893,41,71.62,18.2,0.16,54,128.96,7.25,55.11373,54.84699,1.1198208286674132
UPK_310,149.14,-4.72,-2.66,0.07,0.61,0.11,620,62,79.73,0.06,0.0,14,19.43,7.75,55.32204,49.31145,1.6129032258064515
UPK_312,150.3,5.44,0.2,0.07,-0.73,0.07,702,22,49.58,0.02,0.0,23,44.09,8.9,68.00176,56.10306,1.4245014245014245
UPK_317,151.23,13.22,-1.11,0.19,-1.46,0.17,900,52,77.98,12.95,0.43,42,89.94,7.6,80.7675,60.12807,1.1111111111111112
UPK_322,152.74,-6.13,-1.39,0.15,-2.99,0.15,955,26,26.83,9.49,0.05,60,127.43,7.55,58.19906,45.98277,1.0471204188481675
UPK_325,153.66,0.68,-1.55,0.08,-2.3,0.08,762,28,17.3,17.35,0.15,11,38.59,7.95,66.12054,50.38921,1.3123359580052494
UPK_326,154.42,-5.74,-2.16,0.3,0.1,0.34,646,50,77.08,49.7,0.42,40,65.39,8.95,60.37853,45.19637,1.5479876160990713
UPK_333,155.85,-5.81,2.53,0.14,-6.47,0.13,723,41,36.65,12.76,0.08,30,56.61,8.8,61.80375,44.19496,1.3831258644536653
UPK_347,165.93,0.22,-0.46,0.12,-3.7,0.06,917,30,35.9,3.93,0.25,19,35.89,7.9,77.03228,40.74264,1.0905125408942202
UPK_350,167.21,19.42,-4.88,0.17,-6.39,0.17,444,23,88.17,30.22,0.13,37,37.83,8.0,101.81711,48.81208,2.2522522522522523
UPK_357,169.46,9.9,-0.33,0.12,-1.21,0.11,716,59,162.52,32.63,0.36,36,58.51,8.2,90.54758,42.96802,1.3966480446927374
UPK_367,176.45,-33.27,24.93,0.67,-24.34,0.52,162,46,294.39,123.78,0.65,42,42.0,7.95,56.09826,11.08596,6.172839506172839
UPK_369,177.42,-1.28,0.08,0.06,-2.89,0.08,731,25,43.64,14.43,0.14,18,38.69,8.85,83.57846,30.44124,1.3679890560875514
UPK_378,181.37,-36.43,21.48,0.31,-13.79,0.33,182,6,71.27,10.56,0.29,13,13.0,7.9,56.43457,5.97089,5.4945054945054945
UPK_379,181.6,6.79,-0.97,0.1,-4.29,0.08,765,38,54.68,10.06,0.11,22,41.52,8.8,94.13091,30.89422,1.3071895424836601
UPK_381,183.7,7.05,0.48,0.08,-2.96,0.08,708,24,53.72,17.35,0.06,28,53.04,8.0,95.50629,29.16336,1.4124293785310735
UPK_385,188.05,-17.04,1.87,0.34,-3.52,0.28,320,34,46.18,10.05,0.15,38,38.87,7.0,75.7392,12.96773,3.125
