"Cluster","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","GLON","e_GLON","GLAT","e_GLAT","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","Note","_RA.icrs","_DE.icrs"
"UBC213",102.85138977669,0.07285098255,-1.80359675409,0.08430849454,214.5335247596,0.0877457087,-0.8295009485,0.0686449257,0.3938,0.0475,-0.91,0.121,2.996,0.103,"a",102.85139369682,-1.80360965527
"UBC214",105.70624753224,0.08751342761,-2.11109680892,0.081532929,216.1098328144,0.0842704665,1.5686129213,0.0848514464,0.3316,0.0397,-0.642,0.099,-0.574,0.114," ",105.70625029884,-2.11109433821
"UBC215",100.46740152167,0.10701626936,-5.24534587067,0.10215766229,216.5213048162,0.1046942999,-4.5125041186,0.1044042715,0.6814,0.0283,-0.13,0.088,-3.098,0.125," ",100.46740208286,-5.24533253301
"UBC216",100.41494993986,0.12750880924,-5.78883687539,0.11026157997,216.9841208597,0.1215642827,-4.8046063953,0.1165185124,0.8216,0.0397,-0.085,0.102,-0.896,0.111," ",100.41495030649,-5.78883301696
"UBC217",108.20456241905,0.05582821139,-4.68611125584,0.05846656962,219.5449278601,0.056569853,2.6007657275,0.0576265111,0.3789,0.0205,-2.61,0.073,2.139,0.071," ",108.20457369339,-4.68612046434
"UBC218",106.53858245527,0.23362408952,-9.17962766486,0.13098107202,222.7714307681,0.149669915,-0.9377406163,0.2189729077,0.3479,0.036,-1.192,0.122,0.876,0.11," ",106.53858765502,-9.17963143583
"UBC219",105.4524931881,0.07581369178,-13.54164264679,0.09926356939,226.1685084188,0.1023918726,-3.8775785463,0.0696283809,0.4193,0.0353,-1.017,0.087,-1.423,0.113," ",105.45249769017,-13.54163652153
"UBC220",110.64251321964,0.06328120389,-17.17665688374,0.05662226501,231.7090535709,0.0523334742,-1.1180267795,0.0642098593,0.3346,0.0275,-1.307,0.082,1.447,0.073," ",110.64251910771,-17.17666311284
"UBC221",114.29507989661,0.05356242305,-15.67434565222,0.0379564213,232.0702265407,0.0478320082,2.6766803084,0.0426279161,0.4242,0.0286,-1.221,0.101,2.816,0.091," ",114.29508535832,-15.67435777675
"UBC222",109.92462247743,0.07319211003,-20.85578027346,0.080192627,234.6431420079,0.0774025512,-3.4423247079,0.0716884798,0.4483,0.0236,-2.68,0.07,2.829,0.083," ",109.92463482474,-20.85579245279
"UBC223",112.11645136036,0.08290800709,-20.11194793313,0.08097723709,234.9561882206,0.0857239653,-1.2810578417,0.0726189604,0.2662,0.038,-2.269,0.078,2.549,0.1,"a",112.11646176618,-20.1119589092
"UBC224",111.42027518232,0.18332540002,-20.88970145531,0.16569560171,235.3305157202,0.1409551822,-2.2245304163,0.1922193652,0.3244,0.0317,-2.296,0.097,3.102,0.122," ",111.42028576466,-20.8897148094
"UBC225",106.62612198694,0.09114873408,-23.55381109144,0.09641064431,235.6574471854,0.077180431,-7.3898861723,0.1020619923,0.3168,0.0282,-2.485,0.056,4.422,0.096," ",106.6261336577,-23.55383013177
"UBC226",118.75252918804,0.07447347243,-17.72533374472,0.09849900227,235.9866124136,0.0940574129,5.3546423841,0.0772270631,0.6291,0.0414,-4.31,0.095,1.066,0.09," ",118.75254867093,-17.72533833431
"UBC227",119.81393214714,0.07397770872,-19.12647487082,0.0596181937,237.7138972392,0.0552547001,5.497293203,0.0735826699,0.3095,0.0286,-1.421,0.099,0.511,0.084,"a",119.81393862124,-19.12647707263
"UBC228",118.37993921229,0.07609314041,-22.39847096547,0.07295524062,239.8311249628,0.074656699,2.6610692749,0.0686268868,0.3099,0.0307,-2.254,0.07,2.114,0.075," ",118.3799497103,-22.39848006768
"UBC229",119.27799637595,0.10166262268,-22.80568043143,0.0815393579,240.6086148317,0.0768400683,3.1613673578,0.0977007629,0.3737,0.0325,-2.987,0.076,2.849,0.072," ",119.27801032738,-22.80569269905
"UBC230",114.51234608897,0.09374576447,-25.38428757687,0.08961410004,240.6414708147,0.0951083801,-1.8950609655,0.0785417477,0.4841,0.0269,-2.654,0.077,3.21,0.088," ",114.51235873938,-25.38430139754
"UBC231",115.55829770106,0.09780038378,-26.29432545791,0.09871319137,241.8976505725,0.094545052,-1.5238736175,0.0922174889,0.3118,0.0206,-2.261,0.1,2.223,0.086," ",115.55830856115,-26.29433502976
"UBC232",120.08906906224,0.07634687716,-24.2698822249,0.0721969963,242.2480580321,0.0764736822,3.0318732495,0.0650016015,0.2963,0.0178,-2.713,0.084,1.069,0.076," ",120.0890818744,-24.26988682735
"UBC233",112.79146414795,0.11078487255,-28.37011593312,0.10790285083,242.5186446299,0.1067289452,-4.6805446646,0.0991505052,0.3937,0.0286,-0.84,0.062,0.713,0.089," ",112.79146825695,-28.37011900398
"UBC234",118.60580455708,0.06214009874,-27.52579009653,0.06248211626,244.3343694962,0.0618305699,0.1977833437,0.055831833,0.3289,0.0281,-4.252,0.077,3.688,0.078,"a",118.60582520311,-27.52580597686
"UBC235",117.3144245195,0.08802744189,-29.36045808268,0.07789101392,245.3305067193,0.0665495291,-1.7161459939,0.0867510998,0.5613,0.0242,-4.263,0.092,2.77,0.073," ",117.3144455794,-29.3604700107
"UBC236",117.66078982384,0.09042869184,-29.94594515091,0.0796237703,245.988042331,0.072321639,-1.7540801514,0.0851901917,0.2792,0.0279,-2.73,0.067,3.426,0.083," ",117.66080338778,-29.94595990128
"UBC237",118.57351584021,0.10688494359,-29.7092627141,0.08868470032,246.1903867295,0.1064171137,-0.9528431953,0.0718447986,0.5411,0.0235,-2.426,0.076,2.098,0.076," ",118.57352786828,-29.70927174732
"UBC238",117.08379173949,0.1774820299,-33.64459325974,0.18582835784,248.9352926378,0.1370311678,-4.0471227424,0.1941500694,0.2403,0.025,-2.116,0.105,3.131,0.11," ",117.08380268524,-33.64460673927
"UBC239",123.76023768753,0.08125676694,-30.14675714315,0.07046168594,248.964650336,0.078886564,2.6110434632,0.0607630676,0.4718,0.0269,-3.63,0.09,1.95,0.084," ",123.76025576189,-30.14676553994
"UBC240",121.32097669028,0.1034918242,-33.03802673517,0.09317093478,250.2552306073,0.0878271822,-0.7070405605,0.0921745399,0.3657,0.0289,-1.907,0.075,2.283,0.11," ",121.32098648702,-33.03803656559
"UBC241",127.07370963834,0.06774650057,-31.00076834328,0.05485983918,251.2910096878,0.0462718637,4.47553641,0.0652235861,0.1779,0.0284,-3.018,0.088,3.266,0.085," ",127.07372479777,-31.00078240503
"UBC242",127.47918454068,0.15904183213,-41.34909754463,0.1286064627,259.8821688167,0.1434747042,-1.3130070929,0.1010137179,0.72,0.0295,-1.791,0.086,1.078,0.085,"a",127.47919481023,-41.34910218653
"UBC243",133.85401619168,0.12917992847,-40.75995794367,0.08382614662,262.3832194933,0.0955222128,2.833564022,0.0866078923,0.4615,0.0343,-4.599,0.117,3.072,0.101," ",133.85404233453,-40.7599711682
"UBC244",129.83306015622,0.10382952717,-44.04822237516,0.10615480035,263.0806405955,0.1060358051,-1.54044189,0.0748780977,0.4119,0.0262,-4.774,0.14,4.269,0.089," ",129.83308875161,-44.04824075727
"UBC245",129.31765248229,0.17461730107,-45.24428335076,0.11725899066,263.8104848517,0.1132928321,-2.556895148,0.1267212075,0.4284,0.0241,-4.634,0.089,4.294,0.115," ",129.31768082189,-45.24430184031
"UBC246",130.75682840391,0.16670567537,-44.94513314887,0.1156530719,264.1936230286,0.1319283397,-1.5695493081,0.0994809289,0.4831,0.0418,-4.43,0.121,2.986,0.122," ",130.75685535297,-44.94514600558
"UBC247",126.6623680542,0.17248352249,-50.71258340704,0.11291262344,267.2020825519,0.1243060479,-7.2084649811,0.0972817678,0.8647,0.0412,-5.08,0.136,6.107,0.121," ",126.66240259844,-50.71260970132
"UBC248",137.98572789358,0.11853370428,-52.23547591368,0.06079149242,272.8367227926,0.0644860663,-2.6860790502,0.0693815448,0.3,0.0346,-4.108,0.086,3.907,0.108,"a",137.98575677345,-52.23549273738
"UBC249",136.93418943482,0.21735819611,-52.93379389909,0.14197661976,272.9150512201,0.1631614486,-3.6295251754,0.1039480677,0.494,0.0269,-6.084,0.088,4.242,0.102," ",136.93423289178,-52.93381216203
"UBC250",118.16907448452,0.21495302106,-60.36817106668,0.12839695588,273.1452730144,0.1270519942,-16.2701728147,0.113633355,1.0215,0.0389,-3.465,0.213,10.926,0.2," ",118.16910465818,-60.36821810999
"UBC251",140.42577724869,0.12029744212,-51.26969325537,0.07853155344,273.1969018396,0.0786023259,-0.9298666993,0.0751770399,0.4859,0.0249,-5.009,0.09,4.432,0.109," ",140.42581172237,-51.26971233898
"UBC252",139.168428784,0.17155241258,-54.14310613418,0.08251781017,274.7089154891,0.0983927348,-3.4899589388,0.085223713,0.1752,0.0403,-3.603,0.12,2.675,0.13," ",139.16845526428,-54.14311765223
"UBC253",139.5490713067,0.10708483155,-56.02425161312,0.07433022179,276.2137652643,0.0604666925,-4.6444264663,0.0740105518,0.5772,0.0252,-6.099,0.084,5.306,0.093," ",139.5491182985,-56.02427445909
"UBC254",143.63679904034,0.17404074454,-54.3720935424,0.08832942978,276.7424428596,0.1176797938,-1.8357043451,0.0651782076,0.5253,0.0221,-5.628,0.104,4.963,0.086," ",143.63684063712,-54.37211490982
"UBC255",128.47121958769,0.2882004739,-61.46523425796,0.13409353074,276.7483273877,0.1433306165,-12.5224169673,0.1317234388,1.047,0.0381,-4.868,0.171,2.82,0.21," ",128.47126346331,-61.46524640074
"UBC256",146.47469838052,0.2012500179,-52.49508949984,0.11242202809,276.776010842,0.1085770387,0.6899176393,0.125915352,0.956,0.0235,-1.687,0.116,-0.435,0.085,"a",146.47471031384,-52.49508762553
"UBC257",153.18497388585,0.19923013797,-60.8933276927,0.11327080476,284.7994404608,0.1119094778,-3.7376914518,0.0987802775,0.4699,0.0269,-6.32,0.086,3.073,0.094,"a",153.18502982496,-60.89334092511
"UBC258",158.87978654842,0.23164715212,-57.60901985858,0.09664209507,285.5095666604,0.1186737071,0.5904931646,0.1032857177,0.39,0.0172,-7.227,0.104,3.591,0.1," ",158.87984463298,-57.60903531767
"UBC259",157.60571180094,0.25079416251,-60.0808121601,0.10859966194,286.1909622451,0.1103111719,-1.8751545186,0.1235990744,0.3748,0.0364,-5.453,0.102,2.853,0.104," ",157.60575887177,-60.08082444435
"UBC260",140.18841458074,0.517150866,-69.84726482888,0.15457961185,286.5311581137,0.2061286427,-14.0133814708,0.1251281904,1.7839,0.0381,-7.742,0.169,8.014,0.23," ",140.18851133923,-69.84729933256
"UBC261",159.54237354422,0.16666713831,-60.50283084769,0.08119922266,287.2332864203,0.0802399338,-1.7587386054,0.0830246737,0.2251,0.0239,-5.597,0.086,2.616,0.067," ",159.54242249041,-60.5028421096
"UBC262",160.55547212276,0.14015387578,-60.45410348264,0.07680687151,287.6471736486,0.0730154598,-1.4752067046,0.0731243295,0.2693,0.017,-5.561,0.104,2.594,0.08," ",160.55552067592,-60.4541146534
"UBC263",162.61649907371,0.22928523924,-59.97078840231,0.10895750842,288.3319333473,0.1251968682,-0.5736861525,0.096730709,0.379,0.0245,-6.396,0.09,2.032,0.084," ",162.6165540996,-59.97079715217
"UBC264",163.16366970719,0.16049459183,-60.59034093746,0.07410067727,288.8504805695,0.0754794989,-1.0078735218,0.0774571471,0.3364,0.0226,-5.822,0.095,2.622,0.076," ",163.16372075072,-60.59035222809
"UBC265",167.69881828099,0.14729024687,-56.81897065827,0.05504948681,289.4526994534,0.0875563176,3.3955210733,0.0434962507,0.8104,0.0182,-7.463,0.076,0.669,0.09,"a",167.69887699348,-56.81897353895
"UBC266",166.38754646088,0.24173016765,-59.77502763387,0.11785163949,289.9644322753,0.1228808007,0.4036356448,0.1165768328,0.3574,0.022,-6.674,0.099,1.701,0.072," ",166.38760353952,-59.77503495975
"UBC267",168.304533475,0.20608124564,-58.88288198449,0.12244746321,290.525501983,0.1209960388,1.6024305886,0.1081728272,0.3087,0.0224,-6.013,0.117,1.823,0.148," ",168.30458356861,-58.88288983447
"UBC268",165.36304131033,0.17385396773,-63.65433787093,0.07206643482,291.0882990628,0.0792709132,-3.3408241062,0.0699152342,0.2283,0.0239,-6.107,0.104,1.954,0.099," ",165.36310056172,-63.65434628275
"UBC269",166.78684572495,0.14007337042,-62.86504116172,0.09061749128,291.3583870588,0.0715717962,-2.3607239375,0.084720818,0.5252,0.0167,-7.022,0.075,1.654,0.054," ",166.78691201166,-62.86504828217
"UBC270",169.78867852753,0.16866509339,-59.54406738933,0.07908533698,291.4723714948,0.0871624797,1.2586065042,0.0773021313,0.3939,0.0176,-6.35,0.097,1.13,0.076," ",169.78873246295,-59.54407225559
"UBC271",170.22056861199,0.11982955086,-59.29585258353,0.05034424588,291.5927470045,0.0601678685,1.5675383014,0.0515825668,0.3516,0.0306,-5.247,0.105,1.795,0.093,"a",170.22061285728,-59.2958603122
"UBC272",168.12166687163,0.2582021426,-62.28492692772,0.08048060696,291.7050707449,0.1278177936,-1.589965258,0.0675600931,0.3988,0.015,-5.818,0.081,1.567,0.074," ",168.12172073521,-62.28493367248
"UBC273",170.30887577289,0.09814713373,-60.56504456746,0.04287472626,292.0684663119,0.0457603511,0.3900326465,0.0455099729,0.4299,0.0166,-6.314,0.075,1.148,0.088," ",170.30893109374,-60.56504951056
"UBC274",156.19374751611,1.47750335155,-72.57454480037,0.39664094026,292.3622017747,0.573764472,-12.7920492073,0.197586041,0.5084,0.0361,-6.882,0.144,1.445,0.249,"a",156.19384646149,-72.57455102379
"UBC275",167.72765794729,0.08040528634,-65.72325065426,0.03657970975,292.8393584024,0.032986674,-4.8408195826,0.0367231225,0.2095,0.0204,-5.524,0.094,2.305,0.075," ",167.72771580038,-65.72326057919
"UBC276",172.90232138087,0.14772038414,-60.78152051023,0.06753946341,293.3406040152,0.0688659541,0.5949201254,0.070834645,0.1809,0.0265,-7.347,0.102,1.843,0.085," ",172.90238618472,-60.78152844334
"UBC277",174.03577633622,0.17723261323,-59.46504787465,0.08003908581,293.4909061888,0.0913222853,2.0193530518,0.0786542622,0.528,0.018,-6.496,0.082,1.617,0.073," ",174.0358313858,-59.46505483737
"UBC278",175.50045867673,0.15285113149,-61.95168881542,0.07770965857,294.8671440534,0.0691192319,-0.1721320061,0.0801507456,0.5389,0.0223,-3.707,0.083,1.26,0.072,"a",175.50049261986,-61.95169423949
"UBC279",173.4368986125,0.24065841876,-66.08881090028,0.08375511839,295.1629787226,0.0943043957,-4.3960414497,0.0876778672,0.6199,0.0192,-7.283,0.094,2.041,0.088," ",173.43697597736,-66.08881968663
"UBC280",177.91706618995,0.21842057783,-62.64463956435,0.10794778311,296.1270147239,0.1033260218,-0.5653953454,0.1051414533,0.3958,0.0213,-5.637,0.1,0.661,0.08," ",177.91711900467,-62.64464241174
"UBC281",178.12567229209,0.20964623388,-64.57939681353,0.07104600414,296.6587325082,0.0826316636,-2.4279958838,0.0795571592,0.3665,0.0106,-5.619,0.111,0.203,0.063," ",178.12572865251,-64.57939768698
"UBC282",180.183701211,0.15884994815,-60.5021894481,0.08305845108,296.7262751321,0.0770944305,1.7571176072,0.0841311811,0.2911,0.028,-6.354,0.099,0.659,0.078," ",180.18375676988,-60.5021922847
"UBC283",179.61524990368,0.19397069566,-68.67894423901,0.07790128586,298.1246441581,0.0627851601,-6.3031746961,0.0845781725,0.6915,0.0146,-8.98,0.097,-0.794,0.057," ",179.61535623726,-68.67894081889
"UBC284",184.26273812962,0.19126491293,-62.95004337246,0.06934434603,299.0340021675,0.0865806397,-0.3389614315,0.06986481,0.5046,0.031,-7.179,0.107,-1.335,0.089," ",184.26280610153,-62.95003762392
"UBC285",184.69472077232,0.24570286352,-65.41906620139,0.07979389469,299.541260698,0.0981921972,-2.7627312112,0.0848445172,0.568,0.0239,-6.232,0.093,-0.713,0.069," ",184.69478527542,-65.41906313294
"UBC286",187.3872078216,0.22338235547,-62.44622490314,0.08477144707,300.4035964539,0.1021856643,0.3178463908,0.0861849603,0.4328,0.02,-6.157,0.076,-0.393,0.072," ",187.38726512875,-62.44622320952
"UBC287",189.74441854056,0.18234672342,-61.2687977653,0.05679293627,301.4345515082,0.0869677336,1.5665991765,0.0578057308,0.4333,0.0246,-4.748,0.11,-0.741,0.086," ",189.74446106788,-61.26879457355
"UBC288",190.97231452356,0.2231993303,-58.09745240263,0.07628915399,301.9312481873,0.1185459462,4.7594264296,0.0759394709,0.5052,0.0297,-2.184,0.093,-1.277,0.07,"a",190.97233232044,-58.09744690406
"UBC289",191.19667563025,0.17196828111,-61.15116685922,0.07869140171,302.1293846712,0.0827096945,1.7101097895,0.0790409499,0.4745,0.0229,-4.289,0.084,-0.08,0.074," ",191.19671390197,-61.1511665154
"UBC290",191.95021574261,0.25499119819,-59.37316090147,0.10457351849,302.4678249037,0.1302178082,3.4950559644,0.1044643627,0.5936,0.0313,-5.893,0.094,-0.293,0.089," ",191.95026554735,-59.37315963984
"UBC291",199.10553571138,0.15091401406,-63.43900978704,0.06354115154,305.7206293345,0.0678762555,-0.7026988067,0.0631287288,0.3063,0.0227,-5.616,0.102,-1.584,0.077," ",199.1055897837,-63.43900296838
"UBC292",200.30674469044,0.34133424473,-61.26625337008,0.13537869829,306.5055897329,0.1685644472,1.3981866579,0.1299352827,0.4309,0.0258,-3.651,0.098,-1.665,0.08," ",200.3067773853,-61.26624620089
"UBC293",202.74931211361,0.17671890716,-61.76788824522,0.1026013931,307.5925837612,0.0848823592,0.7452470924,0.1015659982,0.2928,0.0285,-4.44,0.089,-1.71,0.073," ",202.74935252223,-61.76788088233
"UBC294",204.22443668576,0.15205242384,-58.068707376,0.07098965332,308.931122799,0.0814217743,4.2724516831,0.0701365744,0.6157,0.0257,-8.576,0.077,-2.315,0.092," ",204.22450650178,-58.06869740674
"UBC295",207.53735494773,0.17734082207,-60.40934870745,0.08762472211,310.1226465677,0.0905883628,1.6400079604,0.0845766072,0.5786,0.0253,-4.486,0.08,-1.54,0.084," ",207.5373940654,-60.40934207771
"UBC296",216.24467131141,0.13137930095,-61.04501172703,0.0539296588,314.010461696,0.0655578239,-0.2014644844,0.0515429929,0.4776,0.0233,-3.686,0.066,-2.24,0.073," ",216.24470409677,-61.04500208076
"UBC297",218.1330690876,0.18908045458,-62.21084580631,0.06527249178,314.4178294779,0.0894712264,-1.6150841667,0.0635144449,0.3267,0.0184,-6.786,0.076,-3.919,0.104," ",218.13313175774,-62.21082893486
"UBC298",217.56837906039,0.14616960139,-59.81635870792,0.06019255214,315.0647563112,0.0730794515,0.7065804412,0.0607056455,0.3796,0.0292,-5.545,0.127,-3.815,0.102," ",217.56842654769,-59.81634228335
"UBC299",219.62895154607,0.12725593869,-62.1590980426,0.04807850486,315.0808892571,0.0609801363,-1.8400318684,0.0460907894,0.3102,0.0336,-3.446,0.082,-1.728,0.091," ",219.62898331319,-62.15909060418
"UBC300",222.97891925438,0.23136288905,-65.31222033617,0.08260126534,315.0833660069,0.0923829339,-5.3231893484,0.087761372,0.5091,0.032,-3.236,0.077,-2.042,0.089," ",222.97895261293,-65.31221154552
"UBC301",219.46324648708,0.17533097657,-58.99161312049,0.08762150272,316.2726787817,0.0995642912,1.0958142759,0.0769775785,0.5973,0.0218,-5.549,0.088,-2.724,0.13," ",219.46329286405,-58.99160139066
"UBC302",220.12910896405,0.17671575665,-55.39466160188,0.06201001009,318.0567445065,0.0978921054,4.2410554084,0.0662301161,0.8386,0.0182,-4.826,0.107,-4.163,0.092," ",220.1291455534,-55.39464367667
"UBC303",221.87051108861,0.16283982727,-56.25942362354,0.07955580171,318.5815167768,0.0917002534,3.0451978787,0.0782111941,0.5374,0.0392,-4.842,0.123,-3.873,0.109," ",221.87054861875,-56.25940694968
"UBC304",234.58318052822,0.10786789916,-65.96355220677,0.08609191471,318.835373318,0.0686821217,-8.3883614202,0.0687408625,1.3311,0.0269,-3.63,0.075,-4.306,0.1," ",234.58321889815,-65.96353366791
"UBC305",227.58944335391,0.14649059269,-60.48898211855,0.07119905894,319.2411185448,0.077201384,-2.0934149597,0.0657487417,0.4522,0.0197,-3.38,0.101,-3.485,0.076,"a",227.58947289845,-60.48896711405
"UBC306",236.56875654276,0.14179184131,-56.8013282661,0.08439046595,325.1736250544,0.0868580225,-1.6793126148,0.0749038184,0.3609,0.0349,-1.643,0.095,-3.232,0.091,"a",236.56876945899,-56.80131435147
"UBC307",239.42934540139,0.12150287941,-57.26010011168,0.08265369916,326.091896662,0.0706352366,-3.0177473092,0.0785561138,0.327,0.0323,-2.003,0.102,-2.631,0.092," ",239.42936135086,-57.26008878463
"UBC308",237.60319326011,0.11958165979,-55.96018761173,0.06928002127,326.1452022913,0.0697048404,-1.3756451908,0.0665162738,0.3551,0.0529,-4.425,0.124,-3.066,0.117," ",237.6032272944,-55.96017441155
"UBC309",238.09986647356,0.12502974008,-55.40798788167,0.07635902726,326.7104787829,0.0805241844,-1.1227784011,0.0662334331,0.4624,0.0296,-1.036,0.101,-2.239,0.1,"a",238.09987432729,-55.40797824237
"UBC310",244.46563615537,0.15428091937,-53.53742736041,0.0920907073,330.7151028815,0.1019847649,-2.1911217965,0.0806219765,0.2982,0.0442,-0.688,0.111,-2.189,0.098," ",244.46564114082,-53.53741793751
"UBC311",247.20494142257,0.17311925093,-54.97060986328,0.08977294928,330.819382389,0.0940949649,-4.3365205657,0.0954820395,0.6919,0.028,0.047,0.067,-1.271,0.069,"a",247.20494106953,-54.97060439204
"UBC312",244.21185653696,0.09699071821,-50.72537029881,0.0514274396,332.5623710049,0.062886118,-0.0647283473,0.0495989633,0.3323,0.0242,-0.356,0.119,-2.244,0.074," ",244.21185895839,-50.7253606376
"UBC313",246.15253406439,0.13784459012,-51.93824684144,0.06501583879,332.5684041607,0.0556714902,-1.7796145273,0.0913792236,0.2956,0.0325,-3.075,0.116,-4.31,0.128,"b",246.15255553752,-51.93822828298
"UBC314",243.42133903809,0.16873927064,-50.12648334052,0.09307927234,332.6123900776,0.1122903099,0.7160708427,0.0881350388,0.6024,0.0371,-1.878,0.14,-5.394,0.117," ",243.42135165018,-50.12646011568
"UBC315",246.37177377286,0.13249619441,-47.93383687154,0.10092649967,335.5290834315,0.0977992068,0.9206999236,0.0922319608,0.4317,0.035,-2.74,0.166,-3.782,0.089," ",246.3717913784,-47.93382059006
"UBC316",248.72604011464,0.11352269172,-47.98614733031,0.06122666547,336.5748583458,0.0789867624,-0.2601805299,0.0572872002,0.5775,0.0212,-3.046,0.084,-3.143,0.078," ",248.72605970807,-47.98613379752
"UBC317",250.6621593701,0.11781012925,-47.90546196281,0.06995837648,337.5000282095,0.0755075142,-1.1725687986,0.0736963467,0.4266,0.023,-3.15,0.095,-4.63,0.092," ",250.66217960066,-47.90544202797
"UBC318",251.17841086641,0.23025165039,-47.58686495196,0.16814142429,337.9679480086,0.1106636928,-1.225941482,0.2003338568,0.33,0.0358,-0.923,0.124,-2.214,0.138," ",251.1784167604,-47.58685541778
"UBC319",249.69345581364,0.16350657676,-44.76506490833,0.11603335752,339.4097741447,0.1234671313,1.4085220379,0.1081827418,0.7162,0.0288,-0.755,0.11,-2.731,0.129," ",249.69346038967,-44.76505315117
"UBC320",251.38237309542,0.12009688904,-44.45804159542,0.0665983767,340.4331355474,0.0837236317,0.7064790697,0.0690760219,0.3191,0.0412,-0.652,0.166,-0.995,0.116," ",251.38237702825,-44.45803731098
"UBC321",251.90945432218,0.09404670707,-44.52997391324,0.06841237598,340.6222296227,0.0690145838,0.3736699041,0.0664367316,0.3686,0.0416,-1.545,0.14,-3.116,0.129," ",251.90946365077,-44.52996049883
"UBC322",255.21492199977,0.1121729934,-44.1856029992,0.09127781114,342.3796796241,0.0862537443,-1.2434208134,0.0857891632,0.3457,0.0305,-0.705,0.112,-1.729,0.131," ",255.21492623536,-44.18559555671
"UBC323",253.89481891346,0.23925272119,-40.7506020304,0.18275647717,344.4669067896,0.2231566721,1.6529610853,0.1284367174,0.576,0.0404,-0.228,0.175,-1.256,0.231," ",253.89482021045,-40.75059662303
"UBC324",255.95199050409,0.08096961191,-38.45635296074,0.07662369761,347.251345373,0.0784131984,1.8230651426,0.0612376246,0.4967,0.0379,-3.284,0.115,-3.781,0.098," ",255.95200855884,-38.45633668181
"UBC325",249.08778612981,0.13063234287,-31.43145105639,0.15450073956,349.1230187035,0.1475820652,10.6232031137,0.1235144044,1.3213,0.033,-3.931,0.204,-3.495,0.127," ",249.0878059645,-31.43143600676
"UBC326",258.16015049573,0.09409995943,-36.05826971999,0.06928477636,350.2256808885,0.0659071723,1.8478133139,0.0790352667,0.5664,0.0406,-1.123,0.126,-2.804,0.09," ",258.16015647703,-36.05825764673
"UBC327",251.73864928841,0.09617351963,-25.79878317766,0.10230787169,355.0549490682,0.0932922074,12.4558807845,0.0983225666,0.5741,0.0426,2.751,0.15,-2.654,0.143," ",251.73863613355,-25.7987717505
"UBC328",265.90489579151,0.08680697677,-34.21430819174,0.07100856351,355.2755638972,0.0703856348,-2.3943618807,0.0724523358,0.3458,0.0229,0.703,0.087,-0.447,0.1," ",265.90489213066,-34.21430626827
"UBC329",267.40879335392,0.10771672658,-34.81068654834,0.08741578807,355.4062137027,0.0903967755,-3.763402245,0.085591343,0.5249,0.0336,-0.93,0.08,-0.904,0.086," ",267.40879822829,-34.81068265557
"UBC330",269.16017243758,0.08708743,-35.31879533704,0.06980406166,355.689781864,0.0670433666,-5.2577509214,0.0739181192,0.6868,0.0343,1.214,0.099,-2.193,0.104," ",269.16016603379,-35.31878589335
"UBC331",265.99548467492,0.13204908332,-32.35200087366,0.09503540798,356.9028091164,0.0854769282,-1.4839016438,0.1190693879,0.9276,0.0226,-1.959,0.113,-2.313,0.095," ",265.99549466047,-32.35199091523
"UBC332",262.12039159935,0.08994669704,-29.50036511666,0.0880018509,357.5158549184,0.0936722701,2.8520335807,0.0715489779,0.6295,0.0419,-0.886,0.124,-3.098,0.106," ",262.12039598384,-29.50035177614
"UBC333",266.72720809694,0.07034404861,-31.5132143305,0.05237716973,357.9426967083,0.0416875725,-1.5771121426,0.0678420564,1.0108,0.0262,3.831,0.098,-1.633,0.092," ",266.7271887485,-31.51320729939
"UBC334",265.55744694585,0.11424126373,-30.7394279179,0.09855858832,358.0789031311,0.0921120236,-0.3190143273,0.1042663332,0.6153,0.0343,-0.722,0.152,-1.278,0.14," ",265.55745056275,-30.73942241374
"UBC335",266.55713736702,0.1113236067,-29.18378094589,0.07763010686,359.8577408712,0.0690458175,-0.2424336599,0.1034610794,0.4865,0.0431,1.706,0.114,-0.765,0.113,"a",266.55712895197,-29.18377765066
"UBC336",267.97572720762,0.03211507128,-27.83402257822,0.03441881261,1.6567528374,0.0297205067,-0.6160140372,0.0332881675,0.3121,0.0165,0.746,0.077,0.143,0.067," ",267.97572357698,-27.8340231936
"UBC337",271.72311048892,0.08404544497,-24.64863851236,0.07902641616,6.0933523843,0.0723618681,-1.944729985,0.0827731016,0.5664,0.0182,0.473,0.081,-0.719,0.065," ",271.72310824921,-24.64863541559
"UBC338",271.53193633827,0.07083543146,-24.23073923031,0.08108928408,6.3737015832,0.0812634032,-1.5891862743,0.0644101608,0.6024,0.0221,0.013,0.079,-1.773,0.092," ",271.53193627844,-24.23073159795
"UBC339",271.31137043851,0.04234669153,-23.30803659386,0.0452915072,7.0803608456,0.0477494224,-0.9622657626,0.0358357055,0.3865,0.0175,0.571,0.073,-0.594,0.085," ",271.31136776196,-23.30803403769
"UBC340",270.7665020716,0.08776080894,-22.65707236655,0.0693260775,7.401162688,0.0603375415,-0.2056532698,0.0878969026,0.7022,0.0151,0.722,0.074,-2.568,0.081," ",270.76649870432,-22.65706130809
"UBC341",276.45208393831,0.0980056512,-17.06299585126,0.08794069121,14.8712536436,0.0999647441,-2.2263900967,0.0808359147,0.4755,0.027,-0.208,0.123,-1.491,0.099," ",276.45208487733,-17.06298943041
