"Cluster","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","GLON","e_GLON","GLAT","e_GLAT","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","Note","_RA.icrs","_DE.icrs"
"UBC119",290.63376306911,0.0808925243,8.3984984525,0.09535801065,43.9589920198,0.1015804113,-3.0093270783,0.0721607038,0.5614,0.0256,-1.34,0.141,-2.344,0.119," ",290.63376890109,8.39850854325
"UBC120",284.08482599935,0.09033110198,13.23813815999,0.10661972337,45.2940403699,0.1129090425,4.9274070595,0.0802993709,0.8336,0.0213,1.125,0.108,1.42,0.103," ",284.08482102469,13.23813204769
"UBC121",288.89305902028,0.08594741697,12.85481210231,0.07798029575,47.098777571,0.0721180657,0.5869862269,0.0888941323,0.5653,0.0371,-1.248,0.08,-3.347,0.112," ",288.893064531,12.85482651465
"UBC122",288.14400584116,0.07553897867,15.71023310002,0.10305720598,49.2931454712,0.1012741262,2.5539816766,0.0753189887,0.3519,0.0384,-0.568,0.107,-3.135,0.122," ",288.14400838133,15.71024659913
"UBC123",294.18501104211,0.05488488619,18.25476499677,0.06068508822,54.2731040109,0.0578684425,-1.3264495487,0.0552479572,0.389,0.0266,-2.119,0.093,-4.734,0.091," ",294.18502064827,18.25478537902
"UBC124",295.39992235656,0.07799620226,19.02797996789,0.08933896876,55.5125026666,0.0944104782,-1.9494885682,0.067201088,0.3547,0.0327,-1.897,0.115,-5.262,0.086," ",295.3999309976,19.0280026238
"UBC125",288.8919807428,0.12438485092,22.97051872078,0.10670663228,56.0798875036,0.1088348503,5.2692745206,0.1129590524,0.7656,0.0284,-1.123,0.08,-4.051,0.092," ",288.89198599397,22.97053616339
"UBC126",294.99655046115,0.08242870872,20.04583167837,0.04258989178,56.2104433076,0.0455300504,-1.1165687531,0.0757539594,0.3633,0.0241,-1.849,0.108,-4.409,0.092," ",294.99655893367,20.04585065961
"UBC127",296.38416653694,0.07350805932,21.15712084096,0.06018098163,57.8204695943,0.0622129392,-1.6921871944,0.0667397485,0.4356,0.0458,-0.35,0.093,-3.551,0.105,"a",296.3841681529,21.15713612906
"UBC128",297.96685910733,0.06718532497,22.12140914185,0.08349837713,59.3970519568,0.0844669779,-2.474313078,0.061027723,0.5833,0.0264,-0.77,0.099,-2.322,0.105,"a",297.96686268403,22.12141913882
"UBC129",299.0658494635,0.19820601774,26.44217243518,0.19773353232,63.619384404,0.1750125112,-1.1093433823,0.1999384152,0.8473,0.0252,-0.973,0.108,-4.341,0.115," ",299.065854143,26.44219112416
"UBC130",298.05071554745,0.11652520329,27.4452241025,0.10256358693,64.0121475694,0.1034744612,0.1832018602,0.1025011181,0.3925,0.0257,-2.105,0.075,-5.854,0.083," ",298.05072575789,27.44524930876
"UBC131",310.23625726711,0.21994461139,20.15222116252,0.20561078551,64.0609600979,0.2291123898,-13.1264384423,0.1874054113,1.0677,0.0341,-6.257,0.159,-9.215,0.162,"a",310.23628596298,20.15226083938
"UBC132",299.26995626032,0.05637681876,28.44614245572,0.04934966244,65.4254319098,0.047908763,-0.2222816953,0.050962743,0.2706,0.032,-1.911,0.11,-4.796,0.105," ",299.26996561683,28.44616310478
"UBC133",303.70469963035,0.11137951597,28.37549450872,0.1161494187,67.4605441289,0.1266532287,-3.5511984522,0.0843402249,0.584,0.0326,-1.115,0.106,-4.662,0.102," ",303.70470508847,28.37551458244
"UBC134",299.7316646371,0.06510655214,31.09810045992,0.05569310929,67.8962348549,0.0509752308,0.8212380975,0.0600969596,0.3737,0.03,-2.177,0.059,-5.988,0.096," ",299.73167558355,31.09812624047
