name,method,perc_diff,perc_missed_-16,perc_missed_+16,delta_coords_std,delta_pms_std,delta_plx_std
UPK_545.csv,M6,-8.6,16.2,25.3,-0.21,-0.14,0.05
UPK_545.csv,M7,-41.4,15.2,20.0,-0.48,-0.39,0.05
UPK_545.csv,M8,-31.0,15.2,21.3,-0.43,-0.31,0.05
UPK_545.csv,M9,-54.0,4.0,16.0,-0.40,-0.22,-0.12
UPK_545.csv,M10,-32.8,4.0,25.3,-0.32,-0.12,-0.10
UPK_545.csv,M11,-102.3,3.0,22.7,-0.80,-0.25,-0.20
UPK_545.csv,M12,-88.5,3.0,24.0,-0.73,-0.21,-0.19
UPK_545.csv,M13,-51.1,2.0,6.7,-0.42,-0.05,-0.10
UPK_545.csv,M14,-39.1,4.0,8.0,-0.30,-0.02,-0.10
UPK_545.csv,M15,-78.7,2.0,6.7,-0.63,-0.06,-0.14
UPK_545.csv,M16,-56.3,4.0,8.0,-0.55,-0.03,-0.12
UPK_545.csv,M17,-12.6,12.1,30.7,-0.30,-0.31,0.04
UPK_545.csv,M18,-10.9,11.1,32.0,-0.29,-0.27,0.04
UPK_545.csv,M19,-16.1,15.2,22.7,-0.24,-0.21,0.05
UPK_545.csv,M20,-42.5,10.1,32.0,-0.55,-0.58,0.02
UPK_545.csv,M21,-16.7,15.2,22.7,-0.26,-0.21,0.05
UPK_545.csv,M22,-12.6,15.2,22.7,-0.22,-0.15,0.05
UPK_545.csv,M23,-41.4,15.2,20.0,-0.51,-0.37,0.05
UPK_545.csv,M24,-31.0,15.2,20.0,-0.42,-0.29,0.05
Collinder_132.csv,M1,16.3,46.8,83.3,-0.29,-0.02,0.05
Collinder_132.csv,M2,31.4,53.2,87.5,-0.28,0.01,0.05
Collinder_132.csv,M3,-15.1,46.8,83.3,-0.48,-0.05,0.05
Collinder_132.csv,M4,5.8,50.0,87.5,-0.47,-0.02,0.05
Collinder_132.csv,M5,20.9,56.5,66.7,-0.25,0.08,0.06
Collinder_132.csv,M6,45.3,62.9,79.2,-0.01,0.10,0.07
Collinder_132.csv,M7,4.7,56.5,66.7,-0.40,0.05,0.06
Collinder_132.csv,M8,24.4,59.7,79.2,-0.40,0.06,0.06
Collinder_132.csv,M9,-69.8,22.6,45.8,-0.34,0.06,0.00
Collinder_132.csv,M10,-41.9,25.8,45.8,-0.31,0.08,0.00
Collinder_132.csv,M11,-109.3,24.2,45.8,-0.39,0.03,-0.01
Collinder_132.csv,M12,-76.7,25.8,45.8,-0.38,0.05,-0.00
Collinder_132.csv,M13,-97.7,29.0,33.3,-0.38,0.09,-0.00
Collinder_132.csv,M14,-73.3,33.9,37.5,-0.40,0.11,0.00
Collinder_132.csv,M15,-120.9,29.0,33.3,-0.48,0.09,-0.01
Collinder_132.csv,M16,-93.0,33.9,33.3,-0.44,0.10,-0.00
Collinder_132.csv,M17,17.4,48.4,87.5,-0.33,0.01,0.05
Collinder_132.csv,M18,30.2,54.8,79.2,-0.27,0.02,0.05
Collinder_132.csv,M19,25.6,59.7,62.5,-0.24,0.08,0.06
Collinder_132.csv,M20,9.3,48.4,87.5,-0.47,-0.02,0.05
Collinder_132.csv,M21,25.6,59.7,66.7,-0.20,0.09,0.06
Collinder_132.csv,M22,38.4,64.5,66.7,-0.16,0.09,0.06
Collinder_132.csv,M23,0.0,58.1,62.5,-0.42,0.05,0.06
Collinder_132.csv,M24,23.3,62.9,66.7,-0.35,0.06,0.06
RSG_8.csv,M1,38.8,70.5,89.0,-0.39,-0.02,0.11
RSG_8.csv,M2,54.1,71.6,95.1,-0.33,-0.01,0.12
RSG_8.csv,M3,20.0,70.5,90.2,-0.66,-0.03,0.11
RSG_8.csv,M4,27.6,70.5,92.7,-0.65,-0.03,0.11
RSG_8.csv,M5,63.5,75.0,87.8,0.06,0.18,0.13
RSG_8.csv,M6,71.8,77.3,90.2,0.15,0.21,0.14
RSG_8.csv,M7,50.0,75.0,85.4,-0.48,0.13,0.13
RSG_8.csv,M8,64.7,77.3,91.5,-0.39,0.18,0.14
RSG_8.csv,M9,17.1,63.6,78.0,-0.31,0.20,0.05
RSG_8.csv,M10,35.9,65.9,80.5,-0.20,0.23,0.06
RSG_8.csv,M11,-4.7,62.5,79.3,-0.62,0.18,0.04
RSG_8.csv,M12,16.5,67.0,80.5,-0.60,0.22,0.05
RSG_8.csv,M13,25.9,70.5,70.7,0.00,0.27,0.06
RSG_8.csv,M14,42.4,72.7,73.2,0.07,0.29,0.08
RSG_8.csv,M15,-4.1,70.5,72.0,-0.50,0.26,0.06
RSG_8.csv,M16,10.6,70.5,74.4,-0.50,0.28,0.06
RSG_8.csv,M17,28.2,69.3,87.8,-0.49,-0.02,0.11
RSG_8.csv,M18,50.6,71.6,95.1,-0.40,-0.03,0.12
RSG_8.csv,M19,67.6,77.3,86.6,0.13,0.21,0.13
