"DB","ID","RA_ICRS","DE_ICRS","GLON","GLAT","plx","pmRA","pmDE","fnames","UCC_ID"
"3","Ryu 896",281.11087,-4.17462,28.42001,-0.35001,"nan","nan","nan","ryu896","UCC G028.4-00.3"
"3","Ryu 898",282.49568,-4.76956,28.52001,-1.85,"nan","nan","nan","ryu898","UCC G028.5-01.8"
"3","Ryu 899",284.91297,-5.97148,28.54001,-4.54,"nan","nan","nan","ryu899","UCC G028.5-04.5"
"3","Ryu 900",276.25125,-1.47697,28.59001,5.2,"nan","nan","nan","ryu900","UCC G028.5+05.2"
"3","Ryu 904",284.39487,-5.32988,28.88001,-3.79001,"nan","nan","nan","ryu904","UCC G028.8-03.7"
"3","Ryu 905",278.97967,-2.53944,28.90001,2.29,"nan","nan","nan","ryu905","UCC G028.9+02.2"
"3","Alicante 10",281.29973,-3.69808,28.93,-0.3,"nan","nan","nan","alicante10","UCC G028.9-00.3"
"3","RSGC 5,Alicante 7",281.12723,-3.48605,29.04001,-0.05001,"nan","nan","nan","rsgc5","UCC G029.0+00.0"
"3","Ryu 906",282.84031,-4.33902,29.06001,-1.96,"nan","nan","nan","ryu906","UCC G029.0-01.9"
"3","Ryu 907",276.21574,-0.74102,29.23,5.57,"nan","nan","nan","ryu907","UCC G029.2+05.5"
"3","Ryu 908",283.2262,-4.31111,29.26001,-2.29,"nan","nan","nan","ryu908","UCC G029.2-02.2"
"3","Ryu 909",279.29189,-2.26183,29.29001,2.13999,"nan","nan","nan","ryu909","UCC G029.2+02.1"
"3","Ryu 910",282.54806,-3.92059,29.30001,-1.51,"nan","nan","nan","ryu910","UCC G029.3-01.5"
"3","Ryu 911",281.90501,-3.22127,29.63001,-0.62,"nan","nan","nan","ryu911","UCC G029.6-00.6"
"3","Ryu 912",281.32266,-2.79937,29.74001,0.08999,"nan","nan","nan","ryu912","UCC G029.7+00.0"
"3","Ryu 917",284.91682,-4.26225,30.07001,-3.77,"nan","nan","nan","ryu917","UCC G030.0-03.7"
"3","Ryu 918",277.52858,-0.44345,30.1,4.54,"nan","nan","nan","ryu918","UCC G030.1+04.5"
"3","Ryu 921",281.60139,-2.25664,30.35001,0.09,"nan","nan","nan","ryu921","UCC G030.3+00.0"
"3","Ryu 269",282.19011,-2.46831,30.43001,-0.53001,"nan","nan","nan","ryu269","UCC G030.4-00.5"
"3","Ryu 922",281.91901,-2.27329,30.48001,-0.2,"nan","nan","nan","ryu922","UCC G030.4-00.2"
"3","Masgomas 1",282.56688,0.35,33.11001,0.42,"nan","nan","nan","masgomas1","UCC G033.1+00.4"
"3","GLIMPSE 13,Mercer 13",283.47306,0.62731,33.77001,-0.26,"nan","nan","nan","glimpse13","UCC G033.7-00.2"
"3","DSH J1817.1+0722,Teutsch 15,Teutsch J1817.1+0722",274.27816,7.38348,35.67001,10.97,"nan","nan","nan","dshj18171p0722","UCC G035.6+10.9"
"3_26","DSH J1908.1+0414,FSR 0111,Teutsch 118",286.92762,4.34634,38.65635,-1.62741,0.281,-1.587,-4.683,"dshj19081p0414","UCC G038.6-01.6a"
"3","DSH J1914.3+0405,Teutsch 119",288.58236,4.09036,39.19001,-3.21,"nan","nan","nan","dshj19143p0405","UCC G039.1-03.2"
"3","GLIMPSE 17,Mercer 17",287.33122,8.19738,42.26001,-0.21,"nan","nan","nan","glimpse17","UCC G042.2-00.2"
"3","FSR 0116,MWSC 2920",277.07006,13.40421,42.41001,11.13,"nan","nan","nan","fsr0116","UCC G042.4+11.1"
"3","MWSC 2905,FSR 0119",275.76708,15.82234,44.10001,13.3,"nan","nan","nan","mwsc2905","UCC G044.1+13.3a"
"3","GLIMPSE 20,Mercer 20",288.10417,9.96471,44.18001,-0.07001,"nan","nan","nan","glimpse20","UCC G044.1+00.0"
"3","Juchert J1904.4+1124",286.11392,11.40681,44.56001,2.32999,"nan","nan","nan","juchertj19044p1124","UCC G044.5+02.3"
"3","DSH J1933.8+1005,Teutsch 150",293.4534,10.08549,46.77001,-4.66,"nan","nan","nan","dshj19338p1005","UCC G046.7-04.6"
"3","DSH J1912.8+1500,Teutsch 149",288.21806,15.01611,48.71001,2.16999,"nan","nan","nan","dshj19128p1500","UCC G048.7+02.1"
"3","Teutsch 26,DSH J1926.0+1345",291.52577,13.7577,49.10001,-1.25,"nan","nan","nan","teutsch26","UCC G049.1-01.2"
"3","DSH J1958.0+1606,Steine 32",299.49934,16.10022,54.95001,-6.80001,"nan","nan","nan","dshj19580p1606","UCC G054.9-06.8"
"3","Steine 31,DSH J1942.3+1939",295.57281,19.65684,56.14,-1.78,"nan","nan","nan","steine31","UCC G056.1-01.7"
"3","MWSC 2818,OCL 119,Dolidze-Dzimselejsvili 9,DoDz 9",272.12093,31.58699,58.13,22.34,"nan","nan","nan","mwsc2818","UCC G058.1+22.3"
"3","Bica 110",296.33852,24.10356,60.35001,-0.18,"nan","nan","nan","bica110","UCC G060.3-00.1"
"3","SAI 135",300.73289,24.5548,62.8,-3.38,"nan","nan","nan","sai135","UCC G062.8-03.3"
"3_26","Alessi 116",310.26827,20.06752,64.00831,-13.20054,1.067,-6.267,-9.232,"alessi116","UCC G064.0-13.2"
"3","DSH J1915.2+3251,Teutsch 32",288.79752,32.85555,64.95001,9.79,"nan","nan","nan","dshj19152p3251","UCC G064.9+09.7"
"3","DSH J1959.6+2818,Teutsch 174",299.9103,28.31702,65.61001,-0.77,"nan","nan","nan","dshj19596p2818","UCC G065.6-00.7"
"3_26","Kronberger 53,DSH J1958.5+3048",299.6461,30.80862,67.61115,0.73217,0.19,-3.624,-6.018,"kronberger53","UCC G067.6+00.7"
"3","Kronberger 29",301.83271,35.58451,72.63001,1.72,"nan","nan","nan","kronberger29","UCC G072.6+01.7"
"3","Bica 119",301.21212,37.74725,74.19,3.3,"nan","nan","nan","bica119","UCC G074.1+03.3"
"3_8_12_20_26","ASCC 111,MWSC 3274",302.891,37.515,74.71361,2.05574,1.163,-1.148,-1.551,"ascc111","UCC G074.7+02.0"
"3","FSR 0205,LK 1,Le Duigou-Knodlseder 1",306.10418,36.40801,75.24001,-0.69,"nan","nan","nan","fsr0205","UCC G075.2-00.6"
"3","Steine 3",299.86998,40.80302,76.25001,5.79,"nan","nan","nan","steine3","UCC G076.2+05.7"
"1_3_8_12_26","IC 1311,Trumpler 36,FSR 0214,Dolidze 2,OCL 173,Collinder 414,OCL 174",302.697,41.177,77.70493,4.17994,0.128,-3.364,-5.048,"trumpler36","UCC G077.7+04.1"
"3","LK 3,Le Duigou-Knodlseder 3",306.40339,39.41193,77.83,0.85,"nan","nan","nan","lk3","UCC G077.8+00.8"
"3","Dolidze-Dzimselejsvili 11,OCL 179,DoDz 11,MWSC 3415",312.75869,35.88104,78.07001,-5.29,"nan","nan","nan","dolidzedzimselejsvili11","UCC G078.0-05.2"
"3","TRSG 6",307.49066,40.07976,78.86,0.56,"nan","nan","nan","trsg6","UCC G078.8+00.5"
"3","Bica 136",307.27363,40.53308,79.13001,0.96,"nan","nan","nan","bica136","UCC G079.1+00.9"
"3","DSH J2057.0+3708,Teutsch 155",314.26893,37.1378,79.82001,-5.42,"nan","nan","nan","dshj20570p3708","UCC G079.8-05.4"
"3_26","LK 10,FSR 0233,Le Duigou-Knodlseder 10",309.82009,39.98769,79.85329,-0.9242,0.613,-2.921,-4.5,"lk10","UCC G079.8-00.9"
"3","MWSC 3493,FSR 0272",319.67658,41.93498,86.20001,-5.28,"nan","nan","nan","mwsc3493","UCC G086.2-05.2"
"3_26","MWSC 3371,FSR 0276",308.62413,49.95409,87.31468,5.74869,0.205,-3.454,-4.98,"mwsc3371","UCC G087.3+05.7"
"3","Bica 652",317.84997,46.21836,88.39001,-1.37,"nan","nan","nan","bica652","UCC G088.3-01.3"
"3","MWSC 3482,C 2110+463,Basel 13A",318.07026,46.56957,88.75001,-1.24,"nan","nan","nan","mwsc3482","UCC G088.7-01.2a"
"3_8_12_26","NGC 7058,MWSC 3501",320.4203,50.82636,92.88161,0.61808,2.73,7.429,2.889,"ngc7058","UCC G092.8+00.6"
"3","ASCC 122,MWSC 3637",338.30555,39.61137,95.91,-15.9,"nan","nan","nan","ascc122","UCC G095.9-15.9"
"3","Teutsch 159,DSH J2218.6+5353,Teutsch J2218.6+5353",334.6498,53.88674,101.53001,-2.51,"nan","nan","nan","teutsch159","UCC G101.5-02.5"
"3","DSH J2225.3+5424,Teutsch 128",336.32559,54.41069,102.64,-2.6,"nan","nan","nan","dshj22253p5424","UCC G102.6-02.6"
"3","Teutsch 328,SBB 4,MWSC 3620",335.83717,56.61217,103.58,-0.59,"nan","nan","nan","teutsch328","UCC G103.5-00.5"
"3","DSH J2222.0+5843,Juchert 21,FSR 0372",335.50057,58.71569,104.56001,1.28,"nan","nan","nan","dshj22220p5843","UCC G104.5+01.2"
"3_8_12_26","ASCC 123,MWSC 3654",340.43085,54.18631,104.59804,-4.00248,4.262,12.093,-1.553,"ascc123","UCC G104.5-04.0"
"3","Teutsch 75,DSH J2215.8+6141",333.96818,61.68705,105.56001,4.18,"nan","nan","nan","teutsch75","UCC G105.5+04.1"
"3","Teutsch 129,DSH J2234.8+6423",338.72259,64.38602,108.83001,5.32,"nan","nan","nan","teutsch129","UCC G108.8+05.3"
"3_26","MWSC 3677,FSR 0409,ASCC 125",344.09039,62.72833,110.17705,2.74169,1.191,-0.541,-2.197,"ascc125","UCC G110.1+02.7"
"3","FSR 0472,MWSC 3744",354.064,73.85028,117.68001,11.75,"nan","nan","nan","fsr0472","UCC G117.6+11.7"
"3","Teutsch 34",2.85448,64.6293,118.66001,2.09001,"nan","nan","nan","teutsch34","UCC G118.6+02.0"
"3","MWSC 54,ASCC 3",7.78641,55.27698,120.02001,-7.48,"nan","nan","nan","ascc3","UCC G120.0-07.4"
"3","SAI 2",3.12599,76.23213,120.56001,13.54,"nan","nan","nan","sai2","UCC G120.5+13.5"
"3","DSH J0053.9+6427,Teutsch 46",13.48106,64.46045,123.20001,1.59,"nan","nan","nan","dshj00539p6427","UCC G123.2+01.5"
"3","SAI 12",16.1071,45.60176,125.31001,-17.21,"nan","nan","nan","sai12","UCC G125.3-17.2"
"3","MWSC 109,Platais 2,HIP 5671 Group",18.45225,32.03238,128.44001,-30.6,"nan","nan","nan","mwsc109","UCC G128.4-30.6"
"3","SAI 27",47.85585,68.90217,135.01001,9.38,"nan","nan","nan","sai27","UCC G135.0+09.3"
"3_26","FSR 0604,MWSC 604",44.70141,63.57784,136.54547,4.12444,0.172,-0.978,0.345,"fsr0604","UCC G136.5+04.1"
"3","HD 18391 Group,TKM 1",44.61095,57.62849,139.30001,-1.15,"nan","nan","nan","hd18391group","UCC G139.3-01.1"
"3_8_12_20_26","HIP 21974 Group,Platais 3,MWSC 395",69.8011,71.2608,139.19941,16.01243,5.612,3.708,-20.793,"hip21974group","UCC G139.1+16.0"
"3","SAI 26",47.38522,56.79151,141.02001,-1.15,"nan","nan","nan","sai26","UCC G141.0-01.1"
"3","FSR 0631,MWSC 511",80.47685,70.8956,141.56001,18.66,"nan","nan","nan","fsr0631","UCC G141.5+18.6"
"3","SAI 31",57.81555,58.76553,144.47001,3.63001,"nan","nan","nan","sai31","UCC G144.4+03.6"
"3","Cmg 836",64.70416,54.63036,150.05001,3.07001,"nan","nan","nan","cmg836","UCC G150.0+03.0"
"3","Cmg 841",66.23716,54.41763,150.83001,3.55,"nan","nan","nan","cmg841","UCC G150.8+03.5"
"3","Teutsch 130,DSH J0414.2+5037A",63.57123,50.62319,152.34001,-0.29,"nan","nan","nan","teutsch130","UCC G152.3-00.2"
