"DB","DB_i","ID","RA_ICRS","DE_ICRS","GLON","GLAT","plx","pmRA","pmDE","fnames","UCC_ID","quad","dups_fnames","dups_probs","r_50","N_fixed","N_membs","fixed_cent","cent_flags","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","N_ex_cls","dups_fnames_m","dups_probs_m"
"BICA19","2872","VVV 142;VVV-CL 142",266.13958,-28.66487,0.11,0.34,"nan","nan","nan","vvv142;vvvcl142","UCC G000.1+00.3","Q1P","nan","nan",5.0,False,61,True,0,0.24,0.47,"DC",50,0.138,0.353,266.143,-28.636,0.496,0.057,-1.556,-24.851,2,1,"nan","nan"
"BICA19","5","Ryu 538",262.1084,-26.36593,0.13,4.59,"nan","nan","nan","ryu538","UCC G000.1+04.5","Q1P","nan","nan",3.6,False,250,True,0,0.61,0.29,"BC",255,0.115,4.57,262.117,-26.385,0.036,-3.065,-5.647,-40.242,1,0,"nan","nan"
"BICA19","3251","DB 29;Dutra-Bica 29",265.5571,-28.31384,0.14,0.96,"nan","nan","nan","db29;dutrabica29","UCC G000.1+00.9","Q1P","nan","nan",5.6,False,70,True,0,0.43,0.62,"CB",25,0.169,1.0,265.538,-28.297,0.186,-2.206,-3.858,-29.425,3,0,"nan","nan"
"KHARCHENKO12;BICA19","1048;6","Ruprecht 131;OCL 2;ESO 455 45;MWSC 2706",267.30518,-29.24316,0.1447,-0.8319,"nan","nan","nan","ruprecht131;ocl2;eso45545;mwsc2706","UCC G000.1-00.8","Q1N","nan","nan",2.2,False,25,True,0,0.21,0.29,"DC",0,0.139,-0.825,267.302,-29.256,0.384,-1.068,-1.962,"nan",0,5,"nan","nan"
"BICA19","2873","VVV 146;VVV-CL 146",266.50394,-28.81332,0.15,-0.01,"nan","nan","nan","vvv146;vvvcl146","UCC G000.1+00.0a","Q1P","nan","nan",6.3,False,35,True,0,0.69,0.46,"BC",6,0.179,-0.071,266.573,-28.834,0.437,-0.808,-2.051,-10.452,4,2,"nan","nan"
"BICA19","7","Ryu 539",261.56929,-26.00977,0.16,5.19,"nan","nan","nan","ryu539","UCC G000.1+05.1","Q1P","nan","nan",1.2,False,25,True,0,0.24,0.27,"DC",0,0.154,5.199,261.554,-26.014,0.16,-2.92,-5.006,"nan",0,0,"nan","nan"
"CASTRO22","0","UBC 1001",267.36,-29.23,0.1806,-0.8662,0.37,0.42,-1.94,"ubc1001","UCC G000.1-00.8a","Q1N","nan","nan",11.7,False,155,False,0,0.92,1.0,"AA",85,0.146,-0.932,267.364,-29.277,0.365,0.443,-1.928,-35.893,6,34,"nan","nan"
"BICA19","8","Ryu 540",271.19839,-31.11075,0.21,-4.68,"nan","nan","nan","ryu540","UCC G000.2-04.6","Q1N","nan","nan",2.2,False,80,True,0,0.17,0.44,"DC",45,0.203,-4.681,271.2,-31.122,0.228,-0.291,-4.309,-22.093,5,0,"nan","nan"
"CASTRO22","592","UBC 1593",267.03,-29.01,0.2206,-0.5058,0.58,0.57,-1.43,"ubc1593","UCC G000.2-00.5","Q1N","casado7;cwwdl7654","0.78;0.62",11.3,False,169,False,0,0.97,1.0,"AA",81,0.205,-0.516,267.027,-29.018,0.564,0.583,-1.401,"nan",0,33,"casado7;cwwdl7654","0.8;0.73"
"CASADO21;HUNT23","5;1285","Casado 7",267.03259,-28.99749,0.2324,-0.5012,0.572,0.527,-1.455,"casado7","UCC G000.2-00.5a","Q1N","ubc1593;cwwdl7654","0.78;0.66",6.3,False,122,False,0,0.59,0.86,"BA",85,0.209,-0.506,267.023,-29.019,0.561,0.583,-1.403,18.629,1,6,"ubc1593;cwwdl7654","0.8;0.78"
"CHI23_3","450","CWWDL 7654",267.0515,-28.9924,0.2453,-0.5128,0.578,0.51,-1.354,"cwwdl7654","UCC G000.2-00.5b","Q1N","ubc1593;casado7","0.62;0.66",4.9,False,82,False,0,0.72,0.91,"BA",59,0.212,-0.506,267.023,-29.018,0.57,0.59,-1.404,"nan",0,6,"ubc1593;casado7","0.73;0.78"
"BICA19","9","Cmg 451",265.83168,-28.32228,0.26,0.75,"nan","nan","nan","cmg451","UCC G000.2+00.7","Q1P","nan","nan",5.3,False,70,True,0,0.46,0.55,"CB",20,0.272,0.784,265.816,-28.299,0.376,-0.508,-2.577,-11.046,5,0,"nan","nan"
"KHARCHENKO12;BICA19;CANTAT20;DIAS21;HUNT23","1032;10;1125;1139;4969","Ruprecht 134;OCL 4;VDBH 252;vdBergh-Hagen 252;ESO 456 01;MWSC 2730",268.184,-29.537,0.2837,-1.6402,0.391,-1.653,-2.432,"ruprecht134;ocl4;vdbh252;vdberghhagen252;eso45601;mwsc2730","UCC G000.2-01.6","Q1N","nan","nan",5.1,False,500,False,0,1.0,1.0,"AA",404,0.285,-1.639,268.182,-29.533,0.396,-1.609,-2.445,-41.838,15,2,"nan","nan"
