"name","N_ucc","ucc_plx","ucc_pm_disp","N_h23","h23_plx","h23_pm_disp","h23_r50","CMDCl50","N_cg20","cg20_plx","cg20_pm_disp","cg20_r50","CST","C_lkl","C_dens","N_50","r_50_pc"
"dutrabica58",77,0.458,0.217,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.87,0.6,77,5.46
"eso45605",37,0.391,0.116,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.93,1.0,37,4.46
"vvv151",25,0.203,0.235,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.31,0.68,0,4.44
"db1",25,0.427,0.425,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.63,0.28,0,1.23
"fsr0001",34,0.081,0.187,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.09,0.51,34,27.29
"fsr0002",25,0.077,0.41,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.43,0.54,0,26.07
"ryu152",25,0.029,0.433,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.19,0.37,18,21.06
"ryu537",25,0.132,0.681,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.42,0.27,0,2.42
"ryu153",55,0.501,0.392,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.33,0.36,55,1.92
"db2",25,0.415,0.176,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.2,0.45,25,3.15
"vvv142",50,0.525,0.291,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.24,0.47,50,2.77
"ryu538",255,0.065,1.311,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.61,0.29,255,16.11
"db29",25,0.215,0.178,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.43,0.62,25,7.58
"ruprecht131",25,0.413,0.326,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.21,0.29,0,1.55
"vvv146",25,0.466,0.153,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.69,0.46,6,3.93
"ryu539",25,0.189,0.617,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.24,0.27,0,1.85
"ubc1001",85,0.394,0.057,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.92,1.0,85,8.64
"ryu540",45,0.257,0.447,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.17,0.44,45,2.49
"ubc1593",81,0.593,0.07,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.97,1.0,81,5.54
"casado7",85,0.59,0.093,69.0,0.561,0.151,1.66,0.998,"nan","nan","nan","nan",12.25607756,0.59,0.86,85,3.11
"cwwdl7654",59,0.599,0.084,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.72,0.91,59,2.38
"cmg451",25,0.405,0.197,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.46,0.55,20,3.81
"ruprecht134",404,0.425,0.137,289.0,0.395,0.18,2.83,0.62,80.0,0.39,0.125,2.46,25.29940435,1.0,1.0,404,3.49
"ufmg88",36,0.67,0.097,65.0,0.644,0.167,3.13,0.93,"nan","nan","nan","nan",12.19684001,0.95,1.0,36,2.74
"ryu541",60,0.423,0.699,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.16,0.3,60,1.24
"db18",50,0.276,0.219,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.58,0.58,50,7.27
"ocsn1",80,6.757,1.038,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.45,80,4.1
"schmitzj180863116",25,0.216,0.232,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.29,0.63,0,2.83
"hsc2",42,0.654,0.143,16.0,0.634,0.173,3.47,0.999,"nan","nan","nan","nan",3.79281947,0.99,0.67,42,4.4
"eso33723",25,0.301,0.839,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.29,0.23,0,3.87
"eso45544",25,0.383,0.067,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.22,0.59,18,6.91
"hsc3",35,0.664,0.104,24.0,0.641,0.152,2.95,0.457,"nan","nan","nan","nan",3.89131025,0.99,0.71,35,6.88
"db20",25,0.307,0.295,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.34,0.48,4,4.74
"hsc4",82,0.153,0.63,17.0,0.109,0.332,1.75,0.251,"nan","nan","nan","nan",3.31855229,0.67,0.38,82,3.99
"collinder351",47,0.452,0.055,199.0,0.447,0.119,2.35,0.997,"nan","nan","nan","nan",20.73508318,0.79,1.0,47,2.19
"ubc91",101,0.439,0.08,"nan","nan","nan","nan","nan",83.0,0.42,0.137,2.58,"nan",1.0,1.0,101,4.64
"db21",29,0.314,0.137,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.54,0.68,29,7.69
"hsc5",25,0.617,0.163,18.0,0.66,0.29,2.93,0.005,"nan","nan","nan","nan",4.37933926,0.16,0.43,7,6.36
"ubc1567",47,0.411,0.068,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,1.0,47,2.05
"cwwdl4491",108,0.41,0.126,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,1.0,108,2.77
"ascc96",124,1.174,0.155,172.0,1.14,0.346,2.55,0.972,98.0,1.154,0.224,2.87,18.24968143,1.0,0.9,124,2.48
"hsc6",63,0.312,0.091,21.0,0.248,0.12,2.69,0.596,"nan","nan","nan","nan",4.56902746,0.09,0.97,63,4.01
"ufmg92",85,0.411,0.11,102.0,0.382,0.181,2.4,0.989,"nan","nan","nan","nan",15.95475683,1.0,1.0,85,1.98
"dutrabica13",25,0.202,0.278,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.17,0.6,0,4.46
"ryu154",52,0.13,0.492,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.39,0.47,52,6.27
"hsc7",25,0.424,0.206,18.0,0.466,0.284,3.42,0.383,"nan","nan","nan","nan",3.11778224,0.16,0.43,16,5.21
"hsc8",25,0.376,0.094,28.0,0.346,0.125,2.7,0.967,"nan","nan","nan","nan",3.3259747,0.75,0.76,24,4.33
"hsc9",25,0.581,0.089,25.0,0.552,0.147,4.72,0.137,"nan","nan","nan","nan",5.88389487,0.96,0.98,21,3.81
"db19",25,"nan",0.229,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.31,0.66,10,"nan"
"db17",54,0.471,0.378,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.55,0.41,54,4.08
"hsc10",25,0.379,0.1,12.0,0.353,0.058,2.78,0.423,"nan","nan","nan","nan",4.55503328,0.52,1.0,0,2.99
"hsc11",25,0.678,0.084,19.0,0.651,0.257,1.42,0.985,"nan","nan","nan","nan",5.88491828,0.52,0.56,24,2.53
"ufmg71",33,0.684,0.093,26.0,0.653,0.145,1.51,0.995,"nan","nan","nan","nan",6.96329327,0.87,0.81,33,3.44
"dutrabica24",25,0.19,0.271,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.09,0.59,0,3.98
"ruprecht133",25,0.337,0.2,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.33,0.82,0,2.33
"ryu544",45,0.515,0.603,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.29,0.33,45,1.13
"db25",25,0.505,0.355,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.17,0.41,0,1.5
"hsc12",30,0.988,0.082,28.0,0.948,0.225,2.0,0.987,"nan","nan","nan","nan",8.02224254,0.96,0.76,30,4.92
"ryu155",25,0.133,0.607,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.33,0.24,0,2.19
"hsc13",32,0.444,0.093,25.0,0.405,0.147,3.49,0.176,"nan","nan","nan","nan",4.30110168,0.95,1.0,32,3.01
"ufmg93",74,0.349,0.11,67.0,0.322,0.164,2.46,0.334,"nan","nan","nan","nan",12.70604021,1.0,1.0,74,3.17
"hsc14",25,0.457,0.06,62.0,0.431,0.18,2.7,0.847,"nan","nan","nan","nan",9.54840562,0.13,0.78,22,2.86
"ryu156",25,0.14,0.604,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.18,0.24,0,2.08
"ryu157",25,0.174,0.796,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.2,0.23,0,1.84
"ruprecht168",25,0.159,0.255,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.1,0.66,0,5.31
"dolidze50",25,0.311,1.062,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.29,0.29,0,6.08
"hsc15",75,0.145,0.373,12.0,0.095,0.162,7.58,0.121,"nan","nan","nan","nan",3.95622793,0.09,0.46,75,9.43
"ngc6519",38,0.101,0.156,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.21,0.7,38,19.87
"ryu545",60,0.329,0.35,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.6,0.56,60,1.68
"mwsc5708",25,0.204,0.762,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.14,0.21,0,5.13
"ryu546",31,0.358,0.346,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.16,0.33,31,1.22
"cwwdl1671",44,0.335,0.084,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.44,1.0,44,2.52
"dutrabica28",25,0.189,0.318,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.4,0.58,0,4.77
"ubc1002",67,0.303,0.058,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.81,1.0,67,8.16
"ufmg83",25,0.325,0.074,112.0,0.289,0.201,3.06,0.787,"nan","nan","nan","nan",15.24766336,0.41,1.0,0,1.79
"cwnu2146",25,0.657,0.151,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.94,0.6,23,3.23
"ryu547",98,0.187,1.803,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.94,0.28,98,3.58
"hsc16",25,0.334,0.376,13.0,0.32,0.257,4.54,0.002,"nan","nan","nan","nan",3.23881642,0.24,0.41,0,2.7
"ufmg95",35,0.88,0.096,51.0,0.842,0.218,2.56,0.999,"nan","nan","nan","nan",9.92764123,0.97,0.94,35,2.55
"ryu548",35,0.068,0.463,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.69,0.33,35,8.13
"dutrabica30",48,0.094,0.165,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.58,0.86,48,18.88
"ascc98",52,0.215,0.297,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.27,0.47,52,7.17
"db31",25,0.314,0.265,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.44,0.42,0,2.13
"mwsc5706",25,0.159,0.669,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.29,0.24,0,6.04
"cwnu2569",45,0.447,0.129,42.0,0.413,0.154,2.07,0.955,"nan","nan","nan","nan",7.59369227,0.33,0.72,45,2.02
"oc0001",216,0.381,0.136,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.99,0.91,216,4.2
"ubc336",49,0.362,0.064,178.0,0.354,0.171,2.98,0.43,22.0,0.31,0.1,1.69,17.22142952,0.72,1.0,49,2.01
"ryu158",118,0.105,0.734,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.31,0.4,118,6.37
"cwwdl1676",79,0.402,0.106,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.53,1.0,79,2.46
"hsc17",25,0.785,0.155,15.0,0.786,0.29,1.77,0.09,"nan","nan","nan","nan",3.33797141,0.79,0.55,17,3.89
"cwnu1785",79,0.361,0.09,67.0,0.333,0.131,4.6,0.155,"nan","nan","nan","nan",9.80864387,0.87,0.87,79,4.35
"ryu549",25,0.117,0.577,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.68,0.24,0,2.49
"ryu159",25,0.206,0.721,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.13,0.21,0,1.84
"fsr0009",25,0.108,0.112,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.2,0.61,18,23.97
"cwnu2050",27,0.671,0.103,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.86,27,1.86
"ryu550",25,0.429,0.548,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.49,0.32,0,0.75
"db32",25,0.251,0.385,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.09,0.43,0,3.01
"oc0002",71,0.837,0.188,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.73,71,2.57
"dutrabica33",25,0.297,0.31,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.6,0.58,0,2.25
"ryu160",25,0.212,0.507,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.2,0.28,0,1.37
"ufmg63",68,0.839,0.18,57.0,0.805,0.274,2.03,0.992,"nan","nan","nan","nan",11.73481149,1.0,0.73,68,2.6
"hsc18",27,0.228,0.161,16.0,0.197,0.266,4.88,0.015,"nan","nan","nan","nan",4.26584295,0.2,0.55,27,8.8
"hsc19",25,0.132,0.262,15.0,0.114,0.161,7.8,0.018,"nan","nan","nan","nan",3.80920741,0.33,0.63,0,6.61
"eso45660",55,0.113,0.102,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.38,0.86,55,26.77
"ryu551",25,0.099,0.633,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.46,0.24,0,3.82
"hsc20",35,0.367,0.084,28.0,0.335,0.234,2.27,1.0,"nan","nan","nan","nan",5.7125119,0.98,1.0,35,3.65
"ryu552",25,"nan",0.423,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.35,0.33,20,"nan"
"fsr0010",25,0.317,0.805,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.2,0.25,0,4.04
"ryu553",40,0.396,0.22,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.18,0.47,40,2.35
"ryu161",44,0.174,0.532,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.65,0.4,44,5.35
"db59",25,0.133,0.202,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.6,0.47,6,21.65
"trumpler31",25,0.193,0.302,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.13,0.55,0,4.52
"vdbh253",520,0.402,0.221,283.0,0.372,0.18,1.46,0.823,196.0,0.403,0.232,1.68,25.89555275,1.0,0.79,520,3.04
"hsc23",25,0.294,0.213,12.0,0.3,0.209,3.52,0.004,"nan","nan","nan","nan",3.16021721,0.31,0.46,17,6.83
"hsc25",25,0.069,0.54,18.0,0.049,0.321,12.55,0.193,"nan","nan","nan","nan",3.11946157,0.71,0.29,0,5.9
"schmitzj181623004",51,0.143,0.19,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.27,0.66,51,10.58
"db35",48,0.322,0.138,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.81,0.88,48,5.51
"db36",33,0.161,0.165,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.86,0.66,33,11.2
"hsc26",52,0.407,0.101,110.0,0.36,0.29,6.36,0.082,"nan","nan","nan","nan",5.45991637,0.58,0.84,52,4.07
"eso45672",25,0.206,0.22,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.41,0.65,0,3.81
"hsc27",25,0.997,0.321,16.0,0.964,0.277,2.03,0.933,"nan","nan","nan","nan",3.26361533,0.56,0.36,0,2.28
"hxhwl29",97,1.692,0.2,130.0,1.65,0.319,2.81,0.998,"nan","nan","nan","nan",17.38183976,1.0,0.8,97,2.13
"cwnu1494",35,0.623,0.083,47.0,0.586,0.182,2.44,0.999,"nan","nan","nan","nan",6.91809786,1.0,1.0,35,2.61
"cwwdl14643",108,1.693,0.225,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.98,0.82,108,2.18
"ryu554",25,0.176,0.581,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.22,0.24,0,1.49
"mwsc4355",25,0.141,0.443,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.61,0.38,0,5.98
"ufmg89",73,0.39,0.088,37.0,0.356,0.088,1.9,0.946,"nan","nan","nan","nan",9.30621441,0.97,1.0,73,2.69
"hsc31",25,0.307,0.19,824.0,0.278,0.707,6.59,0.09,"nan","nan","nan","nan",4.30801655,0.15,0.66,0,3.7
"ryu555",83,0.517,0.579,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.42,0.38,83,1.69
"db38",33,0.482,0.227,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.17,0.42,33,5.19
"hsc32",41,0.41,0.281,16.0,0.409,0.304,2.29,0.072,"nan","nan","nan","nan",3.86723893,0.13,0.45,41,9.01
"db39",25,0.389,0.39,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.21,0.3,0,2.02
"hsc34",41,0.723,0.175,28.0,0.705,0.252,4.34,0.998,"nan","nan","nan","nan",4.95071058,0.97,0.56,41,4.55
"hsc35",25,0.56,0.069,47.0,0.52,0.202,1.47,0.993,"nan","nan","nan","nan",7.2146609,0.54,1.0,25,2.34
"db40",32,0.568,0.195,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.47,0.44,32,5.99
"hsc36",66,0.531,0.113,53.0,0.494,0.179,2.5,0.093,"nan","nan","nan","nan",9.75543412,0.72,0.84,66,3.07
"eso58704",25,0.251,0.512,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.35,0.28,0,2.9
"mwsc5713",69,0.253,0.592,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.46,0.41,69,10.46
"lisciii3503",25,0.913,0.382,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.23,0.31,0,2.58
"db41",76,0.453,0.218,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.79,0.49,76,5.97
"ryu556",50,0.127,0.516,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.65,0.41,50,3.66
"db42",27,0.508,0.261,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.16,0.39,27,2.52
"bica27",38,0.447,0.274,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.42,0.44,38,3.84
"hsc37",85,0.121,0.308,55.0,0.11,0.326,8.15,0.014,"nan","nan","nan","nan",3.25998737,1.0,0.73,85,6.01
"ngc6520",449,0.577,0.199,407.0,0.544,0.37,1.29,0.999,44.0,0.574,0.164,0.88,21.85448443,1.0,1.0,449,2.72
"ryu162",53,0.158,0.509,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.11,0.46,53,3.5
"hsc38",25,0.377,0.099,579.0,0.344,0.496,5.43,0.108,"nan","nan","nan","nan",8.5290316,0.28,0.69,22,5.71
"vvv144",25,0.053,0.431,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.35,0.48,8,30.74
"vvv145",25,0.075,0.147,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.54,0.62,12,23.27
"hsc39",29,0.494,0.088,24.0,0.465,0.127,3.11,0.945,"nan","nan","nan","nan",3.93121819,0.77,0.78,29,4.0
"mwsc4312",25,0.28,0.554,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.16,0.27,0,3.64
"hsc40",111,0.372,0.123,89.0,0.363,0.227,2.11,0.103,"nan","nan","nan","nan",9.14696286,0.83,0.79,111,3.21
"ryu557",67,0.07,0.771,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.48,0.29,67,7.06
"cwnu2612",68,0.539,0.249,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.39,0.45,68,8.42
"eso52020",25,0.101,0.538,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.19,0.34,0,7.2
"ryu558",36,0.112,0.306,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.56,0.54,36,6.23
"ryu163",29,0.376,0.483,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.71,0.31,29,1.08
"ryu164",25,0.098,0.378,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.15,0.39,25,4.16
"hsc44",25,0.173,0.264,15.0,0.144,0.151,7.13,0.094,"nan","nan","nan","nan",3.90090996,0.12,0.55,0,3.19
"ryu559",25,0.318,0.677,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.16,0.23,0,1.01
"ryu560",30,0.408,0.4,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.32,0.29,30,1.21
"ryu561",25,0.102,0.567,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.53,0.28,0,2.57
"cwwdl13663",42,0.456,0.077,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.88,1.0,42,2.11
"ubc92",127,0.412,0.126,277.0,0.407,0.236,3.17,0.801,105.0,0.37,0.128,2.78,23.11082568,1.0,1.0,127,2.47
"cwwdl962",128,0.412,0.136,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,1.0,128,2.4
"dutrabica44",25,0.235,0.372,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.09,0.44,0,2.72
"eso39701",25,0.218,0.569,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.24,0.26,0,3.87
"collinder468",25,0.092,0.334,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.11,0.48,0,8.22
"ryu562",81,0.223,0.311,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.2,0.64,81,4.96
"dutrabica45",25,0.119,0.458,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.2,0.35,0,5.38
"cmg469",40,0.28,0.193,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.73,0.45,40,8.52
"bica28",25,0.27,0.361,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.19,0.32,0,3.12
"dutrabica60",25,0.147,0.396,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.18,0.43,0,4.95
"cwnu1391",28,0.47,0.063,26.0,0.432,0.178,0.65,0.084,"nan","nan","nan","nan",3.00524025,0.13,0.87,28,2.29
"teutschj181462814",25,0.148,0.494,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.28,0.27,0,1.77
"hsc46",965,1.91,4.734,24.0,2.444,0.962,0.71,0.307,"nan","nan","nan","nan",6.44169629,1.0,0.5,965,6.78
"cwnu1517",25,0.36,0.094,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.33,0.69,23,3.96
"db47",25,0.273,0.15,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.07,0.66,8,6.39
"db46",25,0.312,0.253,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.38,0.49,0,1.96
"ryu564",25,0.212,0.723,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.09,0.21,0,1.51
"cwnu2279",25,0.391,0.068,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.09,0.62,14,6.17
"vvv153",28,0.324,0.145,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.22,0.57,28,3.59
"hsc52",47,3.899,1.075,20.0,4.059,0.612,4.76,0.987,"nan","nan","nan","nan",7.29895434,0.72,0.47,47,9.82
"ubc93",87,0.345,0.083,134.0,0.315,0.192,1.87,0.107,52.0,0.334,0.14,1.72,13.15541597,0.93,1.0,87,2.53
"cwnu2379",25,0.347,0.08,19.0,0.314,0.1,1.37,0.418,"nan","nan","nan","nan",4.52103143,0.62,0.78,16,3.27
"ryu565",25,0.173,0.476,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.2,0.32,0,1.51
"mwsc5712",85,0.022,0.223,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.91,0.74,85,85.94
"ryu566",25,0.178,0.489,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.28,0.25,0,1.96
"ryu165",68,0.205,0.61,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.13,0.4,68,2.84
"ryu567",25,0.167,0.56,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.13,0.27,0,1.74
"hsc55",38,0.651,0.107,27.0,0.609,0.135,3.11,0.98,"nan","nan","nan","nan",3.57136666,0.76,0.63,38,3.62
"hsc56",27,0.351,0.078,81.0,0.322,0.207,2.62,0.028,"nan","nan","nan","nan",5.69120295,0.58,0.79,27,2.9
"ryu568",25,0.32,0.545,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.72,0.31,0,1.0
"cwnu1613",25,0.529,0.444,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.17,0.31,0,3.08
"ryu569",81,0.362,0.376,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.47,0.41,81,2.65
"ryu570",25,0.287,0.639,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.46,0.25,0,1.01
"ryu166",25,0.493,0.582,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.34,0.25,0,0.65
"ryu571",68,0.127,0.447,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.13,0.52,68,6.41
"ryu572",88,0.189,0.698,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.11,0.39,88,2.62
"ryu573",51,0.186,0.263,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.18,0.65,51,4.85
"ryu574",51,0.022,0.287,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.61,0.67,51,33.06
"ryu167",43,0.081,0.264,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.28,0.63,43,9.34
"fsr0014",51,0.328,0.334,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.31,0.45,51,7.8
"ryu575",36,0.183,0.291,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.29,0.6,36,3.18
"ubc1003",51,0.428,0.062,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.74,1.0,51,1.97
"ufmg78",79,0.431,0.099,67.0,0.399,0.171,1.81,0.514,"nan","nan","nan","nan",11.44882511,0.88,0.99,79,1.82
"ryu576",39,0.437,0.394,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.45,0.34,39,1.13
"hsc59",25,0.187,0.41,13.0,0.16,0.169,10.13,0.498,"nan","nan","nan","nan",3.09467193,0.24,0.31,0,4.51
"ryu577",301,0.331,0.358,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.69,301,2.02
"ryu578",82,0.299,0.344,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.79,0.57,82,3.89
"ryu579",53,0.185,0.245,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.5,0.67,53,5.19
"alessi167",25,0.558,1.292,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.06,0.28,0,3.65
"ufmg90",103,0.487,0.132,109.0,0.458,0.213,2.52,0.063,"nan","nan","nan","nan",9.27041152,0.98,0.92,103,3.05
"cwnu488",38,0.424,0.082,41.0,0.392,0.102,2.33,0.881,"nan","nan","nan","nan",8.83283493,0.6,0.88,38,2.33
"cwnu2859",104,0.503,0.126,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.99,0.9,104,3.18
"ryu580",85,0.144,0.383,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.55,0.56,85,5.45
"cwnu1615",39,0.698,0.083,60.0,0.651,0.258,3.44,0.461,"nan","nan","nan","nan",6.69134541,0.93,0.88,39,3.13
