"name","N_ucc","ucc_plx","ucc_pm_disp","N_h23","h23_plx","h23_pm_disp","h23_r50","CMDCl50","N_cg20","cg20_plx","cg20_pm_disp","cg20_r50","CST","C_lkl","C_dens","N_50","r_50_pc"
"cwnu2284",42,0.382,0.079,147.0,0.336,0.153,18.1,0.983,"nan","nan","nan","nan",7.24617641,0.77,0.57,42,8.91
"cwnu2306",236,0.314,0.217,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.91,0.48,236,10.38
"cwnu1203",28,0.949,0.183,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.93,0.43,28,1.81
"cwnu1778",25,0.719,0.618,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.54,0.18,0,2.43
"fsr1185",27,0.929,0.156,33.0,0.904,0.191,4.18,0.869,"nan","nan","nan","nan",8.67148786,0.6,0.47,27,2.72
"cwnu2194",25,0.302,0.266,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.12,0.29,0,3.66
"hsc1769",28,0.343,0.214,21.0,0.313,0.104,7.29,0.048,"nan","nan","nan","nan",5.43884867,0.15,0.4,28,6.53
"vdb92",944,0.899,0.448,345.0,0.871,0.25,2.53,0.876,"nan","nan","nan","nan",21.99555372,1.0,0.56,944,3.27
"cwwdl14341",220,0.892,0.309,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.0,0.51,220,4.47
"fsr1187",56,0.168,0.21,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.91,0.41,56,10.74
"hxhwl21",44,0.498,0.085,61.0,0.464,0.113,4.96,0.998,"nan","nan","nan","nan",8.70079323,0.95,0.6,44,3.91
"ngc2353",313,0.859,0.178,288.0,0.828,0.17,2.42,0.999,204.0,0.823,0.207,2.48,24.58112725,1.0,0.73,313,2.54
"hsc1770",191,0.363,0.361,74.0,0.342,0.264,19.16,0.998,"nan","nan","nan","nan",8.6090848,1.0,0.41,191,7.93
"hsc1771",85,0.197,0.163,34.0,0.181,0.14,4.78,0.874,"nan","nan","nan","nan",5.82959353,0.89,0.47,85,8.12
"ngc2351",45,0.316,0.209,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.72,0.39,45,4.51
"cwwdl3508",25,0.284,0.27,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.48,0.27,0,3.79
"cwwdl10909",29,0.242,0.093,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.82,0.42,29,14.06
"cwnu1962",34,0.337,0.103,15.0,0.328,0.067,1.01,0.997,"nan","nan","nan","nan",3.93641185,0.41,0.5,34,4.75
"cwnu1079",25,0.943,0.267,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.21,0.27,0,2.78
"hsc1772",49,0.785,0.2,63.0,0.756,0.236,9.81,0.965,"nan","nan","nan","nan",11.57220038,0.87,0.46,49,8.45
"fsr1191",61,0.139,0.111,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.86,0.5,61,19.46
"fsr1192",29,0.186,0.18,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.5,0.36,29,9.7
"ubc629",25,0.349,0.24,"nan","nan","nan","nan","nan",16.0,0.315,0.289,10.58,"nan",0.46,0.38,0,8.84
"melotte111",100,11.643,6.075,271.0,11.57,2.276,3.74,0.988,153.0,11.595,1.199,4.69,21.81184153,0.97,1.0,100,9.32
"ubc448",53,0.336,0.061,59.0,0.307,0.095,2.92,0.997,22.0,0.304,0.121,2.35,10.53698112,0.95,1.0,53,3.81
"fof1408",73,0.235,0.116,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.93,0.48,73,12.87
"cwwdl277",29,0.335,0.158,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.2,0.34,29,6.69
"cwnu2496",97,0.357,0.127,61.0,0.331,0.127,4.95,0.999,"nan","nan","nan","nan",9.0550482,0.98,0.61,97,6.44
"cwwdl12024",47,0.249,0.094,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.45,0.45,47,15.54
"fsr1194",115,0.206,0.159,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.98,0.5,115,12.14
"cwnu362",35,0.479,0.113,78.0,0.441,0.166,14.21,0.991,"nan","nan","nan","nan",5.29079152,0.47,0.52,35,5.04
"berkeley76",185,0.196,0.157,76.0,0.152,0.126,3.3,0.943,37.0,0.248,0.215,4.16,7.52135252,1.0,0.6,185,7.12
"hsc1773",37,0.438,0.248,15.0,0.411,0.098,4.26,0.997,"nan","nan","nan","nan",4.82530777,0.32,0.34,37,5.05
"cwwdl14490",25,0.954,0.067,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.69,0.62,0,2.26
"cwnu2575",32,0.358,0.076,46.0,0.324,0.093,7.17,0.998,"nan","nan","nan","nan",6.75227866,0.78,0.58,32,5.77
"hxhwl48",30,0.953,0.09,44.0,0.904,0.175,2.51,1.0,"nan","nan","nan","nan",9.95406796,0.78,0.63,30,2.66
"cwnu2736",37,0.36,0.078,50.0,0.287,0.145,3.36,0.983,"nan","nan","nan","nan",4.33638216,0.7,0.72,37,3.23
"ruprecht6",126,0.18,0.174,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.95,0.5,126,7.92
"dc4",27,0.137,0.081,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.69,0.48,27,8.92
"cwnu1472",61,0.325,0.087,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.84,0.53,61,10.83
"fsr1195",42,0.196,0.112,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.54,0.43,42,12.91
"cwnu330",57,0.401,0.112,27.0,0.381,0.097,1.87,0.985,"nan","nan","nan","nan",5.96338052,0.87,0.6,57,3.92
"cwwdl12566",25,0.261,0.288,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.31,0.35,0,3.23
"berkeley33",462,0.204,0.204,214.0,0.174,0.123,3.32,1.0,126.0,0.133,0.201,3.88,22.34518609,1.0,0.68,462,5.7
"hsc1775",68,0.225,0.164,24.0,0.206,0.071,3.95,1.0,"nan","nan","nan","nan",3.38851533,0.57,0.44,68,9.05
"fsr1197",87,1.2,0.176,140.0,1.166,0.259,7.09,1.0,"nan","nan","nan","nan",15.58014406,0.93,0.58,87,5.79
"ubc1362",52,0.472,0.077,36.0,0.441,0.084,2.8,1.0,"nan","nan","nan","nan",9.29013052,0.88,0.7,52,5.85
"bdsb96",245,0.889,0.404,117.0,0.868,0.37,6.24,0.815,65.0,0.868,0.401,0.93,6.6513942,1.0,0.48,245,3.08
"ngc2368",32,0.234,0.115,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.28,0.42,32,10.19
"oc0376",39,0.794,0.109,50.0,0.753,0.158,2.28,0.969,"nan","nan","nan","nan",6.88375503,0.66,0.68,39,2.49
"cwnu332",36,0.796,0.106,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.75,0.66,36,2.48
"cwnu1033",27,0.797,0.098,33.0,0.768,0.176,2.15,0.994,"nan","nan","nan","nan",4.56094647,0.42,0.39,27,6.31
"ubc1363",42,0.631,0.068,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.89,0.65,42,4.66
"cma23",33,0.64,0.058,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.93,0.62,33,3.41
"gulliver13",96,0.655,0.163,123.0,0.619,0.234,3.68,0.706,72.0,0.628,0.18,3.24,13.96909301,0.97,0.51,96,3.02
"cwwdl14343",25,0.89,0.106,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.78,0.52,25,1.67
"oc0377",25,0.878,0.118,140.0,0.852,0.2,5.96,0.999,"nan","nan","nan","nan",14.56653811,0.94,0.44,22,1.69
"cwnu1668",55,0.256,0.104,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.83,0.49,55,8.52
"cwnu403",34,0.386,0.087,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.94,0.58,34,2.19
"fsr1199",25,0.122,0.225,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.1,0.43,0,5.72
"cwnu1907",30,0.408,0.088,18.0,0.392,0.073,0.81,0.991,"nan","nan","nan","nan",4.98189417,0.63,0.49,30,5.99
"cwnu1383",165,0.275,0.204,54.0,0.236,0.104,3.11,0.98,"nan","nan","nan","nan",9.11109816,0.39,0.5,165,5.29
"fsr1200",25,0.218,0.253,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.48,0.38,0,3.6
