DB,ID,RA_ICRS,DE_ICRS,GLON,GLAT,plx,pmRA,pmDE,distmod,extin,logage,FeH
12,Alessi_43,132.6413,-41.7505,262.56072,1.49916,1.032,-5.546,3.869,9.84,0.95,6.91,-0.05
124,Alessi_44,295.46192,1.52528,40.12621,-10.48486,1.496,0.463,-2.325,9.14,0.89,8.2,0.03
1234,Alessi_5,160.77724,-61.1417,288.06879,-2.02912,2.501,-13.956,2.462,7.98,0.4,7.78,-0.16
1234,Alessi_53,97.34646,9.17774,202.25854,-0.66922,0.198,1.01,-1.096,13.15,1.93,7.88,-0.2
1234,Alessi_59,103.07453,2.19333,211.07763,1.19122,0.227,0.155,-1.044,11.71,1.2,7.88,-0.09
1234,Alessi_6,220.0859,-66.12368,313.65448,-5.54563,1.1,-9.336,-5.73,9.69,0.7,8.63,-0.0
1234,Alessi_60,105.62068,-1.1202,215.18905,1.94563,0.336,-1.215,-0.466,11.99,0.83,8.5,-0.15
1234,Alessi_62,283.965,21.58878,52.78326,8.73179,1.591,-1.188,-1.422,8.95,0.78,8.95,0.1
124,Alessi_8,232.44298,-51.227,326.5187,4.2462,1.479,-5.899,-5.729,9.13,0.29,8.11,0.07
1234,Alessi_9,266.0186,-47.18231,344.14989,-9.16197,4.822,10.333,-9.328,6.58,0.1,8.55,-0.29
124,Alessi_Teutsch_11,304.13748,52.051,87.43857,9.26238,1.52,-0.139,-1.295,9.02,0.3,8.21,0.07
124,Alessi_Teutsch_12,255.42636,-58.981,330.63719,-10.33944,1.632,-2.134,-8.952,8.97,0.41,7.94,-0.06
124,Alessi_Teutsch_3,118.24498,-53.05083,266.45764,-12.85427,1.417,-5.378,8.926,9.19,0.58,8.11,0.01
124,Alessi_Teutsch_5,332.19145,61.0962,104.52152,4.18069,1.111,-1.895,-3.207,9.74,1.14,7.17,-0.05
124,Alessi_Teutsch_8,180.6891,-60.935,297.05188,1.37976,0.967,-6.625,1.63,9.96,0.56,8.17,0.15
1234,Antalova_2,262.43753,-32.53125,355.13774,0.95172,0.842,-1.916,-1.115,10.12,1.17,6.92,0.01
1234,Archinal_1,283.71,5.55151,38.2612,1.77435,0.526,-0.258,-2.354,9.71,3.04,7.51,0.12
123,Aveni_Hunter_1,354.24115,48.205,110.32675,-12.83563,2.348,-0.117,-2.844,8.02,0.5,7.02,-0.14
123,BDSB91,96.32575,-10.551,219.47109,-10.54766,1.033,-1.486,0.205,9.8,1.47,6.74,0.01
123,BDSB93,104.2952,-8.202,220.88747,-2.4634,0.77,0.425,0.615,10.05,1.77,7.08,-0.11
12,BDSB96,106.3489,-12.32455,225.48213,-2.5453,0.844,-3.843,1.071,10.3,1.35,6.89,-0.14
1234,BH_111,167.28009,-63.8323,291.93842,-3.16619,0.339,-8.728,2.52,11.98,1.28,8.35,0.07
123,BH_121,174.5939,-63.3771,294.85466,-1.65693,0.387,-5.93,0.575,11.76,1.11,6.64,-0.09
1234,BH_132,186.74677,-64.06125,300.26156,-1.31635,0.362,-7.145,1.362,11.69,1.24,8.2,0.28
12,BH_151,205.0497,-61.7313,308.67175,0.59584,0.176,-5.853,-1.878,13.23,4.08,6.99,0.34
1234,BH_164,222.05742,-66.4138,314.25386,-6.14405,2.364,-6.634,-9.857,8.1,0.31,7.51,0.13
1234,BH_19,121.769,-32.35213,249.87966,-0.0203,0.19,-0.793,5.254,12.79,1.96,8.51,-0.1
1234,BH_200,252.483,-44.19176,341.14501,0.27737,0.406,-2.728,-1.226,11.5,2.02,7.52,0.12
124,BH_202,253.7826,-40.947,344.26068,1.59616,0.551,-1.869,-3.802,11.06,1.87,8.67,0.12
12,BH_205,254.059,-40.63635,344.63405,1.62783,0.569,-0.15,-1.083,11.03,1.3,6.83,0.11
1234,BH_211,255.546,-41.1115,344.95667,0.45057,0.524,-1.076,-2.117,11.07,2.18,8.63,0.12
1234,BH_217,259.0754,-40.81455,346.78363,-1.51236,0.31,-0.396,-2.743,11.64,3.27,7.54,0.24
1234,BH_221,259.65698,-32.32579,353.98655,3.00758,0.884,2.175,-2.784,10.11,1.04,7.07,0.0
12,BH_23,123.5074,-36.28565,253.95846,-0.96744,2.257,-7.101,7.35,8.26,0.12,7.43,-0.05
124,BH_245,266.55623,-29.7,359.41641,-0.51014,0.336,-0.497,-2.194,12.11,4.69,7.11,0.12
1234,BH_37,128.9487,-43.61155,262.34681,-1.78462,0.243,-2.812,5.676,12.68,3.32,8.24,-0.07
123,BH_54,132.40745,-44.3542,264.46633,-0.28348,0.42,-5.35,7.572,11.63,2.53,6.94,0.31
1234,BH_55,134.043,-39.51648,261.52578,3.74708,0.185,-4.626,4.834,13.33,1.79,9.36,-0.12
1234,BH_56,134.28,-43.22436,264.46708,1.47821,1.078,-5.235,6.204,9.62,0.7,7.25,-0.02
1234,BH_72,142.84496,-53.0375,275.49248,-1.17264,0.11,-4.996,2.66,13.16,2.53,8.7,-0.06
1234,BH_78,145.95226,-56.5724,279.18483,-2.61396,0.15,-3.565,2.935,13.66,3.01,8.6,0.15
123,BH_84,150.3388,-58.2173,282.05945,-2.41407,0.2,-4.599,4.304,11.9,1.69,8.13,0.2
1234,BH_85,150.465,-49.56736,276.91396,4.54241,0.106,-4.774,6.613,13.87,1.1,9.36,-0.03
123,BH_87,151.15095,-55.386,280.7255,0.12271,0.416,-7.652,1.213,11.39,1.36,7.35,0.03
134,BH_88,151.5748,-51.595,278.69109,3.33225,0.386,-9.15,8.65,10.03,1.08,8.93,-0.14
123,BH_90,153.0575,-58.069,283.13573,-1.45298,0.369,-3.537,2.718,11.8,1.39,8.31,-0.02
1234,BH_92,154.78,-56.424,282.98796,0.43172,0.388,-5.288,2.323,11.76,1.33,8.33,-0.1
123,BH_99,159.48205,-59.1498,286.54453,-0.59353,2.225,-14.172,0.485,8.23,0.27,7.98,45.1
123,Barkhatova_1,313.4239,46.037,86.21943,0.80469,0.476,-3.44,-3.049,11.35,1.18,8.42,0.05
1234,Basel_1,282.038,-5.8705,27.33165,-1.9453,0.525,0.14,-5.02,10.91,1.24,8.25,0.1
1234,Basel_10,34.87008,58.304,134.30038,-2.61106,0.442,-0.615,0.403,11.56,1.66,7.85,0.1
1234,Basel_11a,109.3031,-13.9813,228.28141,-0.75906,0.709,-1.336,0.124,10.67,0.33,7.9,-0.04
1234,Basel_11b,89.54715,21.9739,187.43469,-1.11269,0.534,1.673,-4.013,11.13,1.56,8.44,0.04
123,Basel_17,167.638,-59.047,290.26836,1.32171,0.438,-6.314,1.017,11.44,0.45,7.98,0.04
123,Basel_18,201.9761,-62.3088,307.15449,0.2636,0.508,-5.384,-3.34,11.27,0.65,7.44,0.14
1234,Basel_4,87.2352,30.19517,179.29701,1.26978,0.286,-0.272,-4.085,12.26,1.48,8.3,-0.18
1234,Basel_8,98.5582,8.02405,203.83546,-0.14016,0.625,-1.084,-1.422,10.82,0.64,7.84,0.03
123,Berkeley_1,2.42255,60.4689,117.8061,-1.9867,0.235,-1.514,-1.236,12.72,1.52,8.48,-0.09
1234,Berkeley_10,54.8878,66.48975,138.61485,8.88271,0.372,-1.595,-0.087,11.51,1.94,8.9,-0.3
1234,Berkeley_101,353.19478,64.207,114.50319,2.6301,0.177,-2.114,-0.764,13.15,2.84,8.64,-0.01
1234,Berkeley_104,0.8683,63.587,117.62789,1.21029,0.198,-3.481,-2.14,13.03,1.36,8.89,-0.11
