DB,ID,RA_ICRS,DE_ICRS,GLON,GLAT,plx,pmRA,pmDE
1_2,"FSR_1199,MWSC 1097",106.58667,-12.56878,225.80586,-2.45068,nan,nan,nan
1_2,"FSR_1200,MWSC 1117",107.00674,-12.46613,225.90284,-2.0392,nan,nan,nan
1_2_3_4_6,"NGC 2204,Melotte 44,Collinder 88,OCL 572,ESO_556_7,FSR_1201,MWSC 2204",93.88523,-18.67149,226.01888,-16.1112,0.209,-0.56,1.964
1_2_3_4_6_7,"NGC 2318,MWSC 1050",104.87148,-13.79043,226.13466,-4.4936,0.716,-1.775,-2.173
1_2_6,"FSR_1202,MWSC 1110",106.85789,-12.79671,226.13001,-2.32,0.339,-1.988,2.393
1_2,"FSR_1203,MWSC 1319",115.94332,-8.01902,226.14007,7.81019,nan,nan,nan
1_2,"FSR_1204,MWSC 1121",107.07848,-12.89325,226.31466,-2.17325,nan,nan,nan
1_2,"FSR_1205,MWSC 716",91.0562,-20.14804,226.33564,-19.14566,nan,nan,nan
1_2_3_4_6,"Czernik 30,OCL 574,MWSC 1253",112.796,-9.945,226.33585,4.15853,0.113,-0.592,-0.097
1,MWSC 1458,123.77835,-4.0801,226.55001,16.53,nan,nan,nan
1_2_3_6,"Berkeley 25,OCL 576,MWSC 955",100.31124,-16.48695,226.61027,-9.63373,0.087,-0.113,0.861
1_2_3_6,"FSR_1209,MWSC 1105",106.776,-13.82614,227.00932,-2.86265,0.2,-0.942,0.708
1_3_6,"Gaia 1,Siriusly",101.46831,-16.73987,227.32834,-8.74442,0.156,-0.06,1.239
1_2_3_4_6,"Haffner 8,OCL 578,MWSC 1200",110.777,-12.308,227.47731,1.29358,0.314,-1.626,0.448
1_2_3_4_6,"Berkeley 36,OCL 577,FSR_1214,MWSC 1156",109.10024,-13.19347,227.49248,-0.56608,0.206,-1.725,0.874
1_2_3_4_6_7,"NGC 2396,Collinder 148,OCL 579,MWSC 1232",112.02383,-11.72815,227.54449,2.64223,0.656,-1.493,-0.227
1_2_3_4_6,"Melotte 72,Collinder 156,OCL 581,FSR_1215,MWSC 1293",114.61853,-10.7,227.86458,5.36855,0.372,-4.159,3.681
1_2_3_4_6,"Haffner 6,OCL 582,MWSC 1177",109.9983,-13.151,227.86385,0.22672,0.206,-1.226,1.964
1_2_3_4_6_7,"M 48,NGC 2548,Melotte 85,Collinder 179,OCL 584,FSR_1217,MWSC 1454",123.4235,-5.75497,227.87399,15.38553,1.29,-1.303,1.038
1_2_3_4_6,"Haffner 4,OCL 583,MWSC 1094",106.51495,-14.9997,227.93913,-3.62383,0.223,-0.407,0.918
1_2_3_4_6_7,"NGC 2374,Collinder 139,OCL 585,MWSC 1206",111.008,-13.24547,228.41023,1.04938,0.76,-4.647,0.672
1_2,"FSR_1220,MWSC 1318",115.92401,-11.03578,228.78639,6.32539,nan,nan,nan
1,"Platais 5,HIP 28944 Group,MWSC 763",92.40803,-22.14801,228.80001,-18.74999,nan,nan,nan
1_2,"FSR_1221,MWSC 1390",119.44763,-9.14357,228.85536,10.27626,nan,nan,nan
1_2_3_4_6,"Melotte 71,Collinder 155,OCL 587,FSR_1222,MWSC 1287",114.383,-12.06189,228.94837,4.50705,0.437,-2.444,4.21
1_2,"FSR_1223,MWSC 1109",106.8429,-15.98102,228.9587,-3.7903,nan,nan,nan
1_2,"NGC 2413,MWSC 1262",113.28751,-13.04362,229.29236,3.0966,nan,nan,nan
1_2_3_4_6,"NGC 2401,Collinder 149,OCL 588,MWSC 1241",112.35078,-13.968,229.6668,1.85397,0.203,-1.37,1.673
1_2_3_4_6_7,"NGC 2360,Melotte 64,Collinder 134,OCL 589,FSR_1225,MWSC 1165",109.44052,-15.63943,229.81016,-1.41543,0.91,0.384,5.618
1_2,"FSR_1227,MWSC 1256",112.97348,-13.84816,229.85151,2.44188,nan,nan,nan
1_2,"FSR_1226,MWSC 1260",113.21334,-13.73822,229.8672,2.699,nan,nan,nan
1_2,"ASCC 40,MWSC 1266",113.40776,-13.76022,229.9776,2.85387,nan,nan,nan
1_2_3_4_6,"Haffner 23,OCL 590,MWSC 1127,MWSC 26",107.3846,-16.86907,229.98826,-3.73401,0.448,-0.526,-0.07
1_2_3_4_6,"Waterloo 7,MWSC 1220",111.532,-15.09043,230.27576,0.62215,0.267,-1.521,1.695
1_2_3_4_6_7,"NGC 2423,Melotte 70,Collinder 153,OCL 592,MWSC 1283",114.29317,-13.86314,230.48466,3.55641,1.048,-0.741,-3.607
1_2_3_4_6,"NGC 2506,Melotte 80,Collinder 170,OCL 593,FSR_1230,MWSC 1406",120.01,-10.77256,230.56904,9.93838,0.292,-2.569,3.912
1_2_3_6,"Czernik 29,OCL 595,MWSC 1234",112.09362,-15.39287,230.79987,0.95449,0.244,-1.511,1.302
1_2_3_4_6,"Haffner 10,OCL 594,FSR_1231,MWSC 1237",112.14814,-15.365,230.8005,1.01399,0.261,-1.144,1.559
1_3_4_6_7,"NGC 2358,MWSC 1159",109.261,-17.143,231.06083,-2.26857,1.066,-1.352,0.561
1_2_3_4_6_7,"M 47,NGC 2422,Melotte 68,Collinder 152,OCL 596,Escorial 21,MWSC 1278",114.156,-14.49133,230.96992,3.13495,2.085,-7.055,1.018
1_2_3_4_6_7,"M 41,NGC 2287,Melotte 52,Collinder 118,OCL 597,ESO_557_14,MWSC 978",101.5037,-20.72216,230.9876,-10.43029,1.357,-4.352,-1.372
1_2_3_4_6,"NGC 2425,Haffner 12,OCL 599,FSR_1238,MWSC 1291",114.57644,-14.8835,231.51134,3.29926,0.257,-3.571,2.004
1_2_3_6,"Teutsch 49,DSH J0718.4-1734,DC 2,MWSC 1172",109.60941,-17.57454,231.59801,-2.17543,0.315,-0.38,0.118
1_2_3_4_6,"Haffner 9,OCL 600,FSR_1240,MWSC 1214",111.175,-17.0,231.79387,-0.58598,0.337,-0.844,0.424
1_3_6_7_9,"AT 4,Alessi-Teutsch 4,Alessi 26,TRSG 3,UBC 12",126.03293,-8.405,231.61886,16.24899,2.227,-8.311,4.184
1_2_3_4_6_7,"M 46,NGC 2437,Melotte 75,Collinder 159,OCL 601,FSR_1241,MWSC 1313",115.45,-14.83877,231.88667,4.05729,0.601,-3.849,0.386
1_2_3_6,"Auner 1,ESO_558_8,MWSC 1087",106.06226,-19.74545,231.99062,-6.15684,0.097,-0.292,1.003
1_2,"FSR_1243,MWSC 1269",113.63292,-15.95198,232.00331,1.98494,nan,nan,nan
1_2_3_4_6,"Ruprecht 26,OCL 602,FSR_1244,MWSC 1285",114.271,-15.59094,231.986,2.69707,0.921,-3.207,0.071
1_2_3_4_6,"Tombaugh 1,Haffner 1,OCL 603,ESO_558_4,FSR_1246,MWSC 1060",105.124,-20.569,232.33763,-7.31237,0.371,-2.564,3.833
1_2_3_4_6,"Ruprecht 10,OCL 604,ESO_558_10,MWSC 1098",106.61858,-20.1234,232.56651,-5.8596,0.43,-0.849,0.566
1_2_3_4_6,"Tombaugh 2,Haffner 2,OCL 605,ESO_558_7,FSR_1250,MWSC 1076",105.7717,-20.81703,232.83278,-6.87968,0.085,-0.464,1.351
1_2,"FSR_1251,MWSC 1521",129.7774,-7.53604,232.91107,19.85418,nan,nan,nan
1_2_3_4_6_7,"Ruprecht 151,OCL 606,MWSC 1309",115.30839,-16.27981,233.07653,3.22953,0.877,-4.255,3.298
1_2_3_4_6_7,"NGC 2428,MWSC 1297",114.82962,-16.53343,233.07181,2.7049,0.71,-3.304,2.476
1_2_3_4_6,"FSR_1252,MWSC 1195",110.6573,-18.703,233.06247,-1.8247,0.269,-1.821,2.99
1_2_3_4_6,"FSR_1253,SAI 76,MWSC 1221",111.57241,-18.433,233.23503,-0.93271,0.223,-2.097,1.878
1_2,"Ruprecht 11,OCL 607,ESO_558_12,MWSC 1108",106.84118,-20.78753,233.25705,-5.97268,nan,nan,nan
1_2_3_4_6_7,"NGC 2539,Melotte 83,Collinder 176,OCL 611,MWSC 1439",122.66106,-12.83425,233.72273,11.10894,0.759,-2.329,-0.564
1_2_3_4_6,"Ruprecht 16,OCL 612,ESO_559_7,MWSC 1198",110.79406,-19.48,233.80919,-2.07668,0.304,-2.164,2.501
1_2_3_6,"Berkeley 75,OCL 614,ES0490SC50,MWSC 993",102.25556,-23.99158,234.30269,-11.18481,0.098,-0.253,1.133
1_2_6,"ASCC 36,MWSC 1151",108.626,-21.123,234.31848,-4.64089,1.014,-2.242,2.001
1_2_3_4_6,"Ruprecht 37,Berkeley 40,OCL 615,MWSC 1353",117.452,-17.249,234.94314,4.52713,0.195,-1.7,2.417
1_2_3_4_6,"NGC 2383,Collinder 141,OCL 616,ESO_559_8,MWSC 1213",111.17201,-20.949,235.27293,-2.45692,0.289,-1.646,1.909
1_2_4_6,"NGC 2384,Collinder 143,Collinder 142,OCL 618,ESO_559_9,MWSC 1216",111.28841,-21.02055,235.38744,-2.39495,0.336,-2.308,3.113
1_2_3_4_6,"Teutsch 61,DSH J0734.6-1947,SAI 78,FSR_1266,MWSC 1270",113.662,-19.79391,235.37703,0.14535,0.31,-2.286,3.145
1_2_3_4_6,"NGC 2432,Melotte 73,Collinder 157,OCL 620,ESO_560_6,FSR_1267,MWSC 1310",115.2217,-19.078,235.47277,1.77833,0.493,-0.69,1.614
1_2_3_4_6,"ESO_559_13,MWSC 1238",112.177,-20.81,235.59677,-1.56457,0.4,-1.399,1.715
1_2,"FSR_1270,MWSC 1219",111.525,-21.1967,235.64731,-2.28393,nan,nan,nan
1_2_3_4_6,"NGC 2479,Trumpler 8,Collinder 167,OCL 623,ESO_561_1,FSR_1271,MWSC 1380",118.77201,-17.7312,236.00119,5.36761,0.623,-4.326,1.059
1_2_3_4_6,"Haffner 5,OCL 624,ESO_492_8,FSR_1272,MWSC 1168",109.493,-22.66,236.05896,-4.63452,0.571,0.974,-4.06
1_2_3_4_6,"Czernik 31,OCL 625,ESO_560_3,MWSC 1281",114.24149,-20.515,236.27178,0.26924,0.297,-1.946,3.035
1_2_3_4_6,"NGC 2421,Melotte 67,Collinder 151,OCL 626,ESO_56_2,FSR_1274,MWSC 1277",114.05073,-20.62432,236.28001,0.06,0.345,-3.131,3.097
1_2_6,"FSR_1275,SAI 77,MWSC 1233",112.01974,-21.79,236.38864,-2.16079,0.424,-2.125,2.208
1_6,"ASCC 33,MWSC 1077",105.62567,-24.74539,236.33071,-8.73482,2.324,-9.781,1.143
1_2,MWSC 5668,94.87794,-29.36344,236.76289,-19.34725,nan,nan,nan
1_2,"NGC 2352,ESO_492_5,MWSC 1143",108.27432,-24.03558,236.77314,-6.2589,nan,nan,nan
1_2_3_4_6,"Ruprecht 34,Berkeley 38,OCL 628,ESO_560_10,MWSC 1330",116.478,-20.38501,237.19567,2.15473,0.357,-2.145,1.044
1_2,"FSR_1280,MWSC 1571",132.10789,-11.19678,237.5046,19.75666,nan,nan,nan
1_2,MWSC 5029,131.40526,-11.65331,237.4925,18.93046,nan,nan,nan
1_3_4_6,"Alessi 13,Chi For Group,Harrington 2,Slotegraaf 3,MWSC 278,Ramakers 26",51.87747,-35.79716,237.47921,-55.84921,9.538,36.164,-4.636
1_2,"ASCC 37,MWSC 1169",109.51772,-24.48886,237.6988,-5.45732,nan,nan,nan
1_2_3_4_6,"NGC 2509,Melotte 81,Collinder 171,OCL 630,ESO_561_7,FSR_1282,MWSC 1410",120.1998,-19.056,237.84364,5.84552,0.364,-2.708,0.766
1_2_3_4_6,"Alessi 33,ASCC 32,MWSC 1069",105.70988,-26.512,237.97475,-9.43571,1.24,-3.307,3.477
1_2,"ASCC 39,MWSC 1261",113.28207,-22.94903,237.96639,-1.69229,nan,nan,nan
1_2,"FSR_1285,MWSC 950",100.00868,-28.77764,237.95142,-14.96998,nan,nan,nan
1_2_3_4_6,"Ruprecht 23,OCL 632,ESO_492_17,FSR_1286,MWSC 1248",112.665,-23.383,238.07405,-2.39841,0.341,-2.078,1.56
1,"Teutsch 99,DSH J0753.4-2029",118.35217,-20.4828,238.17001,3.62001,nan,nan,nan
1_2_3_4_6,"Trumpler 7,Collinder 146,OCL 635,ESO_492_16,FSR_1288,MWSC 1229",111.84376,-23.9506,238.21479,-3.33016,0.557,-2.484,3.329
1_2,"FSR_1289,MWSC 1123",107.1504,-26.15776,238.22525,-8.12008,nan,nan,nan
1_2,"Trumpler 6,Collinder 145,OCL 638,ESO_492_15,FSR_1290,MWSC 1223",111.60619,-24.19426,238.32703,-3.63654,nan,nan,nan
1_2,"Ruprecht 46,OCL 637,ESO_561_8,MWSC 1418",120.54442,-19.46282,238.36315,5.91093,nan,nan,nan
1_2_3_4_6_7,"NGC 2354,Collinder 131,OCL 639,ESO_492_6,FSR_1291,MWSC 1148",108.5091,-25.72398,238.38556,-6.83334,0.765,-2.877,1.843
1_2_3_4_6,"Ruprecht 25,OCL 641,ESO_493_1,MWSC 1280",114.19237,-23.3825,238.75188,-1.17105,0.115,-1.101,1.988
1_2,MWSC 5667,94.49577,-31.80089,239.07042,-20.50632,nan,nan,nan
1_2,MWSC 5042,140.2688,-7.47539,239.30246,28.47358,nan,nan,nan
1_2,"FSR_1295,MWSC 1479",125.73095,-17.53694,239.38636,11.09482,nan,nan,nan
1_2_3_4_6,"NGC 2243,Melotte 46,Collinder 98,OCL 644,ESO_426_16,FSR_1296,MWSC 880",97.395,-31.28338,239.47935,-18.01159,0.217,-1.279,5.489
1_2_6,"FSR_1298,MWSC 1377",118.41739,-22.34157,239.80001,2.72,0.273,-2.66,2.5
1_2_3_4_6_7,"M 93,NGC 2447,Melotte 76,Collinder 160,OCL 649,FSR_1301,MWSC 1324",116.13997,-23.8565,240.04533,0.14654,0.982,-3.563,5.073
1,"Teutsch 213,Teutsch J0743.1-2436",115.7959,-24.60768,240.54001,-0.5,nan,nan,nan
1_2,"ESO_561_5,MWSC 1402",119.82519,-22.68954,240.77224,3.65276,nan,nan,nan
1_2_3_4_6_7,"NGC 2448,ESO_493_8,MWSC 1323",116.0526,-24.83495,240.85326,-0.4111,0.888,-3.413,2.944
1_2,"FSR_1302,MWSC 1268",113.59662,-26.33411,241.07132,-3.07687,nan,nan,nan
1_2_3_4,"Alessi 18,DSH J0737.1-2623,MWSC 1284",114.2939,-26.38695,241.42105,-2.55619,0.128,-1.241,1.838
1_2_3_4_6,"Ruprecht 27,OCL 654,ESO_493_2,FSR_1305,MWSC 1286",114.423,-26.5132,241.58781,-2.51686,0.472,-1.23,0.428
1_3,"Ruprecht 32,OCL 651,ESO_493_9,MWSC 1327",116.29342,-25.53957,241.57249,-0.57458,0.181,-2.024,3.081
1_2,"Ruprecht 157,OCL 652,ESO_562_9,MWSC 1496",127.44992,-19.10751,241.6433,11.57693,nan,nan,nan
1_2_3_4_6_7,"NGC 2482,Collinder 166,OCL 653,ESO_494_3,MWSC 1382",118.794,-24.27394,241.6363,2.02179,0.725,-4.687,2.231
1_2,"FSR_1307,MWSC 1462",123.99969,-21.43561,241.78452,7.59278,nan,nan,nan
1,"FSR_1308,MWSC 1351",117.34723,-25.5724,242.08001,0.23,nan,nan,nan
1_2_3_4_6,"Haffner 16,OCL 655,ESO_493_20,FSR_1309,MWSC 1355",117.586,-25.458,242.091,0.47372,0.294,-2.811,2.995
1_2,"Haffner 25,OCL 656,ESO_493_15,MWSC 1346",117.16572,-25.94977,242.32247,-0.10219,nan,nan,nan
1_2_3_4_6,"Haffner 11,OCL 657,BH 3,ESO_429_3,FSR_1310,MWSC 1273",113.855,-27.708,242.38757,-3.53928,0.145,-1.475,3.149
1_2_3_4_6,"Haffner 7,OCL 661,BH 1,ESO_428_24,FSR_1311,MWSC 1197",110.733,-29.49658,242.67171,-6.79972,0.199,-1.541,2.945
1_6,Gaia 6,122.10581,-23.70302,242.74757,4.89415,0.235,-2.201,4.041
1,Gaia 5,110.80164,-29.72097,242.9,-6.85,nan,nan,nan
1_2_3_4_6,"Trumpler 9,Harvard 2,Collinder 168,OCL 663,ESO_494_5,FSR_1313,MWSC 1384",118.91536,-25.88324,243.07114,1.28361,0.344,-3.402,3.073
1_2,MWSC 5051,146.46708,-7.0025,243.27302,33.61913,nan,nan,nan
1_2_3_4_6,"NGC 2453,Collinder 162,OCL 670,ESO_493_12,MWSC 13409",116.90158,-27.194,243.27683,-0.93477,0.219,-2.336,3.414
1_2_3_4_6,"Ruprecht 42,Berkeley 41,OCL 669,ESO_494_8,MWSC 1388",119.40411,-25.92,243.33102,1.6402,0.121,-1.911,2.191
1_2_3_4_6,"Ruprecht 41,OCL 673,ESO_493_31,FSR_1318,MWSC 1378",118.44078,-26.975,243.78675,0.35595,0.204,-2.593,3.554
1_2_6,"Teutsch 25,DSH J0748.4-2754,SAI 80,MWSC 1345",117.112,-27.91311,243.99184,-1.13687,0.271,-2.529,3.406
1_2_3_4_6,"Haffner 14,OCL 674,BH 7,ESO_429_16,FSR_1319,MWSC 1326",116.182,-28.382,243.98538,-2.08145,0.231,-1.821,1.728
1_2,"FSR_1320,MWSC 1314",115.55065,-29.2262,244.4439,-2.98085,nan,nan,nan
1_3_7_9,UBC 21,130.35028,-20.69678,244.57819,12.89448,1.119,-6.506,2.473
1_2_3_4_6,"SAI 81,MWSC 1362",118.029,-28.12084,244.58261,-0.54563,0.214,-2.002,2.948
1,Cmg 1042,111.83193,-31.20644,244.64001,-6.75,nan,nan,nan
1_2_6,"Ruprecht 49,OCL 676,ESO_494_15,MWSC 1423",120.80724,-26.77,244.71615,2.26241,0.369,-3.487,3.835
1_2,"ASCC 43,MWSC 1374",118.2744,-28.17301,244.73837,-0.38662,nan,nan,nan
1_2_6,"NGC 2483,OCL 677.1,ESO_430_2,MWSC 1383",118.92,-27.905,244.80277,0.23978,0.237,-2.285,3.255
1_2_3_4_6,"Haffner 21,OCL 677,ESO_494_11,MWSC 1411",120.28819,-27.212,244.84639,1.63604,0.283,-1.432,1.566
1_2_3_4_6,"Haffner 13,OCL 678,BH 5,ESO_429_10,MWSC 1305",115.13906,-30.0685,245.00192,-3.70686,1.742,-6.184,5.887
1_2_3_4_6,"Ruprecht 44,OCL 681,ESO_430_5,MWSC 1398",119.71077,-28.56605,245.73,0.49,0.156,-2.378,2.935
1_2_6,"Ruprecht 53,OCL 682,ESO_494_32,MWSC 1442",122.71733,-26.99082,245.82001,3.58,0.956,-2.877,0.99
1_2_3_4_6,"Czernik 32,King 24,OCL 683,BH 11,ESO_494_20,FSR_1325,MWSC 1357",117.62,-29.853,245.88996,-1.73724,0.196,-2.962,2.48
1_2_3_4_6_7,"NGC 2527,Collinder 174,OCL 685,ESO_430_15,MWSC 1428",121.24165,-28.13277,246.07561,1.86239,1.551,-5.559,7.297
1_2_3,"Ruprecht 43,OCL 684,ESO_430_6,Turner-Majaess 1,MWSC 1401",119.81773,-28.87,246.03802,0.41053,0.105,-2.23,3.041
1_2,"Turner 12,MWSC 1392",119.50326,-29.28474,246.2475,-0.04076,nan,nan,nan
1,Turner 13a,119.45341,-29.38465,246.31001,-0.13,nan,nan,nan
1_2,"Ruprecht 57,OCL 686,ESO_494_37,MWSC 1457",123.7803,-26.97239,246.32526,4.38225,nan,nan,nan
1_2,"Ruprecht 30,OCL 687,ESO_429_15,MWSC 1315",115.60695,-31.46568,246.4195,-4.04358,nan,nan,nan
1_2_3_4_6,"ESO_429_5,MWSC 1482",125.837,-29.503,249.44575,4.46305,0.295,-4.248,3.58
1_2_3_4_6,"Ruprecht 35,OCL 689,BH 10,ESO_429_18,MWSC 1333",116.553,-31.2785,246.65835,-3.24944,0.244,-2.256,3.136
1_2_3_4_6,"NGC 2489,Melotte 79,Collinder 169,OCL 690,BH 15,ESO_430_3,FSR_1330,MWSC 1386",119.06707,-30.06,246.71197,-0.76804,0.47,-2.529,2.102
1_2,"FSR_1332,MWSC 1153",108.69922,-34.87697,246.76213,-10.74574,nan,nan,nan
1_2_3_4_6,"Haffner 22,BH 21,OCL 691,ESO_430_24,FSR_1333,MWSC 1450",123.112,-27.9024,246.77663,3.37532,0.331,-1.635,2.878
1_2_3_4_6,"Haffner 20,OCL 692,BH 16,ESO_430_4,MWSC 1385",119.062,-30.367,246.97213,-0.93114,0.178,-2.294,3.43
1_2_3_4_6,"FSR_1335,MWSC 1448",123.01474,-28.986,247.63731,2.70987,0.131,-2.67,3.172
1_2_3_4_6,"Haffner 17,OCL 694,BH 12,ESO_429_22,FSR_1337,MWSC 1360",117.899,-31.812,247.69925,-2.52853,0.247,-1.183,1.873
1_2_3_4_6,"NGC 2533,Collinder 175,OCL 695,BH 18,ESO_430_19,FSR_1338,MWSC 1432",121.7693,-29.8758,247.79448,1.31573,0.334,-3.185,5.041
1_2,"FSR_1339,MWSC 1416",120.42792,-30.72102,247.89023,-0.11484,nan,nan,nan
1_2_3_4_6,"Haffner 15,OCL 696,BH 8,ESO_368_12,FSR_1340,MWSC 1328",116.381,-32.846,247.94713,-4.15736,0.238,-2.154,3.289
1_2_3,"AM 2,Arp-Madore 2,ESO_368_7,MWSC 1294",114.683,-33.84041,248.11937,-5.88113,0.039,-0.513,1.225
1_2_3_4_6,"FSR_1342,MWSC 1391",119.4816,-31.509,248.13477,-1.21823,0.229,-2.364,2.69
1_2_3_4_6,"Ruprecht 50,OCL 698,BH 17,ESO_430_12,MWSC 1424",120.872,-30.86765,248.21701,0.13059,0.414,-1.726,2.363
1_2,"FSR_1345,MWSC 1531",130.22674,-25.38898,248.36945,10.02621,nan,nan,nan
1_6,Alessi 36,106.57677,-37.5417,248.49703,-13.42056,3.598,-9.669,7.046
1,SAI 83,118.33786,-32.55673,248.53001,-2.59,nan,nan,nan
1_2,"SAI 82,MWSC 1366",118.05806,-33.04218,248.82725,-3.04037,nan,nan,nan
1_2_6,"FSR_1347,SAI 79,MWSC 1343",117.01272,-33.70763,248.96001,-4.13,0.265,-2.137,3.126
1_2_3_4_6,"NGC 2571,Collinder 181,OCL 701,BH 27,ESO_431_5,MWSC 1469",124.72433,-29.76014,249.11001,3.52,0.732,-4.902,4.271
1_2_3_4_6,"Ruprecht 48,OCL 702,ESO_430_11,FSR_1349,MWSC 1421",120.681,-32.045,249.1274,-0.63356,0.242,-2.517,2.827
1_2,"Collinder 187,OCL 704,ESO_431_9,MWSC 1483",126.05016,-29.16562,249.27404,4.8081,nan,nan,nan
1_2,MWSC 5665,92.60585,-42.20796,249.35305,-25.06754,nan,nan,nan
1_2_3_4_6,"ESO_368_11,FSR_1353,MWSC 1320,MWSC 1321",116.0921,-34.62987,249.38281,-5.24944,0.432,-0.853,2.278
1_2_3_4_6,"Haffner 26,OCL 707,ESO_430_29",123.90751,-30.84974,249.62042,2.3264,0.305,-1.584,2.371
1_2_3_4_6,"NGC 2567,Melotte 86,Collinder 180,OCL 708,BH 26,ESO_431_3,FSR_1354,MWSC 1467",124.645,-30.631,249.79328,2.97434,0.542,-2.961,2.58
1_2_3_4_6,"NGC 2580,Collinder 183,OCL 709,BH 28,ESO_431_6,MWSC 1476",125.371,-30.3045,249.87681,3.6752,0.196,-2.302,1.91
1_3_4_6,"BH 19,ESO_430_21,MWSC 1433",121.76824,-32.35363,249.88058,-0.02165,0.205,-2.89,3.547
1,"BH 4,ESO_368_6,MWSC 1288",114.44029,-36.05686,249.98,-7.12,nan,nan,nan
1_2_3_4_6,"Ruprecht 54,OCL 710,BH 20,ESO_430_23,MWSC 1444",122.84397,-31.947,250.03456,0.96381,0.196,-2.667,3.124
1_2,"Ruprecht 31,OCL 711,ESO_368_9,MWSC 1317",115.74461,-35.59056,250.0835,-5.96879,nan,nan,nan
1_2_4_6,"DC 3,MWSC 1226",111.75035,-37.52156,250.27869,-9.708,0.095,-1.215,2.698
1_2,"FSR_1357,MWSC 1446",122.91402,-32.26121,250.32991,0.84117,nan,nan,nan
1_2_3_4_6,"Ruprecht 58,OCL 712,ESO_430_27,FSR_1358,MWSC 1456",123.71,-31.94253,250.4361,1.57936,0.267,-2.68,1.388
1_2,MWSC 5062,153.08713,-9.18002,250.62337,37.05135,nan,nan,nan
1_2,"ESO_432_3,MWSC 1540",130.7272,-27.86656,250.65,8.8956,nan,nan,nan
1_2,"ESO_252_14,MWSC 493",78.99362,-45.2384,250.87171,-35.26267,nan,nan,nan
1_2_3,"Kronberger 85,DSH J0758.3-3446,SAI 84,MWSC 1395",119.58839,-34.77,250.96533,-2.84324,0.069,-1.265,2.815
1_2_3_4_6,"FSR_1360,MWSC 1413",120.397,-34.482,251.06938,-2.12569,0.382,-1.807,2.838
1_2,MWSC 5604,47.44802,-42.87898,251.3997,-57.90621,nan,nan,nan
1_2_3_4_6,"FSR_1361,MWSC 1358",117.6593,-36.39728,251.55952,-5.02441,0.366,-2.531,4.006
1_2_3_4_6,"NGC 2627,Melotte 87,Collinder 188,OCL 714,BH 38,ESO_431_20,FSR_1362,MWSC 1514",129.3095,-29.952,251.57946,6.65041,0.522,-2.381,2.879
1_2_3_4_6,"NGC 2451B,Platais 7,HIP 37742 Group,MWSC 1322",116.11909,-37.861,252.22418,-6.81693,2.719,-9.628,4.715
1_2_3_4_6,"FSR_1363,MWSC 1438",122.6566,-34.616,252.18266,-0.62807,0.24,-1.465,1.98
1_2_3_4_6,"NGC 2588,Collinder 186,OCL 715,BH 29,ESO_370_10,MWSC 1480",125.79833,-32.972,252.28034,2.45551,0.193,-1.891,2.521
1_2_3_4_6,"NGC 2451,Collinder 161,OCL 716,BH 9,ESO_311_8,NGC 2451A,Escorial 24,MWSC 1308",115.752,-38.264,252.4371,-7.26558,5.165,-21.058,15.328
1_2_6,"NGC 2220,ESO_255_4,MWSC 841",95.22886,-44.70008,252.53963,-23.8747,1.985,-6.916,9.592
1_2,"FSR_1366,MWSC 1631",137.48629,-25.48258,252.63659,15.09011,nan,nan,nan
1_2,"FSR_1367,MWSC 1627",136.44176,-26.33234,252.67498,13.82385,nan,nan,nan
1_2_3_4,"Teutsch 50,DSH J0807.1-3603,MWSC 1434",121.7885,-36.05886,253.01038,-2.00595,0.227,-2.89,2.32
1_2_6,"Ruprecht 59,OCL 717,ESO_370_7,MWSC 1472",124.82574,-34.48211,253.06377,0.93187,0.15,-2.579,3.238
1_2_6,"Ruprecht 152,OCL 719,BH 14,ESO_311_19,MWSC 1379",118.627,-38.23217,253.5393,-5.29117,0.093,-1.284,2.23
1_2_3_4_6_7,"NGC 2477,Melotte 78,Collinder 165,OCL 720,BH 13,ESO_311_17,FSR_1369,MWSC 1363",118.04551,-38.53477,253.56899,-5.83748,0.677,-2.439,0.885
1_2_3_4_6,"SAI 86,MWSC 1435",122.055,-36.60801,253.5889,-2.12173,0.219,-3.111,2.949
1_6,"ASCC 45,MWSC 1460",124.05125,-35.65113,253.67552,-0.24889,0.246,-2.868,3.188
1_2,"Collinder 196,OCL 721,ESO_432_7,MWSC 1552",131.26855,-31.63582,253.95532,6.96891,nan,nan,nan
1_2_3_6,"Ivanov 8,BPI 8,MWSC 1470",124.7907,-35.65176,254.01322,0.2481,0.135,-2.35,3.58
1,"Collinder 198,OCL 722,ESO_432_9,MWSC 1553",131.39099,-31.68629,254.06001,7.02,nan,nan,nan
1_2,MWSC 5060,152.61255,-14.04429,254.38519,33.25312,nan,nan,nan
1_2_3_4_6,"NGC 2658,Melotte 90,Collinder 195,OCL 723,BH 48,ESO_432_4,FSR_1373,MWSC 1542",130.86602,-32.6621,254.56017,6.06988,0.197,-2.481,2.269
1_2_3_4_6_7,"NGC 2546,Collinder 178,OCL 726,BH 22,ESO_369_7,MWSC 1447",123.0736,-37.64387,254.90085,-2.00542,1.045,-3.734,3.892
1_2_3_4_6,"NGC 2568,Pismis 1,OCL 727,BH 24,ESO_370_5,FSR_1374,MWSC 1466",124.575,-37.10182,255.11348,-0.71227,0.147,-2.608,3.966
