DB,ID,RA_ICRS,DE_ICRS,GLON,GLAT,plx,pmRA,pmDE
1,Ryu 595,269.20712,-23.73877,5.75001,0.5,nan,nan,nan
1,Ryu 596,270.22088,-24.21428,5.8,-0.54,nan,nan,nan
1,Ryu 599,264.00083,-20.71075,5.85001,6.19,nan,nan,nan
1_2,MWSC 4500,293.33805,-33.23394,5.96948,-22.66188,nan,nan,nan
1,Ryu 601,269.59252,-23.60795,6.04001,0.26,nan,nan,nan
1,Ryu 602,275.3208,-26.41453,6.08001,-5.64,nan,nan,nan
1_2,MWSC 5321,246.70365,-8.92392,6.0801,26.61471,nan,nan,nan
1,Ryu 603,272.58061,-25.07102,6.10001,-2.83,nan,nan,nan
1_2_6,"ASCC 95,MWSC 2861",274.02355,-25.70887,6.16001,-4.28001,0.831,-0.654,-2.146
1_2,"FSR_22,MWSC 2751",269.115,-23.1941,6.17859,0.84662,nan,nan,nan
1,Ryu 604,270.3658,-23.84082,6.19001,-0.47,nan,nan,nan
1,"VVV 155,VVV-CL 155",270.24778,-23.76775,6.20001,-0.34,nan,nan,nan
1,Ryu 605,270.56804,-23.89997,6.23001,-0.66001,nan,nan,nan
1,"VVV 152,VVV-CL 152",268.28102,-22.63889,6.27001,1.78999,nan,nan,nan
1,Ryu 170,271.68498,-24.39293,6.30001,-1.79,nan,nan,nan
1,Ryu 606,274.48304,-25.59062,6.46,-4.59,nan,nan,nan
1,Ryu 607,266.45197,-21.32441,6.53001,3.92,nan,nan,nan
1_2_3_4_6,"NGC 6469,Melotte 182,Collinder 353,OCL 21,ESO_589_18,MWSC 2735",268.2777,-22.30486,6.55647,1.96208,0.587,0.638,0.813
1_2,"FSR_23,MWSC 2758",269.4022,-22.87264,6.5893,0.7792,nan,nan,nan
1,Ryu 171,271.75914,-23.67547,6.96001,-1.5,nan,nan,nan
1_2,MWSC 4475,287.04152,-30.23127,6.98072,-16.59831,nan,nan,nan
1,Ryu 609,273.65381,-24.57783,7.00001,-3.45001,nan,nan,nan
1,Ryu 172,268.60584,-21.83029,7.12001,1.94,nan,nan,nan
1,Ryu 173,268.54939,-21.7417,7.17001,2.02999,nan,nan,nan
1,Ryu 174,266.19042,-20.39555,7.20001,4.61,nan,nan,nan
1,"Teutsch 72,DSH J1802.8-2249",270.71279,-22.81425,7.24001,-0.24,nan,nan,nan
1_2,"NGC 6546,Collinder 365,OCL 24,ESO_521_29,MWSC 2812",271.85534,-23.31383,7.31902,-1.40121,nan,nan,nan
1,Ryu 610,273.18063,-23.9466,7.35001,-2.77,nan,nan,nan
1,Ryu 611,266.11643,-20.08552,7.43,4.83,nan,nan,nan
1,Ryu 612,269.4965,-21.94064,7.44001,1.17,nan,nan,nan
1,Ryu 176,271.87068,-23.0803,7.53001,-1.3,nan,nan,nan
1,"FSR_25,MWSC 2664",265.4268,-19.57419,7.53001,5.65,nan,nan,nan
1,Ryu 177,268.96904,-21.52963,7.55001,1.8,nan,nan,nan
1,Ryu 613,265.29538,-19.39345,7.62001,5.84999,nan,nan,nan
1,Ryu 614,273.05823,-23.56702,7.63,-2.49,nan,nan,nan
1,Ryu 615,274.74558,-24.37378,7.65001,-4.23,nan,nan,nan
1_2_3_4_6,"M 21,NGC 6531,Melotte 188,Collinder 363,OCL 26,ESO_521_19,MWSC 2796",271.04222,-22.49965,7.66348,-0.3499,0.798,0.537,-1.521
1_2,MWSC 5323,246.76046,-7.16766,7.71085,27.60498,nan,nan,nan
1,Ryu 178,270.06217,-21.85019,7.78001,0.76,nan,nan,nan
1_2,"FSR_27,MWSC 2621",263.03855,-17.88531,7.77505,8.46215,nan,nan,nan
1,Ryu 616,266.05213,-19.6063,7.81,5.13,nan,nan,nan
