filename,ra_min,ra_max,dec_min,dec_max
GaiaSource_048682-048814_p.csv.gz,0.000,360.000,58.730,61.938
GaiaSource_048815-048922_p.csv.gz,0.000,360.000,60.438,63.445
GaiaSource_048923-049038_p.csv.gz,2.434,9.990,61.191,64.942
GaiaSource_049039-049162_p.csv.gz,0.000,360.000,41.820,66.431
GaiaSource_049163-049527_p.csv.gz,42.005,51.423,42.616,49.305
GaiaSource_049528-049851_p.csv.gz,38.579,50.358,44.999,51.250
GaiaSource_049852-050130_p.csv.gz,39.642,48.458,48.148,52.797
GaiaSource_050131-050376_p.csv.gz,43.209,55.378,48.155,54.335
GaiaSource_050377-050654_p.csv.gz,50.419,59.993,51.264,56.440
GaiaSource_050655-050902_p.csv.gz,45.013,58.166,51.258,57.394
GaiaSource_050903-051194_p.csv.gz,46.977,57.262,54.344,60.051
GaiaSource_051195-051461_p.csv.gz,34.622,54.436,48.147,60.431
GaiaSource_051462-051672_p.csv.gz,37.505,44.994,51.657,56.246
GaiaSource_051673-051878_p.csv.gz,30.626,42.522,51.264,57.388
GaiaSource_051879-052055_p.csv.gz,30.006,40.900,53.966,57.774
GaiaSource_052056-052208_p.csv.gz,32.734,40.341,55.878,59.674
GaiaSource_052209-052434_p.csv.gz,35.126,49.086,54.343,60.421
GaiaSource_052435-052636_p.csv.gz,42.864,53.991,57.405,61.936
GaiaSource_052637-052821_p.csv.gz,38.581,52.092,57.410,63.437
GaiaSource_052822-052987_p.csv.gz,36.009,44.709,58.927,63.070
GaiaSource_052988-053152_p.csv.gz,39.462,49.975,60.437,64.945
GaiaSource_053153-053326_p.csv.gz,40.006,63.997,54.348,66.430
GaiaSource_053327-053509_p.csv.gz,57.277,66.966,55.880,60.424
GaiaSource_053510-053785_p.csv.gz,56.519,71.994,57.405,63.437
GaiaSource_053786-053992_p.csv.gz,54.003,62.994,58.169,62.684
GaiaSource_053993-054357_p.csv.gz,56.845,79.996,60.438,66.435
GaiaSource_054358-054882_p.csv.gz,68.831,90.000,61.961,69.409
