DB,ID,RA_ICRS,DE_ICRS,GLON,GLAT,plx,pmRA,pmDE,distmod,extin,logage,FeH
1234,ASCC_10,51.86394,34.99615,155.70996,-17.76066,1.462,-1.737,-1.368,9.04,0.82_0.63_0.1_nan,8.42,0.11
1234,ASCC_101,288.399,36.35015,68.01069,11.59984,2.495,0.924,1.364,7.99,0.152_0.19_0.0_nan,8.62,0.0
1234,ASCC_105,295.44344,27.37262,62.78424,2.14672,1.784,1.461,-1.635,8.68,0.45_0.41_0.104_nan,7.91,0.05
1234,ASCC_107,297.12982,21.9725,58.87448,-1.88154,1.114,-0.144,-5.156,9.68,1.372_1.69_0.2_nan,7.44,0.35
1234,ASCC_108,298.455,39.3311,74.42157,5.9655,0.837,-0.519,-1.69,10.28,0.464_0.34_0.05_nan,8.33,0.09
1234,ASCC_11,53.06643,44.84924,150.55603,-9.22451,1.142,0.95,-3.03,9.64,0.917_0.6_0.271_nan,8.39,-0.06
1234,ASCC_110,300.742,33.55796,70.43674,1.39373,0.496,0.278,-3.134,11.0,1.228_0.75_0.15_nan,8.8,0.14
124,ASCC_111,302.84595,37.4883,74.67167,2.07103,1.167,-1.159,-1.524,9.61,0.605_0.39_nan_nan,8.47,0.08
1234,ASCC_113,317.99249,38.60442,82.88413,-6.6462,1.762,0.798,-3.688,8.74,0.279_0.13_0.0_nan,8.46,-0.05
1234,ASCC_114,325.005,53.98256,97.07919,1.01115,1.064,-3.716,-3.421,9.79,1.216_0.92_0.26_nan,7.68,0.04
1234,ASCC_115,329.21666,51.5245,97.47609,-2.50658,1.312,-0.549,-0.551,9.32,0.945_0.72_0.15_nan,8.35,0.05
1234,ASCC_12,72.43409,41.73866,163.00591,-1.87658,0.938,-0.634,-2.794,10.02,1.088_0.7_0.15_nan,8.36,-0.11
124,ASCC_123,340.47787,54.1737,104.61623,-4.02671,4.274,12.201,-1.48,6.82,0.306_0.0_nan_nan,7.72,-0.01
1234,ASCC_127,347.205,64.88019,112.31324,4.14558,2.625,7.474,-1.781,7.81,0.668_0.43_0.15_nan,7.5,0.15
1234,ASCC_128,350.13542,54.51796,109.90118,-6.03784,1.508,1.213,0.186,9.06,0.613_0.41_0.2_nan,8.4,0.02
1234,ASCC_13,78.32826,44.50078,163.46465,3.21344,0.899,-0.477,-1.743,10.14,0.915_0.7_0.2_nan,7.62,-0.08
123,ASCC_16,81.1175,1.64,201.11177,-18.45084,2.841,1.363,-0.015,7.68,0.224_0.2_0.021_nan,7.09,-0.06
123,ASCC_19,81.952,-1.965,204.87779,-19.45397,2.762,1.112,-1.234,7.7,0.189_0.13_0.052_nan,7.14,0.08
12,ASCC_21,82.179,3.50205,199.96057,-16.61052,2.88,1.392,-0.621,7.67,0.236_0.1_nan_nan,7.03,-0.01
1234,ASCC_23,95.08072,46.6925,167.49854,14.42945,1.588,1.098,-0.627,8.92,0.325_0.34_0.1_nan,8.48,0.02
1234,ASCC_29,103.57276,-1.66248,214.7367,-0.12343,0.949,-1.001,-1.015,10.02,0.4_0.19_0.05_nan,7.97,-0.1
1234,ASCC_30,104.257,-6.2225,219.10676,-1.59566,0.898,-1.595,-0.166,10.14,0.635_0.35_0.146_nan,8.24,0.05
1234,ASCC_32,105.525,-26.536,237.92404,-9.59521,1.235,-3.307,3.477,9.49,0.22_0.26_0.079_nan,7.43,-0.0
1234,ASCC_41,116.745,0.0785,219.29222,12.36897,3.356,0.652,-3.99,7.36,0.079_0.0_0.021_nan,8.45,-0.09
1234,ASCC_58,153.757,-54.96876,281.70036,1.32195,2.06,-13.276,2.794,8.39,0.281_0.25_0.135_nan,7.72,0.06
1234,ASCC_6,26.82,57.7139,130.35744,-4.35053,0.62,-0.838,0.211,10.8,0.994_0.72_0.3_nan,7.8,-0.07
1234,ASCC_66,168.39,-55.43335,289.29062,4.82466,0.999,-11.331,2.969,9.86,0.354_0.07_0.1_nan,7.77,0.04
1234,ASCC_67,175.365,-61.0115,294.55416,0.71688,0.482,-6.766,0.919,11.42,0.81_0.58_0.3_nan,7.57,0.22
1234,ASCC_71,185.17424,-67.5125,299.98959,-4.81653,0.79,-9.265,-1.341,10.37,0.916_0.53_0.271_nan,8.08,0.06
1234,ASCC_73,189.15945,-67.2336,301.49672,-4.4031,1.51,-11.506,-2.945,9.04,0.69_0.23_0.05_nan,8.53,-0.15
124,ASCC_77,212.69445,-62.32665,311.99981,-0.85993,0.843,-4.244,-3.216,10.21,0.806_0.64_nan_nan,8.0,0.21
1234,ASCC_79,229.731,-60.76249,319.99587,-2.87412,1.177,-2.942,-4.214,9.58,0.748_0.41_0.312_nan,7.27,0.04
1234,ASCC_85,251.87936,-45.5153,339.85656,-0.24681,1.122,0.17,-4.098,9.59,0.73_0.56_0.521_nan,7.85,0.1
1234,ASCC_87,255.75,-28.4355,355.1619,8.01925,1.273,-1.173,-3.814,9.44,0.651_0.57_0.26_nan,8.55,0.14
123,ASCC_88,256.798,-35.564,349.96765,3.0302,1.1,0.926,-3.282,9.68,1.851_1.45_0.729_nan,8.39,0.1
123,ASCC_9,41.708,57.745,137.8609,-1.74286,0.408,0.16,-1.105,11.83,2.571_2.23_0.899_nan,7.0,-0.16
1234,ASCC_90,264.777,-34.83515,354.25704,-1.93288,1.716,-1.63,-2.706,8.72,0.85_0.32_0.3_nan,8.81,0.08
1234,ASCC_97,279.225,-19.1873,14.1902,-5.54222,1.736,-2.245,-6.497,8.76,1.446_1.17_0.437_nan,8.05,0.12
1234,ASCC_99,282.277,-18.614,16.00129,-7.87264,3.375,5.212,-1.33,7.27,0.762_0.47_0.125_nan,8.55,-0.04
1234,Alessi_1,13.343,49.5358,123.25441,-13.33474,1.392,6.536,-6.27,9.17,0.416_0.08_0.1_nan,8.99,-0.11
1234,Alessi_10,301.19147,-10.5151,31.61784,-21.00412,2.229,1.458,-7.846,8.24,0.496_0.33_0.221_nan,8.2,0.02
1234,Alessi_12,310.87252,23.828,67.45196,-11.42934,1.82,4.303,-4.648,8.66,0.248_0.1_0.079_nan,8.13,-0.02
124,Alessi_13,51.90793,-35.821,237.51886,-55.82309,9.561,36.248,-4.672,5.1,0.039_0.1_nan_nan,7.66,0.23
1234,Alessi_17,113.85,-15.09229,231.35221,2.58458,0.263,-1.554,1.557,11.35,0.81_nan_0.437_nan,8.59,-0.14
1234,Alessi_18,114.293,-26.38695,241.42066,-2.55689,0.128,-1.261,1.79,13.04,2.039_2.48_0.645_nan,8.82,-0.27
