DB,ID,RA_ICRS,DE_ICRS,GLON,GLAT,plx,pmRA,pmDE,distmod,extin,logage,FeH
18,OCSN 1,260.16,-24.86,0.40529,6.88767,6.73,-4.75,-21.64,5.82,0.02,7.2,nan
18,OCSN 2,257.35,-17.54,5.0412,13.18183,4.78,-5.68,-11.25,6.41,0.0,7.15,nan
18,OCSN 3,276.52,-20.48,11.87008,-3.86923,6.3,7.31,-26.9,6.56,0.21,8.45,nan
18,OCSN 4,272.15,-16.51,13.40188,1.6609,2.08,0.02,-3.93,9.27,0.35,7.95,nan
18,OCSN 5,286.21,-16.56,19.52299,-10.35936,4.12,0.81,-11.69,7.48,0.19,7.9,nan
18,OCSN 6,276.81,-5.96,24.86357,2.63308,2.4,0.18,-11.23,10.95,1.01,8.8,nan
18,OCSN 7,282.13,-7.71,25.73331,-2.86289,2.29,1.12,-11.15,8.67,0.22,7.95,nan
18,OCSN 8,298.74,-8.18,32.74367,-17.81417,7.25,9.73,-25.44,5.87,0.08,7.95,nan
18,OCSN 9,269.03,16.68,42.15526,19.55214,3.27,-1.45,-8.93,7.63,0.1,7.6,nan
18,OCSN 10,275.41,14.82,43.01706,13.19013,2.73,-2.06,-7.64,8.49,0.19,7.45,nan
18,OCSN 11,270.27,22.07,47.92914,20.55474,3.36,-1.46,-7.91,7.81,0.18,7.75,nan
18,OCSN 12,276.54,21.08,49.35008,14.79796,2.31,-1.45,-6.09,8.71,0.17,7.45,nan
18,OCSN 13,291.75,21.1,55.6618,2.05333,2.0,1.43,-6.47,8.87,0.15,6.9,nan
18,OCSN 14,291.25,22.77,56.91462,3.25244,1.95,1.24,-5.64,11.14,0.94,8.35,nan
18,OCSN 15,284.96,27.34,58.44137,10.39556,3.88,-5.05,-4.03,7.46,0.2,8.1,nan
18,OCSN 16,283.56,32.18,62.42611,13.51139,2.68,1.18,-3.67,8.18,0.11,7.45,nan
18,OCSN 17,314.23,16.62,63.43637,-18.27175,2.68,5.24,-4.57,7.83,0.06,8.0,nan
18,OCSN 18,282.05,34.27,63.89754,15.49487,2.69,0.75,-3.14,8.05,0.07,7.45,nan
18,OCSN 19,294.06,29.63,64.16121,4.31091,3.08,1.09,-4.69,7.82,0.11,7.7,nan
18,OCSN 20,303.01,27.06,66.02065,-3.76073,2.15,1.94,-9.4,8.57,0.11,7.85,nan
18,OCSN 21,292.6,42.78,75.35555,11.48908,5.28,3.55,-0.38,6.11,0.0,8.0,nan
18,OCSN 22,293.75,48.39,80.86929,13.25416,3.27,3.3,1.86,7.63,0.07,7.7,nan
18,OCSN 23,305.3,48.52,84.87774,6.69558,2.89,3.3,2.02,7.97,0.11,7.5,nan
18,OCSN 24,313.69,48.17,87.9694,2.03841,6.1,12.11,2.54,6.05,0.01,8.05,nan
18,OCSN 25,317.49,46.96,88.76325,-0.683,2.32,2.74,-2.68,8.52,0.12,7.45,nan
18,OCSN 26,338.68,29.92,90.65367,-24.24897,3.13,-8.08,-4.44,7.57,0.09,8.95,nan
18,OCSN 27,321.68,47.54,91.17029,-2.30594,2.41,3.3,-2.53,8.47,0.11,7.35,nan
18,OCSN 28,324.87,51.06,95.08671,-1.12863,2.33,3.97,-2.09,8.43,0.11,7.45,nan
18,OCSN 29,339.08,37.79,95.45478,-17.7689,2.05,-1.81,-6.15,8.79,0.13,7.2,nan
18,OCSN 30,323.91,53.32,96.15371,0.94871,2.1,8.83,6.51,9.12,0.28,8.6,nan
18,OCSN 31,329.53,50.84,97.21116,-3.16772,3.58,9.68,-0.36,7.4,0.09,7.5,nan
18,OCSN 32,340.75,40.06,97.82995,-16.46972,2.32,-1.99,-5.17,8.52,0.13,7.2,nan
18,OCSN 33,335.34,56.57,103.32668,-0.47798,4.11,16.18,4.89,7.04,0.1,8.0,nan
18,OCSN 34,315.42,68.19,104.08686,14.20479,2.91,7.95,-1.12,7.8,0.13,7.15,nan
18,OCSN 35,346.82,45.44,104.45106,-13.66126,1.99,-0.66,-3.57,8.89,0.15,7.7,nan
18,OCSN 36,349.83,43.48,105.72991,-16.29353,2.14,5.72,-3.49,9.33,0.31,8.7,nan
18,OCSN 37,333.45,70.14,110.22824,11.25995,2.72,5.36,0.97,8.08,0.1,6.75,nan
18,OCSN 38,332.37,72.93,111.61722,13.72201,2.93,5.36,1.61,8.48,0.3,6.75,nan
18,OCSN 39,339.75,75.17,114.62962,14.4768,2.91,6.92,0.73,8.33,0.25,6.8,nan
18,OCSN 40,358.86,56.42,115.20533,-5.60936,2.49,8.16,-3.32,8.27,0.14,7.25,nan
18,OCSN 41,1.07,54.32,116.02158,-7.9178,2.5,8.34,-4.05,8.06,0.09,7.2,nan
18,OCSN 42,12.36,59.24,122.67596,-3.63075,5.44,25.83,-5.19,6.3,0.04,7.8,nan
